Nombre_archivo;Namespace;begin_line;end_line;yield_line;
dev_nbs\course\crappify.py;None;None;None;None;
fastai\callback\all.py;None;None;None;None;
fastai\callback\captum.py;None;None;None;None;
fastai\callback\core.py;None;None;None;None;
fastai\callback\data.py;None;None;None;None; 
fastai\callback\fp16.py;None;None;None;None; 
fastai\callback\hook.py;None;None;None;None;
fastai\callback\mixup.py;None;None;None;None;
fastai\callback\neptune.py;None;None;None;None;
fastai\callback\preds.py;None;None;None;None; 
fastai\callback\progress.py;no_bar;61;67;65; 
fastai\callback\rnn.py;None;None;None;None;
fastai\callback\schedule.py;None;None;None;None;
fastai\callback\tensorboard.py;None;None;None;None; 
fastai\callback\tracker.py;None;None;None;None;
fastai\callback\training.py;None;None;None;None;
fastai\callback\wandb.py;None;None;None;None;
fastai\data\__init__.py;None;None;None;None;
fastai\data\all.py;None;None;None;None;
fastai\data\block.py;None;None;None;None;
fastai\data\core.py;set_split_idx;342;347;345;
fastai\data\external.py;None;None;None;None;
fastai\data\load.py;no_multiproc;34;39;38;
fastai\data\load.py;__iter__;97;105;103;
fastai\data\load.py;create_batches;107;110;110;
fastai\data\transforms.py;None;None;None;None;
fastai\medical\__init__.py;None;None;None;None;
fastai\medical\imaging.py;None;None;None;None;
fastai\medical\text.py;None;None;None;None;
fastai\tabular\__init__.py;None;None;None;None;
fastai\tabular\all.py;None;None;None;None;
fastai\tabular\core.py;None;None;None;None;
fastai\tabular\data.py;None;None;None;None;
fastai\tabular\learner.py;None;None;None;None;
fastai\tabular\model.py;None;None;None;None;
fastai\text\models\__init__.py;None;None;None;None;
fastai\text\models\awdlstm.py;None;None;None;None;
fastai\text\models\core.py;None;None;None;None;
fastai\text\models\qrnn.py;None;None;None;None;
fastai\text\__init__.py;None;None;None;None;
fastai\text\all.py;None;None;None;None;
fastai\text\core.py;__call__;368;370;370;
fastai\text\data.py;None;None;None;None;
fastai\text\learner.py;None;None;None;None;
fastai\vision\models\__init__.py;None;None;None;None;
fastai\vision\models\all.py;None;None;None;None;
fastai\vision\models\tvm.py;None;None;None;None;
fastai\vision\models\unet.py;None;None;None;None;
fastai\vision\models\xresnet.py;None;None;None;None;
fastai\vision\__init__.py;None;None;None;None;
fastai\vision\all.py;None;None;None;None;
fastai\vision\augment.py;None;None;None;None;
fastai\vision\core.py;None;None;None;None;
fastai\vision\data.py;None;None;None;None;
fastai\vision\gan.py;None;None;None;None;
fastai\vision\learner.py;None;None;None;None;
fastai\vision\utils.py;None;None;None;None;
fastai\vision\widgets.py;None;None;None;None;
fastai\__init__.py;None;None;None;None;
fastai\_nbdev.py;None;None;None;None;
fastai\_pytorch_doc.py;None;None;None;None;
fastai\basics.py;None;None;None;None;
fastai\collab.py;None;None;None;None;
fastai\distributed.py;parallel_ctx;42;47;46;
fastai\distributed.py;distrib_ctx;162;176;173;
fastai\fp16_utils.py;None;None;None;None;
fastai\imports.py;None;None;None;None;
fastai\interpret.py;None;None;None;None;
fastai\launch.py;None;None;None;None;
fastai\layers.py;None;None;None;None;
fastai\learner.py;replacing_yield;21;25;24;
fastai\learner.py;added_cbs;129;132;131;
fastai\learner.py;removed_cbs;135;138;137;
fastai\losses.py;None;None;None;None;
fastai\metrics.py;None;None;None;None;
fastai\optimizer.py;None;None;None;None;
fastai\test_utils.py;None;None;None;None;
fastai\torch_basics.py;None;None;None;None;
fastai\torch_core.py;no_random;171;178;176;
fastai\torch_imports.py;None;None;None;None;
nbs\examples\distrib.py;None;None;None;None;
nbs\examples\migrating_catalyst.py;None;None;None;None;
nbs\examples\migrating_fastai.py;None;None;None;None;
nbs\examples\migrating_ignite.py;None;None;None;None;
nbs\examples\migrating_lightning.py;None;None;None;None;
nbs\examples\migrating_pytorch.py;None;None;None;None;
nbs\examples\mnist_blocks.py;None;None;None;None;
nbs\examples\mnist_items.py;None;None;None;None;
nbs\examples\train_imagenette.py;None;None;None;None;
nbs\examples\train_imdbclassifier.py;None;None;None;None;
nbs\examples\train_tabular.py;None;None;None;None;
nbs\examples\train_wt2.py;None;None;None;None;
setup.py;None;None;None;None;
