Nombre_archivo;Namespace;begin_line;end_line;yield_line;;;;;;
tensorflow\compiler\tests\depthwise_conv_op_test.py;ConfigsToTest;64;88;88;;;;;;
tensorflow\compiler\tests\depthwise_conv_op_test.py;ConfigsWithDilationToTest;91;114;114;;;;;;
tensorflow\compiler\tests\depthwise_conv_op_test.py;CheckGradConfigsToTest;117;141;141;;;;;;
tensorflow\compiler\tests\xla_test.py;session;209;229;229;;;;;;
tensorflow\compiler\tests\xla_test.py;device_scope;240;247;247; ;;;;;
tensorflow\python\util\nest.py;_yield_value;211;213;213; ;;;;;
tensorflow\python\util\nest.py;_yield_sorted_items;216;262;234,238,246,249,252,255,259,262;;;;;;
tensorflow\python\util\nest.py;_yield_flat_up_to;974;1001;992,1001;;;;;;
tensorflow\python\util\nest.py;yield_flat_paths;1573;1611;1611;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;59;61;61; ;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;123;125;125; ;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;162;184;167,184;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;205;208;206,207,208;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;224;227;225,226,227; ;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;237;240;238,239, 240;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;254;258;255,256,257,258;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;275;279;276,277,278,279;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;295;300;296,297,298,299,300;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;318;320;319, 320;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;329;332;330,331,332;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator_with_arg;376;378;378;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator_with_arg;393;395;395;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;445;447;447;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;459;460;460;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;476;480;477;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;497;499;499;;;;;;
tensorflow\python\data\kernel_tests\from_generator_test.py;generator;509;511;511;;;;;;
tensorflow\python\framework\ops.py;_variable_creator_scope;3038;3069;3064;;;;;;
tensorflow\python\framework\ops.py;_original_op;4118;4140;4138;;;;;;
tensorflow\python\framework\ops.py;name_scope;4155;4265;4262;;;;;;
tensorflow\python\framework\ops.py;_colocate_with_for_gradient;4339;4353;4347,4351,4353;;;;;;
tensorflow\python\framework\ops.py;colocate_with;4356;4432;4421;;;;;;
tensorflow\python\framework\ops.py;device;4442;4510;4505;;;;;;
tensorflow\python\framework\ops.py;container;4539;4588;4586;;;;;;
tensorflow\python\framework\ops.py;_attr_scope;4834;4894;4886;;;;;;
tensorflow\python\framework\ops.py;_kernel_label_map;4900;4957;4950;;;;;;
tensorflow\python\framework\ops.py;_override_gradient_function;4962;4972;4970;;;;;;
tensorflow\python\framework\ops.py;gradient_override_map;4976;5034;5027;;;;;;
tensorflow\python\framework\ops.py;device;5213;5245;5240,5242;;;;;;
tensorflow\python\framework\ops.py;get_controller;5397;5412;5401;;;;;;
tensorflow\python\framework\ops.py;get_controller;5590;5601;5597;;;;;;
tensorflow\python\framework\ops.py;init_scope;5650;5750;5702,5745;;;;;;
tensorflow\python\framework\ops.py;op_scope;6736;6741;6741;;;;;;
tensorflow\python\framework\test_util.py;skip_if_error;467;495;490;;;;;;
