node_id,class_name,parent_id
621,100,-1
622,17,621
623,0,622
624,73,621
625,75,624
626,73,621
627,75,626
628,73,621
629,75,628
630,74,621
631,75,630
632,75,630
633,95,621
634,55,633
635,12,634
636,13,635
637,13,634
638,87,633
639,89,638
640,90,639
641,90,639
642,90,639
643,90,639
644,17,638
645,52,644
646,55,645
647,52,646
648,12,647
649,13,648
650,12,647
651,13,650
652,12,647
653,13,652
654,13,646
655,65,638
656,55,655
657,12,656
658,13,657
659,14,656
660,52,655
661,55,660
662,12,661
663,13,662
664,13,661
665,52,660
666,55,665
667,12,666
668,13,667
669,13,666
670,24,665
671,12,670
672,13,671
673,25,670
674,12,670
675,13,674
676,12,665
677,13,676
678,53,665
679,0,678
680,52,660
681,55,680
682,12,681
683,13,682
684,13,681
685,12,680
686,13,685
687,52,660
688,55,687
689,12,688
690,13,689
691,13,688
692,53,687
693,0,692
694,52,660
695,55,694
696,12,695
697,13,696
698,13,695
699,12,694
700,13,699
701,12,694
702,13,701
703,53,694
704,0,703
705,53,694
706,0,705
707,52,660
708,55,707
709,12,708
710,13,709
711,13,708
712,12,707
713,13,712
714,52,660
715,55,714
716,12,715
717,13,716
718,13,715
719,53,714
720,0,719
721,87,633
722,89,721
723,90,722
724,90,722
725,65,721
726,12,725
727,14,726
728,52,725
729,55,728
730,12,729
731,13,730
732,13,729
733,12,728
734,13,733
735,91,721
736,12,735
737,13,736
738,95,621
739,55,738
740,12,739
741,13,740
742,13,739
743,87,738
744,89,743
745,90,744
746,90,744
747,90,744
748,0,744
749,0,744
750,17,743
751,52,750
752,55,751
753,52,752
754,12,753
755,13,754
756,12,753
757,13,756
758,12,753
759,13,758
760,13,752
761,17,743
762,0,761
763,65,743
764,55,763
765,12,764
766,13,765
767,14,764
768,52,763
769,12,768
770,13,769
771,12,768
772,13,771
773,12,768
774,13,773
775,17,743
776,0,775
777,65,743
778,55,777
779,12,778
780,13,779
781,14,778
782,52,777
783,12,782
784,13,783
785,0,782
786,0,782
787,0,782
788,65,743
789,55,788
790,12,789
791,13,790
792,14,789
793,52,788
794,12,793
795,13,794
796,0,793
797,0,793
798,0,793
799,65,743
800,55,799
801,12,800
802,13,801
803,14,800
804,52,799
805,12,804
806,13,805
807,0,804
808,0,804
809,0,804
810,65,743
811,55,810
812,12,811
813,13,812
814,14,811
815,52,810
816,12,815
817,13,816
818,0,815
819,0,815
820,0,815
821,65,743
822,12,821
823,14,822
824,0,821
825,65,743
826,55,825
827,12,826
828,13,827
829,14,826
830,52,825
831,55,830
832,12,831
833,13,832
834,13,831
835,52,830
836,55,835
837,12,836
838,13,837
839,13,836
840,0,835
841,0,835
842,53,835
843,0,842
844,53,835
845,0,844
846,52,830
847,55,846
848,12,847
849,13,848
850,13,847
851,53,846
852,0,851
853,52,830
854,55,853
855,12,854
856,13,855
857,13,854
858,0,853
859,0,853
860,53,853
861,0,860
862,53,853
863,0,862
864,52,830
865,55,864
866,12,865
867,13,866
868,13,865
869,53,864
870,0,869
871,52,830
872,55,871
873,12,872
874,13,873
875,13,872
876,0,871
877,0,871
878,53,871
879,0,878
880,53,871
881,0,880
882,52,830
883,55,882
884,12,883
885,13,884
886,13,883
887,53,882
888,0,887
889,52,830
890,55,889
891,12,890
892,13,891
893,13,890
894,0,889
895,0,889
896,53,889
897,0,896
898,52,830
899,55,898
900,12,899
901,13,900
902,13,899
903,53,898
904,0,903
905,52,830
906,55,905
907,12,906
908,13,907
909,13,906
910,0,905
911,12,905
912,13,911
913,53,905
914,0,913
915,17,743
916,52,915
917,12,916
918,13,917
919,52,916
920,55,919
921,55,920
922,12,921
923,13,922
924,13,921
925,13,920
926,17,743
927,52,926
928,12,927
929,13,928
930,52,927
931,55,930
932,55,931
933,12,932
934,13,933
935,13,932
936,13,931
937,17,743
938,52,937
939,12,938
940,13,939
941,52,938
942,55,941
943,55,942
944,12,943
945,13,944
946,13,943
947,13,942
948,17,743
949,52,948
950,12,949
951,13,950
952,52,949
953,55,952
954,55,953
955,12,954
956,13,955
957,13,954
958,13,953
959,17,743
960,52,959
961,12,960
962,13,961
963,52,960
964,55,963
965,55,964
966,12,965
967,13,966
968,13,965
969,13,964
970,87,738
971,89,970
972,90,971
973,90,971
974,17,970
975,0,974
976,65,970
977,12,976
978,14,977
979,52,976
980,55,979
981,12,980
982,13,981
983,13,980
984,12,979
985,13,984
986,17,970
987,0,986
988,65,970
989,12,988
990,14,989
991,52,988
992,55,991
993,12,992
994,13,993
995,13,992
996,6,991
997,56,996
998,12,997
999,13,998
1000,57,997
1001,0,1000
1002,13,997
1003,56,996
1004,12,1003
1005,13,1004
1006,57,1003
1007,0,1006
1008,13,1003
1009,13,996
1010,53,991
1011,0,1010
1012,65,970
1013,12,1012
1014,14,1013
1015,52,1012
1016,55,1015
1017,12,1016
1018,13,1017
1019,13,1016
1020,12,1015
1021,13,1020
1022,65,970
1023,12,1022
1024,14,1023
1025,52,1022
1026,55,1025
1027,12,1026
1028,13,1027
1029,13,1026
1030,12,1025
1031,13,1030
1032,53,1025
1033,56,1032
1034,52,1033
1035,55,1034
1036,56,1035
1037,12,1036
1038,13,1037
1039,57,1036
1040,0,1039
1041,13,1036
1042,13,1035
1043,58,1033
1044,0,1043
1045,13,1033
1046,53,1025
1047,0,1046
1048,53,1025
1049,0,1048
1050,65,970
1051,12,1050
1052,14,1051
1053,52,1050
1054,55,1053
1055,12,1054
1056,13,1055
1057,13,1054
1058,6,1053
1059,12,1058
