node_id,class_name,parent_id
8073,100,-1
8074,74,8073
8075,75,8074
8076,73,8073
8077,75,8076
8078,73,8073
8079,75,8078
8080,73,8073
8081,75,8080
8082,73,8073
8083,75,8082
8084,73,8073
8085,75,8084
8086,73,8073
8087,75,8086
8088,74,8073
8089,75,8088
8090,73,8073
8091,75,8090
8092,74,8073
8093,75,8092
8094,73,8073
8095,75,8094
8096,87,8073
8097,89,8096
8098,90,8097
8099,65,8096
8100,12,8099
8101,14,8100
8102,52,8099
8103,55,8102
8104,12,8103
8105,13,8104
8106,13,8103
8107,12,8102
8108,13,8107
8109,0,8102
8110,65,8096
8111,12,8110
8112,14,8111
8113,52,8110
8114,55,8113
8115,12,8114
8116,13,8115
8117,13,8114
8118,12,8113
8119,13,8118
8120,0,8113
8121,91,8096
8122,7,8121
8123,24,8122
8124,24,8123
8125,12,8124
8126,13,8125
8127,26,8124
8128,12,8124
8129,13,8128
8130,28,8123
8131,52,8123
8132,55,8131
8133,12,8132
8134,13,8133
8135,13,8132
8136,0,8131
8137,24,8131
8138,12,8137
8139,13,8138
8140,25,8137
8141,12,8137
8142,13,8141
8143,12,8122
8144,13,8143
8145,12,8122
8146,13,8145
8147,13,8122
8148,87,8073
8149,89,8148
8150,90,8149
8151,90,8149
8152,0,8149
8153,65,8148
8154,7,8153
8155,12,8154
8156,14,8155
8157,12,8154
8158,14,8157
8159,12,8154
8160,14,8159
8161,14,8154
8162,52,8153
8163,12,8162
8164,13,8163
8165,12,8162
8166,13,8165
8167,76,8148
8168,41,8167
8169,12,8168
8170,13,8169
8171,44,8168
8172,12,8168
8173,13,8172
8174,65,8167
8175,12,8174
8176,14,8175
8177,52,8174
8178,55,8177
8179,12,8178
8180,13,8179
8181,13,8178
8182,12,8177
8183,13,8182
8184,65,8167
8185,12,8184
8186,14,8185
8187,24,8184
8188,0,8187
8189,28,8187
8190,52,8187
8191,55,8190
8192,12,8191
8193,13,8192
8194,13,8191
8195,0,8190
8196,24,8190
8197,12,8196
8198,13,8197
8199,26,8196
8200,12,8196
8201,13,8200
8202,65,8167
8203,12,8202
8204,14,8203
8205,24,8202
8206,24,8205
8207,24,8206
8208,12,8207
8209,13,8208
8210,26,8207
8211,12,8207
8212,13,8211
8213,25,8206
8214,0,8206
8215,27,8205
8216,12,8205
8217,13,8216
8218,65,8167
8219,12,8218
8220,14,8219
8221,52,8218
8222,55,8221
8223,52,8222
8224,55,8223
8225,12,8224
8226,13,8225
8227,13,8224
8228,52,8223
8229,55,8228
8230,12,8229
8231,13,8230
8232,13,8229
8233,55,8228
8234,12,8233
8235,13,8234
8236,13,8233
8237,0,8228
8238,52,8223
8239,55,8238
8240,12,8239
8241,13,8240
8242,13,8239
8243,52,8238
8244,55,8243
8245,12,8244
8246,13,8245
8247,13,8244
8248,55,8243
8249,12,8248
8250,13,8249
8251,13,8248
8252,0,8243
8253,12,8238
8254,13,8253
8255,13,8222
8256,55,8221
8257,12,8256
8258,13,8257
8259,13,8256
8260,91,8148
8261,12,8260
8262,13,8261
8263,95,8073
8264,12,8263
8265,13,8264
8266,87,8263
8267,89,8266
8268,90,8267
8269,90,8267
8270,90,8267
8271,0,8267
8272,65,8266
8273,55,8272
8274,12,8273
8275,13,8274
8276,14,8273
8277,52,8272
8278,55,8277
8279,12,8278
8280,13,8279
8281,13,8278
8282,65,8266
8283,55,8282
8284,12,8283
8285,13,8284
8286,14,8283
8287,12,8282
8288,13,8287
8289,65,8266
8290,55,8289
8291,12,8290
8292,13,8291
8293,14,8290
8294,52,8289
8295,55,8294
8296,12,8295
8297,13,8296
8298,13,8295
8299,24,8294
8300,56,8299
8301,12,8300
8302,13,8301
8303,57,8300
8304,0,8303
8305,13,8300
8306,28,8299
8307,0,8299
8308,65,8266
8309,55,8308
8310,12,8309
8311,13,8310
8312,14,8309
8313,12,8308
8314,13,8313
8315,87,8263
8316,89,8315
8317,90,8316
8318,90,8316
8319,65,8315
8320,12,8319
8321,14,8320
8322,52,8319
8323,55,8322
8324,12,8323
8325,13,8324
8326,13,8323
8327,12,8322
8328,13,8327
8329,17,8315
8330,52,8329
8331,55,8330
8332,52,8331
8333,55,8332
8334,12,8333
8335,13,8334
8336,13,8333
8337,0,8332
8338,13,8331
8339,0,8330
8340,65,8315
8341,7,8340
8342,12,8341
8343,14,8342
8344,12,8341
8345,14,8344
8346,12,8341
8347,14,8346
8348,14,8341
8349,52,8340
8350,55,8349
8351,12,8350
8352,13,8351
8353,13,8350
8354,65,8315
8355,12,8354
8356,14,8355
8357,52,8354
8358,55,8357
8359,52,8358
8360,55,8359
8361,12,8360
8362,13,8361
8363,13,8360
8364,16,8359
8365,55,8364
8366,12,8365
8367,13,8366
8368,13,8365
8369,13,8364
8370,13,8358
8371,0,8357
8372,65,8315
8373,56,8372
8374,12,8373
8375,13,8374
8376,59,8373
8377,58,8376
8378,58,8376
8379,58,8376
8380,12,8379
8381,13,8380
8382,14,8373
8383,12,8372
8384,13,8383
8385,76,8315
8386,41,8385
8387,56,8386
8388,55,8387
8389,12,8388
8390,13,8389
8391,13,8388
8392,57,8387
8393,0,8392
8394,13,8387
8395,43,8386
8396,12,8386
8397,13,8396
8398,65,8385
8399,56,8398
8400,12,8399
8401,13,8400
8402,59,8399
8403,58,8402
8404,58,8402
8405,58,8402
8406,12,8405
8407,13,8406
8408,14,8399
8409,52,8398
8410,55,8409
8411,52,8410
8412,55,8411
8413,56,8412
8414,12,8413
8415,13,8414
8416,59,8413
8417,58,8416
8418,58,8416
8419,57,8416
8420,24,8419
8421,12,8420
8422,13,8421
8423,26,8420
8424,0,8420
8425,13,8413
8426,13,8412
8427,0,8411
8428,13,8410
8429,12,8409
8430,13,8429
8431,12,8409
8432,13,8431
8433,24,8409
8434,56,8433
8435,55,8434
8436,12,8435
8437,13,8436
8438,13,8435
8439,57,8434
8440,0,8439
8441,13,8434
8442,26,8433
8443,12,8433
8444,13,8443
8445,91,8315
8446,12,8445
8447,13,8446
8448,95,8073
8449,55,8448
8450,55,8449
8451,55,8450
8452,12,8451
8453,13,8452
8454,13,8451
8455,13,8450
8456,13,8449
8457,87,8448
8458,89,8457
8459,90,8458
8460,90,8458
8461,65,8457
8462,55,8461
8463,12,8462
8464,13,8463
8465,14,8462
8466,12,8461
8467,13,8466
8468,65,8457
8469,55,8468
8470,12,8469
8471,13,8470
8472,14,8469
8473,52,8468
8474,12,8473
8475,13,8474
8476,12,8473
8477,13,8476
8478,87,8448
8479,89,8478
8480,90,8479
8481,91,8478
8482,55,8481
8483,12,8482
8484,13,8483
8485,13,8482
8486,87,8448
8487,89,8486
8488,90,8487
8489,90,8487
8490,65,8486
8491,12,8490
8492,14,8491
8493,56,8490
8494,55,8493
8495,12,8494
8496,13,8495
8497,13,8494
8498,57,8493
8499,12,8498
8500,13,8499
8501,13,8493
8502,91,8486
8503,52,8502
8504,55,8503
8505,12,8504
8506,13,8505
8507,13,8504
8508,12,8503
8509,13,8508
8510,0,8503
8511,95,8073
8512,12,8511
8513,13,8512
8514,87,8511
8515,89,8514
8516,90,8515
8517,90,8515
8518,90,8515
8519,90,8515
8520,90,8515
8521,0,8515
8522,0,8515
8523,0,8515
8524,0,8515
8525,65,8514
8526,55,8525
8527,12,8526
8528,13,8527
8529,14,8526
8530,12,8525
8531,13,8530
8532,65,8514
8533,55,8532
8534,12,8533
8535,13,8534
8536,14,8533
8537,12,8532
8538,13,8537
8539,65,8514
8540,55,8539
8541,12,8540
8542,13,8541
8543,14,8540
8544,12,8539
8545,13,8544
8546,65,8514
8547,55,8546
8548,12,8547
8549,13,8548
8550,14,8547
8551,12,8546
8552,13,8551
8553,87,8511
8554,89,8553
8555,90,8554
8556,90,8554
8557,65,8553
8558,12,8557
8559,14,8558
8560,52,8557
8561,12,8560
8562,13,8561
8563,88,8560
8564,89,8563
8565,90,8564
8566,41,8563
8567,12,8566
8568,13,8567
8569,49,8566
8570,0,8566
8571,12,8560
8572,13,8571
8573,65,8553
8574,12,8573
8575,14,8574
8576,12,8573
8577,13,8576
8578,65,8553
8579,12,8578
8580,14,8579
8581,55,8578
8582,12,8581
8583,13,8582
8584,13,8581
8585,65,8553
8586,12,8585
8587,14,8586
8588,0,8585
8589,65,8553
8590,12,8589
8591,14,8590
8592,52,8589
8593,12,8592
8594,13,8593
8595,7,8592
8596,12,8595
8597,13,8596
8598,55,8595
8599,12,8598
8600,13,8599
8601,13,8598
8602,12,8595
8603,13,8602
8604,13,8595
8605,65,8553
8606,12,8605
8607,14,8606
8608,6,8605
8609,13,8608
8610,77,8553
8611,12,8610
8612,14,8611
8613,12,8610
8614,13,8613
8615,65,8610
8616,7,8615
8617,12,8616
8618,14,8617
8619,12,8616
8620,14,8619
8621,14,8616
8622,55,8615
8623,12,8622
8624,13,8623
8625,13,8622
8626,76,8610
8627,41,8626
8628,55,8627
8629,12,8628
8630,13,8629
8631,13,8628
8632,46,8627
8633,0,8627
8634,65,8626
8635,12,8634
8636,14,8635
8637,52,8634
8638,55,8637
8639,12,8638
8640,13,8639
8641,13,8638
8642,52,8637
8643,55,8642
8644,12,8643
8645,13,8644
8646,13,8643
8647,0,8642
8648,65,8626
8649,12,8648
8650,14,8649
8651,52,8648
8652,12,8651
8653,13,8652
8654,12,8651
8655,13,8654
8656,53,8651
8657,55,8656
8658,12,8657
8659,13,8658
8660,13,8657
8661,65,8626
8662,12,8661
8663,14,8662
8664,52,8661
8665,55,8664
8666,12,8665
8667,13,8666
8668,13,8665
8669,12,8664
8670,13,8669
8671,0,8664
8672,65,8610
8673,12,8672
8674,14,8673
8675,24,8672
8676,12,8675
8677,13,8676
8678,28,8675
8679,52,8675
8680,12,8679
8681,13,8680
8682,12,8679
8683,13,8682
8684,76,8610
8685,41,8684
8686,52,8685
8687,55,8686
8688,12,8687
8689,13,8688
8690,13,8687
8691,24,8686
8692,55,8691
8693,12,8692
8694,13,8693
8695,13,8692
8696,27,8691
8697,12,8691
8698,13,8697
8699,46,8685
8700,55,8685
8701,12,8700
8702,13,8701
8703,13,8700
8704,65,8684
8705,12,8704
8706,14,8705
8707,55,8704
8708,12,8707
8709,13,8708
8710,13,8707
8711,65,8684
8712,12,8711
8713,14,8712
8714,52,8711
8715,55,8714
8716,12,8715
8717,13,8716
8718,13,8715
8719,24,8714
8720,55,8719
8721,12,8720
8722,13,8721
8723,13,8720
8724,27,8719
8725,12,8719
8726,13,8725
8727,65,8610
8728,12,8727
8729,14,8728
8730,52,8727
8731,55,8730
8732,12,8731
8733,13,8732
8734,13,8731
8735,7,8730
8736,12,8735
8737,13,8736
8738,55,8735
8739,12,8738
8740,13,8739
8741,13,8738
8742,13,8735
8743,55,8730
8744,12,8743
8745,13,8744
8746,13,8743
8747,17,8610
8748,52,8747
8749,55,8748
8750,12,8749
8751,13,8750
8752,13,8749
8753,52,8748
8754,12,8753
8755,13,8754
8756,12,8753
8757,13,8756
8758,65,8553
8759,12,8758
8760,14,8759
8761,52,8758
8762,55,8761
8763,12,8762
8764,13,8763
8765,13,8762
8766,60,8761
8767,52,8766
8768,55,8767
8769,12,8768
8770,13,8769
8771,13,8768
8772,0,8767
8773,64,8766
8774,12,8773
8775,14,8774
8776,12,8773
8777,13,8776
8778,0,8761
8779,91,8553
8780,12,8779
8781,13,8780
8782,87,8073
8783,89,8782
8784,90,8783
8785,90,8783
8786,90,8783
8787,90,8783
8788,90,8783
8789,90,8783
8790,90,8783
8791,90,8783
8792,90,8783
8793,0,8783
8794,0,8783
8795,0,8783
8796,17,8782
8797,52,8796
8798,55,8797
8799,12,8798
8800,13,8799
8801,13,8798
8802,65,8782
8803,12,8802
8804,14,8803
8805,6,8802
8806,13,8805
8807,85,8782
8808,86,8807
8809,52,8808
8810,55,8809
8811,12,8810
8812,13,8811
8813,13,8810
8814,77,8807
8815,12,8814
8816,14,8815
8817,12,8814
8818,13,8817
8819,65,8814
8820,12,8819
8821,14,8820
8822,52,8819
8823,55,8822
8824,12,8823
8825,13,8824
8826,13,8823
8827,0,8822
8828,65,8814
8829,12,8828
8830,14,8829
8831,52,8828
8832,55,8831
8833,12,8832
8834,13,8833
8835,13,8832
8836,12,8831
8837,13,8836
8838,65,8814
8839,12,8838
8840,14,8839
8841,52,8838
8842,55,8841
8843,52,8842
8844,55,8843
8845,12,8844
8846,13,8845
8847,13,8844
8848,24,8843
8849,6,8848
8850,12,8849
8851,13,8850
8852,13,8849
8853,27,8848
8854,12,8848
8855,13,8854
8856,13,8842
8857,12,8841
8858,13,8857
8859,65,8814
8860,12,8859
8861,14,8860
8862,52,8859
8863,55,8862
8864,52,8863
8865,55,8864
8866,52,8865
8867,55,8866
8868,12,8867
8869,13,8868
8870,13,8867
8871,12,8866
8872,13,8871
8873,24,8866
8874,12,8873
8875,13,8874
8876,25,8873
8877,0,8873
8878,13,8865
8879,0,8864
8880,13,8863
8881,12,8862
8882,13,8881
8883,65,8814
8884,12,8883
8885,14,8884
8886,52,8883
8887,12,8886
8888,13,8887
8889,12,8886
8890,13,8889
8891,12,8886
8892,13,8891
8893,65,8814
8894,12,8893
8895,14,8894
8896,52,8893
8897,55,8896
8898,12,8897
8899,13,8898
8900,13,8897
8901,24,8896
8902,6,8901
8903,52,8902
8904,55,8903
8905,12,8904
8906,13,8905
8907,13,8904
8908,0,8903
8909,13,8902
8910,27,8901
8911,12,8901
8912,13,8911
8913,65,8814
8914,12,8913
8915,14,8914
8916,52,8913
8917,55,8916
8918,12,8917
8919,13,8918
8920,13,8917
8921,12,8916
8922,13,8921
8923,53,8916
8924,0,8923
8925,65,8814
8926,12,8925
8927,14,8926
8928,52,8925
8929,55,8928
8930,52,8929
8931,55,8930
8932,52,8931
8933,55,8932
8934,12,8933
8935,13,8934
8936,13,8933
8937,13,8931
8938,13,8929
8939,65,8814
8940,56,8939
8941,12,8940
8942,13,8941
8943,59,8940
8944,58,8943
8945,58,8943
8946,57,8943
8947,12,8946
8948,13,8947
8949,14,8940
8950,0,8939
8951,65,8814
8952,12,8951
8953,14,8952
8954,52,8951
8955,55,8954
8956,12,8955
8957,13,8956
8958,13,8955
8959,53,8954
8960,0,8959
8961,65,8814
8962,12,8961
8963,14,8962
8964,24,8961
8965,12,8964
8966,13,8965
8967,28,8964
8968,52,8964
8969,55,8968
8970,12,8969
8971,13,8970
8972,13,8969
8973,12,8968
8974,13,8973
8975,53,8968
8976,19,8975
8977,21,8976
8978,0,8976
8979,65,8814
8980,12,8979
8981,14,8980
8982,52,8979
8983,55,8982
8984,52,8983
8985,55,8984
8986,52,8985
8987,55,8986
8988,12,8987
8989,13,8988
8990,13,8987
8991,12,8986
8992,13,8991
8993,13,8985
8994,13,8983
8995,12,8982
8996,13,8995
8997,76,8814
8998,41,8997
8999,12,8998
9000,13,8999
9001,42,8998
9002,0,8998
9003,65,8997
9004,7,9003
9005,12,9004
9006,14,9005
9007,12,9004
9008,14,9007
9009,14,9004
9010,52,9003
9011,55,9010
9012,12,9011
9013,13,9012
9014,13,9011
9015,0,9010
9016,65,8997
9017,12,9016
9018,14,9017
9019,52,9016
9020,55,9019
9021,12,9020
9022,13,9021
9023,13,9020
9024,19,9019
9025,21,9024
9026,0,9024
9027,65,8997
9028,12,9027
9029,14,9028
9030,52,9027
9031,55,9030
9032,12,9031
9033,13,9032
9034,13,9031
9035,55,9030
9036,12,9035
9037,13,9036
9038,13,9035
9039,55,9030
9040,12,9039
9041,13,9040
9042,13,9039
9043,76,8997
9044,41,9043
9045,12,9044
9046,13,9045
9047,42,9044
9048,0,9044
9049,65,9043
9050,12,9049
9051,14,9050
9052,52,9049
9053,55,9052
9054,52,9053
9055,55,9054
9056,52,9055
9057,55,9056
9058,12,9057
9059,13,9058
9060,13,9057
9061,13,9055
9062,13,9053
9063,65,9043
9064,12,9063
9065,14,9064
9066,52,9063
9067,55,9066
9068,12,9067
9069,13,9068
9070,13,9067
9071,12,9066
9072,13,9071
9073,53,9066
9074,12,9073
9075,13,9074
9076,76,9043
9077,41,9076
9078,12,9077
9079,13,9078
9080,42,9077
9081,0,9077
9082,65,9076
9083,12,9082
9084,14,9083
9085,52,9082
9086,55,9085
9087,52,9086
9088,55,9087
9089,52,9088
9090,55,9089
9091,12,9090
9092,13,9091
9093,13,9090
9094,13,9088
9095,13,9086
9096,65,9076
9097,12,9096
9098,14,9097
9099,52,9096
9100,55,9099
9101,12,9100
9102,13,9101
9103,13,9100
9104,12,9099
9105,13,9104
9106,53,9099
9107,12,9106
9108,13,9107
9109,65,8814
9110,7,9109
9111,12,9110
9112,14,9111
9113,12,9110
9114,14,9113
9115,14,9110
9116,52,9109
9117,55,9116
9118,12,9117
9119,13,9118
9120,13,9117
9121,53,9116
9122,0,9121
9123,77,8814
9124,7,9123
9125,12,9124
9126,14,9125
9127,12,9124
9128,14,9127
9129,14,9124
9130,52,9123
9131,12,9130
9132,13,9131
9133,12,9130
9134,13,9133
9135,12,9130
9136,13,9135
9137,65,9123
9138,12,9137
9139,14,9138
9140,56,9137
9141,52,9140
9142,55,9141
9143,12,9142
9144,13,9143
9145,13,9142
9146,53,9141
9147,0,9146
9148,57,9140
9149,19,9148
9150,21,9149
9151,0,9149
9152,13,9140
9153,17,9123
9154,52,9153
9155,55,9154
9156,12,9155
9157,13,9156
9158,13,9155
9159,6,9154
9160,12,9159
9161,13,9160
9162,52,9159
9163,55,9162
9164,12,9163
9165,13,9164
9166,13,9163
9167,13,9159
9168,91,8782
9169,12,9168
9170,13,9169
9171,87,8073
9172,89,9171
9173,90,9172
9174,90,9172
9175,90,9172
9176,90,9172
9177,90,9172
9178,90,9172
9179,90,9172
9180,0,9172
9181,65,9171
9182,12,9181
9183,14,9182
9184,52,9181
9185,12,9184
9186,13,9185
9187,12,9184
9188,13,9187
9189,12,9184
9190,13,9189
9191,12,9184
9192,13,9191
9193,65,9171
9194,12,9193
9195,14,9194
9196,52,9193
9197,12,9196
9198,13,9197
9199,55,9196
9200,12,9199
9201,13,9200
9202,13,9199
9203,76,9171
9204,41,9203
9205,12,9204
9206,13,9205
9207,42,9204
9208,0,9204
9209,65,9203
9210,12,9209
9211,14,9210
9212,52,9209
9213,55,9212
9214,12,9213
9215,13,9214
9216,13,9213
9217,0,9212
9218,76,9203
9219,41,9218
9220,12,9219
9221,13,9220
9222,42,9219
9223,0,9219
9224,65,9218
9225,12,9224
9226,14,9225
9227,52,9224
9228,55,9227
9229,12,9228
9230,13,9229
9231,13,9228
9232,0,9227
9233,65,9218
9234,12,9233
9235,14,9234
9236,52,9233
9237,55,9236
9238,12,9237
9239,13,9238
9240,13,9237
9241,12,9236
9242,13,9241
9243,65,9171
9244,12,9243
9245,14,9244
9246,52,9243
9247,55,9246
9248,12,9247
9249,13,9248
9250,13,9247
9251,53,9246
9252,12,9251
9253,13,9252
9254,53,9246
9255,12,9254
9256,13,9255
9257,76,9171
9258,41,9257
9259,12,9258
9260,13,9259
9261,42,9258
9262,0,9258
9263,65,9257
9264,12,9263
9265,14,9264
9266,52,9263
9267,55,9266
9268,12,9267
9269,13,9268
9270,13,9267
9271,12,9266
9272,13,9271
9273,53,9266
9274,12,9273
9275,13,9274
9276,65,9257
9277,12,9276
9278,14,9277
9279,52,9276
9280,12,9279
9281,13,9280
9282,77,9257
9283,7,9282
9284,12,9283
9285,14,9284
9286,12,9283
9287,14,9286
9288,14,9283
9289,52,9282
9290,55,9289
9291,12,9290
9292,13,9291
9293,13,9290
9294,65,9282
9295,12,9294
9296,14,9295
9297,56,9294
9298,12,9297
9299,13,9298
9300,58,9297
9301,0,9300
9302,13,9297
9303,65,9282
9304,56,9303
9305,12,9304
9306,13,9305
9307,57,9304
9308,12,9307
9309,13,9308
9310,14,9304
9311,12,9303
9312,13,9311
9313,17,9257
9314,52,9313
9315,55,9314
9316,12,9315
9317,13,9316
9318,13,9315
9319,12,9314
9320,13,9319
9321,65,9257
9322,12,9321
9323,14,9322
9324,52,9321
9325,55,9324
9326,52,9325
9327,55,9326
9328,55,9327
9329,12,9328
9330,13,9329
9331,13,9328
9332,13,9327
9333,12,9326
9334,13,9333
9335,13,9325
9336,12,9324
9337,13,9336
9338,17,9257
9339,52,9338
9340,55,9339
9341,12,9340
9342,13,9341
9343,13,9340
9344,52,9339
9345,55,9344
9346,12,9345
9347,13,9346
9348,13,9345
9349,12,9344
9350,13,9349
9351,53,9344
9352,12,9351
9353,13,9352
9354,91,9171
9355,7,9354
9356,12,9355
9357,13,9356
9358,12,9355
9359,13,9358
9360,13,9355
9361,87,8073
9362,89,9361
9363,90,9362
9364,90,9362
9365,90,9362
9366,90,9362
9367,90,9362
9368,90,9362
9369,90,9362
9370,90,9362
9371,90,9362
9372,90,9362
9373,90,9362
9374,90,9362
9375,90,9362
9376,90,9362
9377,90,9362
9378,0,9362
9379,0,9362
9380,0,9362
9381,0,9362
9382,0,9362
9383,0,9362
9384,0,9362
9385,0,9362
9386,0,9362
9387,65,9361
9388,12,9387
9389,14,9388
9390,52,9387
9391,12,9390
9392,13,9391
9393,24,9390
9394,12,9393
9395,13,9394
9396,28,9393
9397,0,9393
9398,65,9361
9399,12,9398
9400,14,9399
9401,9,9398
9402,65,9361
9403,12,9402
9404,14,9403
9405,6,9402
9406,13,9405
9407,77,9361
9408,12,9407
9409,14,9408
9410,12,9407
9411,13,9410
9412,81,9407
9413,17,9412
9414,52,9413
9415,55,9414
9416,12,9415
9417,13,9416
9418,13,9415
9419,24,9414
9420,52,9419
9421,55,9420
9422,12,9421
9423,13,9422
9424,13,9421
9425,12,9420
9426,13,9425
9427,25,9419
9428,0,9419
9429,84,9412
9430,72,9429
9431,65,9361
9432,12,9431
9433,14,9432
9434,60,9431
9435,56,9434
9436,12,9435
9437,13,9436
9438,57,9435
9439,0,9438
9440,13,9435
9441,64,9434
9442,12,9441
9443,14,9442
9444,12,9441
9445,13,9444
9446,65,9361
9447,12,9446
9448,14,9447
9449,60,9446
9450,56,9449
9451,12,9450
9452,13,9451
9453,57,9450
9454,0,9453
9455,13,9450
9456,64,9449
9457,12,9456
9458,14,9457
9459,12,9456
9460,13,9459
9461,65,9361
9462,12,9461
9463,14,9462
9464,52,9461
9465,12,9464
9466,13,9465
9467,53,9464
9468,12,9467
9469,13,9468
9470,53,9464
9471,12,9470
9472,13,9471
9473,53,9464
9474,0,9473
9475,65,9361
9476,12,9475
9477,14,9476
9478,52,9475
9479,12,9478
9480,13,9479
9481,12,9478
9482,13,9481
9483,65,9361
9484,12,9483
9485,14,9484
