node_id,class_name,parent_id
16513,100,-1
16514,73,16513
16515,75,16514
16516,74,16513
16517,75,16516
16518,75,16516
16519,95,16513
16520,55,16519
16521,12,16520
16522,13,16521
16523,13,16520
16524,87,16519
16525,89,16524
16526,90,16525
16527,90,16525
16528,90,16525
16529,90,16525
16530,90,16525
16531,17,16524
16532,52,16531
16533,55,16532
16534,52,16533
16535,12,16534
16536,13,16535
16537,12,16534
16538,13,16537
16539,12,16534
16540,13,16539
16541,13,16533
16542,17,16524
16543,0,16542
16544,65,16524
16545,55,16544
16546,12,16545
16547,13,16546
16548,14,16545
16549,52,16544
16550,12,16549
16551,13,16550
16552,12,16549
16553,13,16552
16554,12,16549
16555,13,16554
16556,65,16524
16557,55,16556
16558,12,16557
16559,13,16558
16560,14,16557
16561,12,16556
16562,13,16561
16563,65,16524
16564,55,16563
16565,12,16564
16566,13,16565
16567,14,16564
16568,52,16563
16569,55,16568
16570,12,16569
16571,13,16570
16572,13,16569
16573,7,16568
16574,0,16573
16575,0,16573
16576,13,16573
16577,17,16524
16578,0,16577
16579,65,16524
16580,55,16579
16581,12,16580
16582,13,16581
16583,14,16580
16584,52,16579
16585,55,16584
16586,12,16585
16587,13,16586
16588,13,16585
16589,52,16584
16590,12,16589
16591,13,16590
16592,55,16589
16593,12,16592
16594,13,16593
16595,13,16592
16596,12,16589
16597,13,16596
16598,12,16589
16599,13,16598
16600,52,16584
16601,12,16600
16602,13,16601
16603,12,16600
16604,13,16603
16605,12,16600
16606,13,16605
16607,12,16600
16608,13,16607
16609,65,16524
16610,55,16609
16611,12,16610
16612,13,16611
16613,14,16610
16614,12,16609
16615,13,16614
16616,17,16524
16617,0,16616
16618,65,16524
16619,55,16618
16620,12,16619
16621,13,16620
16622,14,16619
16623,52,16618
16624,55,16623
16625,12,16624
16626,13,16625
16627,13,16624
16628,55,16623
16629,12,16628
16630,13,16629
16631,13,16628
16632,12,16623
16633,13,16632
16634,87,16519
16635,89,16634
16636,90,16635
16637,90,16635
16638,90,16635
16639,17,16634
16640,0,16639
16641,65,16634
16642,12,16641
16643,14,16642
16644,52,16641
16645,55,16644
16646,12,16645
16647,13,16646
16648,13,16645
16649,12,16644
16650,13,16649
16651,65,16634
16652,12,16651
16653,14,16652
16654,52,16651
16655,55,16654
16656,12,16655
16657,13,16656
16658,13,16655
16659,52,16654
16660,55,16659
16661,12,16660
16662,13,16661
16663,13,16660
16664,0,16659
16665,0,16659
16666,0,16659
16667,0,16659
16668,65,16634
16669,12,16668
16670,14,16669
16671,52,16668
16672,55,16671
16673,12,16672
16674,13,16673
16675,13,16672
16676,0,16671
16677,17,16634
16678,0,16677
16679,65,16634
16680,12,16679
16681,14,16680
16682,52,16679
16683,55,16682
16684,12,16683
16685,13,16684
16686,13,16683
16687,12,16682
16688,13,16687
16689,17,16634
16690,0,16689
16691,65,16634
16692,12,16691
16693,14,16692
16694,52,16691
16695,55,16694
16696,12,16695
16697,13,16696
16698,13,16695
16699,52,16694
16700,55,16699
16701,12,16700
16702,13,16701
16703,13,16700
16704,91,16634
16705,12,16704
16706,13,16705
