node_id,class_name,parent_id,Generator
9808,100,-1,0
9809,74,9808,0
9810,75,9809,0
9811,73,9808,0
9812,75,9811,0
9813,73,9808,0
9814,75,9813,0
9815,73,9808,0
9816,75,9815,0
9817,73,9808,0
9818,75,9817,0
9819,73,9808,0
9820,75,9819,0
9821,74,9808,0
9822,75,9821,0
9823,73,9808,0
9824,75,9823,0
9825,73,9808,0
9826,75,9825,0
9827,75,9825,0
9828,74,9808,0
9829,75,9828,0
9830,74,9808,0
9831,75,9830,0
9832,76,9808,0
9833,41,9832,0
9834,56,9833,0
9835,55,9834,0
9836,12,9835,0
9837,13,9836,0
9838,13,9835,0
9839,57,9834,0
9840,0,9839,0
9841,13,9834,0
9842,42,9833,0
9843,0,9833,0
9844,74,9832,0
9845,75,9844,0
9846,74,9832,0
9847,75,9846,0
9848,87,9808,0
9849,89,9848,0
9850,90,9849,0
9851,90,9849,0
9852,90,9849,0
9853,0,9849,0
9854,0,9849,0
9855,65,9848,0
9856,12,9855,0
9857,14,9856,0
9858,52,9855,0
9859,55,9858,0
9860,12,9859,0
9861,13,9860,0
9862,13,9859,0
9863,12,9858,0
9864,13,9863,0
9865,24,9858,0
9866,56,9865,0
9867,52,9866,0
9868,55,9867,0
9869,12,9868,0
9870,13,9869,0
9871,13,9868,0
9872,41,9867,0
9873,52,9872,0
9874,55,9873,0
9875,12,9874,0
9876,13,9875,0
9877,13,9874,0
9878,12,9873,0
9879,13,9878,0
9880,43,9872,0
9881,12,9872,0
9882,13,9881,0
9883,57,9866,0
9884,0,9883,0
9885,13,9866,0
9886,25,9865,0
9887,0,9865,0
9888,65,9848,0
9889,12,9888,0
9890,14,9889,0
9891,60,9888,0
9892,12,9891,0
9893,13,9892,0
9894,64,9891,0
9895,12,9894,0
9896,14,9895,0
9897,12,9894,0
9898,13,9897,0
9899,41,9894,0
9900,52,9899,0
9901,12,9900,0
9902,13,9901,0
9903,12,9900,0
9904,13,9903,0
9905,46,9899,0
9906,0,9899,0
9907,76,9848,0
9908,41,9907,0
9909,12,9908,0
9910,13,9909,0
9911,42,9908,0
9912,0,9908,0
9913,65,9907,0
9914,12,9913,0
9915,14,9914,0
9916,60,9913,0
9917,56,9916,0
9918,12,9917,0
9919,13,9918,0
9920,57,9917,0
9921,0,9920,0
9922,13,9917,0
9923,64,9916,0
9924,12,9923,0
9925,14,9924,0
9926,12,9923,0
9927,13,9926,0
9928,76,9907,0
9929,41,9928,0
9930,12,9929,0
9931,13,9930,0
9932,42,9929,0
9933,0,9929,0
9934,65,9928,0
9935,12,9934,0
9936,14,9935,0
9937,60,9934,0
9938,56,9937,0
9939,12,9938,0
9940,13,9939,0
9941,57,9938,0
9942,19,9941,0
9943,21,9942,0
9944,0,9942,0
9945,13,9938,0
9946,64,9937,0
9947,12,9946,0
9948,14,9947,0
9949,12,9946,0
9950,13,9949,0
9951,91,9848,0
9952,12,9951,0
9953,13,9952,0
9954,87,9808,0
9955,89,9954,0
9956,90,9955,0
9957,90,9955,0
9958,90,9955,0
9959,9,9955,0
9960,0,9959,0
9961,0,9959,0
9962,6,9959,0
9963,0,9962,0
9964,0,9962,0
9965,13,9962,0
9966,6,9959,0
9967,0,9966,0
9968,0,9966,0
9969,13,9966,0
9970,6,9955,0
9971,0,9970,0
9972,0,9970,0
9973,0,9970,0
9974,0,9970,0
9975,13,9970,0
9976,65,9954,0
9977,12,9976,0
9978,14,9977,0
9979,6,9976,0
9980,13,9979,0
9981,65,9954,0
9982,12,9981,0
9983,14,9982,0
9984,6,9981,0
9985,13,9984,0
9986,65,9954,0
9987,12,9986,0
9988,14,9987,0
9989,0,9986,0
9990,65,9954,0
9991,12,9990,0
9992,14,9991,0
9993,0,9990,0
9994,77,9954,0
9995,12,9994,0
9996,14,9995,0
9997,12,9994,0
9998,13,9997,0
9999,76,9994,0
10000,41,9999,0
10001,24,10000,0
10002,12,10001,0
10003,13,10002,0
10004,30,10001,0
10005,0,10001,0
10006,42,10000,0
10007,0,10000,0
10008,65,9999,0
10009,12,10008,0
10010,14,10009,0
10011,0,10008,0
10012,65,9999,0
10013,12,10012,0
10014,14,10013,0
10015,0,10012,0
10016,65,9994,0
10017,12,10016,0
10018,14,10017,0
10019,52,10016,0
10020,12,10019,0
10021,13,10020,0
10022,52,10019,0
10023,55,10022,0
10024,52,10023,0
10025,55,10024,0
10026,12,10025,0
10027,13,10026,0
10028,13,10025,0
10029,41,10024,0
10030,12,10029,0
10031,13,10030,0
10032,42,10029,0
10033,12,10029,0
10034,13,10033,0
10035,13,10023,0
10036,12,10019,0
10037,13,10036,0
10038,65,9994,0
10039,12,10038,0
10040,14,10039,0
10041,60,10038,0
10042,6,10041,0
10043,12,10042,0
10044,13,10043,0
10045,12,10042,0
10046,13,10045,0
10047,13,10042,0
10048,64,10041,0
10049,12,10048,0
10050,14,10049,0
10051,12,10048,0
10052,13,10051,0
10053,67,9994,0
10054,12,10053,0
10055,14,10054,0
10056,25,10053,0
10057,12,10053,0
10058,13,10057,0
10059,65,9954,0
10060,12,10059,0
10061,14,10060,0
10062,52,10059,0
10063,12,10062,0
10064,13,10063,0
10065,12,10062,0
10066,13,10065,0
10067,53,10062,0
10068,88,10067,0
10069,89,10068,0
10070,90,10069,0
10071,56,10068,0
10072,12,10071,0
10073,13,10072,0
10074,57,10071,0
10075,0,10074,0
10076,13,10071,0
10077,77,9954,0
10078,12,10077,0
10079,14,10078,0
10080,12,10077,0
10081,13,10080,0
10082,77,10077,0
10083,12,10082,0
10084,14,10083,0
10085,52,10082,0
10086,55,10085,0
10087,12,10086,0
10088,13,10087,0
10089,13,10086,0
10090,76,10082,0
10091,41,10090,0
10092,56,10091,0
10093,12,10092,0
10094,13,10093,0
10095,57,10092,0
10096,0,10095,0
10097,13,10092,0
10098,42,10091,0
10099,56,10091,0
10100,56,10099,0
10101,12,10100,0
10102,13,10101,0
10103,57,10100,0
10104,12,10103,0
10105,13,10104,0
10106,13,10100,0
10107,57,10099,0
10108,0,10107,0
10109,13,10099,0
10110,65,10090,0
10111,12,10110,0
10112,14,10111,0
10113,12,10110,0
10114,13,10113,0
10115,65,10090,0
10116,12,10115,0
10117,14,10116,0
10118,56,10115,0
10119,12,10118,0
10120,13,10119,0
10121,57,10118,0
10122,0,10121,0
10123,13,10118,0
10124,76,10090,0
10125,41,10124,0
10126,56,10125,0
10127,12,10126,0
10128,13,10127,0
10129,57,10126,0
10130,0,10129,0
10131,13,10126,0
10132,42,10125,0
10133,56,10125,0
10134,56,10133,0
10135,12,10134,0
10136,13,10135,0
10137,57,10134,0
10138,12,10137,0
10139,13,10138,0
10140,13,10134,0
10141,57,10133,0
10142,0,10141,0
10143,13,10133,0
10144,76,10124,0
10145,41,10144,0
10146,12,10145,0
10147,13,10146,0
10148,42,10145,0
10149,12,10145,0
10150,13,10149,0
10151,65,10144,0
10152,12,10151,0
10153,14,10152,0
10154,6,10151,0
10155,12,10154,0
10156,13,10155,0
10157,6,10154,0
10158,24,10157,0
10159,12,10158,0
10160,13,10159,0
10161,25,10158,0
10162,0,10158,0
10163,24,10157,0
10164,56,10163,0
10165,12,10164,0
10166,13,10165,0
10167,57,10164,0
10168,0,10167,0
10169,13,10164,0
10170,26,10163,0
10171,0,10163,0
10172,13,10157,0
10173,13,10154,0
10174,76,10144,0
10175,41,10174,0
10176,12,10175,0
10177,13,10176,0
10178,46,10175,0
10179,12,10175,0
10180,13,10179,0
10181,17,10174,0
10182,52,10181,0
10183,55,10182,0
10184,12,10183,0
10185,13,10184,0
10186,13,10183,0
10187,6,10182,0
10188,0,10187,0
10189,6,10187,0
10190,12,10189,0
10191,13,10190,0
10192,24,10189,0
10193,12,10192,0
10194,13,10193,0
10195,26,10192,0
10196,0,10192,0
10197,13,10189,0
10198,13,10187,0
10199,65,10144,0
10200,12,10199,0
10201,14,10200,0
10202,24,10199,0
10203,56,10202,0
10204,12,10203,0
10205,13,10204,0
10206,57,10203,0
10207,0,10206,0
10208,13,10203,0
10209,25,10202,0
10210,0,10202,0
10211,17,10144,0
10212,52,10211,0
10213,55,10212,0
10214,12,10213,0
10215,13,10214,0
10216,13,10213,0
10217,12,10212,0
10218,13,10217,0
10219,65,10124,0
10220,12,10219,0
10221,14,10220,0
10222,0,10219,0
10223,76,9954,0
10224,41,10223,0
10225,12,10224,0
10226,13,10225,0
10227,45,10224,0
10228,24,10224,0
10229,52,10228,0
10230,12,10229,0
10231,13,10230,0
10232,12,10229,0
