node_id,path,class_name,name,line_number,end_line_number,col_offset,end_col_offset,parent_id,Generator
0,setup.py,Module,None,None,None,None,None,-1,0
1,setup.py,Expr,None,1,3,0,3,0,0
2,setup.py,Constant,None,1,3,0,3,1,0
3,setup.py,ImportFrom,None,5,5,0,28,0,0
4,setup.py,alias,setup,None,None,None,None,3,0
5,setup.py,ImportFrom,None,6,6,0,19,0,0
6,setup.py,alias,open,None,None,None,None,5,0
7,setup.py,With,None,8,9,0,32,0,0
8,setup.py,withitem,None,None,None,None,None,7,0
9,setup.py,Call,open,8,8,5,51,8,0
10,setup.py,Name,open,8,8,5,9,9,0
11,setup.py,Load,None,None,None,None,None,10,0
12,setup.py,Constant,None,8,8,10,28,9,0
13,setup.py,keyword,None,None,None,None,None,9,0
14,setup.py,Constant,None,8,8,39,50,13,0
15,setup.py,Name,f,8,8,55,56,8,0
16,setup.py,Store,None,None,None,None,None,15,0
17,setup.py,Assign,requirements,9,9,4,32,7,0
18,setup.py,Name,requirements,9,9,4,16,17,0
19,setup.py,Store,None,None,None,None,None,18,0
20,setup.py,Call,readlines,9,9,19,32,17,0
21,setup.py,Attribute,f,9,9,19,30,20,0
22,setup.py,Name,f,9,9,19,20,21,0
23,setup.py,Load,None,None,None,None,None,22,0
24,setup.py,Load,None,None,None,None,None,21,0
25,setup.py,FunctionDef,readme,11,14,0,17,0,0
26,setup.py,arguments,None,None,None,None,None,25,0
27,setup.py,With,None,12,13,4,25,25,0
28,setup.py,withitem,None,None,None,None,None,27,0
29,setup.py,Call,open,12,12,9,48,28,0
30,setup.py,Name,open,12,12,9,13,29,0
31,setup.py,Load,None,None,None,None,None,30,0
32,setup.py,Constant,None,12,12,14,25,29,0
33,setup.py,keyword,None,None,None,None,None,29,0
34,setup.py,Constant,None,12,12,36,47,33,0
35,setup.py,Name,f,12,12,52,53,28,0
36,setup.py,Store,None,None,None,None,None,35,0
37,setup.py,Assign,README,13,13,8,25,27,0
38,setup.py,Name,README,13,13,8,14,37,0
