node_id,class_name,parent_id
30624,100,-1
30625,17,30624
30626,0,30625
30627,73,30624
30628,75,30627
30629,73,30624
30630,75,30629
30631,73,30624
30632,75,30631
30633,73,30624
30634,75,30633
30635,73,30624
30636,75,30635
30637,73,30624
30638,75,30637
30639,74,30624
30640,75,30639
30641,74,30624
30642,75,30641
30643,75,30641
30644,74,30624
30645,75,30644
30646,75,30644
30647,75,30644
30648,75,30644
30649,75,30644
30650,75,30644
30651,75,30644
30652,75,30644
30653,75,30644
30654,73,30624
30655,75,30654
30656,73,30624
30657,75,30656
30658,73,30624
30659,75,30658
30660,74,30624
30661,75,30660
30662,75,30660
30663,75,30660
30664,75,30660
30665,75,30660
30666,74,30624
30667,75,30666
30668,66,30624
30669,12,30668
30670,14,30669
30671,56,30668
30672,12,30671
30673,13,30672
30674,57,30671
30675,12,30674
30676,13,30675
30677,13,30671
30678,6,30668
30679,0,30678
30680,0,30678
30681,0,30678
30682,13,30678
30683,66,30624
30684,12,30683
30685,14,30684
30686,12,30683
30687,13,30686
30688,0,30683
30689,66,30624
30690,12,30689
30691,14,30690
30692,55,30689
30693,12,30692
30694,13,30693
30695,13,30692
30696,52,30689
30697,55,30696
30698,12,30697
30699,13,30698
30700,13,30697
30701,12,30696
30702,13,30701
30703,95,30624
30704,12,30703
30705,13,30704
30706,66,30703
30707,12,30706
30708,14,30707
30709,12,30706
30710,13,30709
30711,66,30703
30712,12,30711
30713,14,30712
30714,56,30711
30715,12,30714
30716,13,30715
30717,57,30714
30718,7,30717
30719,12,30718
30720,13,30719
30721,12,30718
30722,13,30721
30723,13,30718
30724,13,30714
30725,66,30703
30726,12,30725
30727,14,30726
30728,56,30725
30729,12,30728
30730,13,30729
30731,57,30728
30732,12,30731
30733,13,30732
30734,13,30728
30735,66,30703
30736,12,30735
30737,14,30736
30738,56,30735
30739,12,30738
30740,13,30739
30741,57,30738
30742,12,30741
30743,13,30742
30744,13,30738
30745,66,30703
30746,12,30745
30747,14,30746
30748,56,30745
30749,12,30748
30750,13,30749
30751,57,30748
30752,7,30751
30753,12,30752
30754,13,30753
30755,12,30752
30756,13,30755
30757,13,30752
30758,13,30748
30759,66,30703
30760,12,30759
30761,14,30760
30762,56,30759
30763,12,30762
30764,13,30763
30765,57,30762
30766,12,30765
30767,13,30766
30768,13,30762
30769,66,30703
30770,12,30769
30771,14,30770
30772,56,30769
30773,12,30772
30774,13,30773
30775,57,30772
30776,12,30775
30777,13,30776
30778,13,30772
30779,66,30703
30780,12,30779
30781,14,30780
30782,56,30779
30783,12,30782
30784,13,30783
30785,57,30782
30786,12,30785
30787,13,30786
30788,13,30782
30789,66,30703
30790,12,30789
30791,14,30790
30792,56,30789
30793,12,30792
30794,13,30793
30795,57,30792
30796,7,30795
30797,12,30796
30798,13,30797
30799,12,30796
30800,13,30799
30801,13,30796
30802,13,30792
30803,95,30624
30804,12,30803
30805,13,30804
30806,66,30803
30807,12,30806
30808,14,30807
30809,12,30806
30810,13,30809
30811,66,30803
30812,12,30811
30813,14,30812
30814,56,30811
30815,12,30814
30816,13,30815
30817,57,30814
30818,12,30817
30819,13,30818
30820,13,30814
30821,66,30803
30822,12,30821
30823,14,30822
30824,56,30821
30825,12,30824
30826,13,30825
30827,57,30824
30828,12,30827
30829,13,30828
30830,13,30824
30831,66,30803
30832,12,30831
30833,14,30832
30834,56,30831
30835,12,30834
30836,13,30835
30837,57,30834
30838,12,30837
30839,13,30838
30840,13,30834
30841,95,30624
30842,87,30841
30843,89,30842
30844,90,30843
30845,66,30842
30846,55,30845
30847,12,30846
30848,13,30847
30849,14,30846
30850,56,30845
30851,12,30850
30852,13,30851
30853,57,30850
30854,7,30853
30855,12,30854
30856,13,30855
30857,12,30854
30858,13,30857
30859,13,30854
30860,13,30850
30861,52,30845
30862,12,30861
30863,13,30862
30864,66,30842
30865,55,30864
30866,12,30865
30867,13,30866
30868,14,30865
30869,56,30864
30870,12,30869
30871,13,30870
30872,57,30869
30873,56,30872
30874,12,30873
30875,13,30874
30876,57,30873
30877,7,30876
30878,55,30877
30879,12,30878
30880,13,30879
30881,13,30878
30882,12,30877
30883,13,30882
30884,13,30877
30885,13,30873
30886,13,30869
30887,6,30864
30888,13,30887
30889,65,30842
30890,55,30889
30891,12,30890
30892,13,30891
30893,14,30890
30894,0,30889
30895,0,30842
30896,87,30841
30897,89,30896
30898,90,30897
30899,90,30897
30900,56,30899
30901,12,30900
30902,13,30901
30903,57,30900
30904,56,30903
30905,12,30904
30906,13,30905
30907,57,30904
30908,7,30907
30909,12,30908
30910,13,30909
30911,12,30908
30912,13,30911
30913,13,30908
30914,13,30904
30915,13,30900
30916,17,30896
30917,0,30916
30918,76,30896
30919,55,30918
30920,12,30919
30921,13,30920
