node_id,class_name,parent_id
44946,100,-1
44947,17,44946
44948,0,44947
44949,74,44946
44950,75,44949
44951,75,44949
44952,75,44949
44953,75,44949
44954,75,44949
44955,75,44949
44956,73,44946
44957,75,44956
44958,74,44946
44959,75,44958
44960,75,44958
44961,87,44946
44962,89,44961
44963,90,44962
44964,12,44963
44965,13,44964
44966,90,44962
44967,56,44966
44968,12,44967
44969,13,44968
44970,57,44967
44971,55,44970
44972,12,44971
44973,13,44972
44974,13,44971
44975,13,44967
44976,0,44962
44977,17,44961
44978,0,44977
44979,65,44961
44980,12,44979
44981,14,44980
44982,52,44979
44983,55,44982
44984,12,44983
44985,13,44984
44986,13,44983
44987,53,44982
44988,0,44987
44989,53,44982
44990,12,44989
44991,13,44990
44992,65,44961
44993,12,44992
44994,14,44993
44995,52,44992
44996,55,44995
44997,12,44996
44998,13,44997
44999,13,44996
45000,12,44995
45001,13,45000
45002,91,44961
45003,12,45002
45004,13,45003
45005,55,44961
45006,12,45005
45007,13,45006
45008,13,45005
45009,87,44946
45010,89,45009
45011,90,45010
45012,56,45011
45013,12,45012
45014,13,45013
45015,57,45012
45016,7,45015
45017,56,45016
45018,12,45017
45019,13,45018
45020,57,45017
45021,56,45020
45022,12,45021
45023,13,45022
45024,57,45021
45025,7,45024
45026,12,45025
45027,13,45026
45028,12,45025
45029,13,45028
45030,13,45025
45031,13,45021
45032,13,45017
45033,56,45016
45034,12,45033
45035,13,45034
45036,57,45033
45037,56,45036
45038,12,45037
45039,13,45038
45040,57,45037
45041,7,45040
45042,12,45041
45043,13,45042
45044,12,45041
45045,13,45044
45046,13,45041
45047,13,45037
45048,13,45033
45049,13,45016
45050,13,45012
45051,90,45010
45052,55,45051
45053,12,45052
45054,13,45053
45055,13,45052
45056,17,45009
45057,0,45056
45058,65,45009
45059,12,45058
45060,14,45059
45061,60,45058
45062,56,45061
45063,12,45062
45064,13,45063
45065,57,45062
45066,0,45065
45067,13,45062
45068,64,45061
45069,12,45068
45070,14,45069
45071,55,45068
45072,12,45071
45073,13,45072
45074,13,45071
45075,76,45009
45076,19,45075
45077,22,45076
45078,52,45076
45079,12,45078
45080,13,45079
45081,62,45078
45082,41,45081
45083,12,45082
45084,13,45083
45085,50,45082
45086,12,45082
45087,13,45086
45088,64,45081
45089,12,45088
45090,14,45089
45091,12,45088
45092,13,45091
45093,64,45081
45094,12,45093
45095,14,45094
45096,12,45093
45097,13,45096
45098,69,45075
45099,52,45098
45100,55,45099
45101,12,45100
45102,13,45101
45103,13,45100
45104,0,45099
45105,0,45009
