node_id,class_name,parent_id
12147,100,-1
12148,17,12147
12149,0,12148
12150,73,12147
12151,75,12150
12152,73,12147
12153,75,12152
12154,74,12147
12155,75,12154
12156,75,12154
12157,75,12154
12158,75,12154
12159,75,12154
12160,75,12154
12161,75,12154
12162,75,12154
12163,75,12154
12164,73,12147
12165,75,12164
12166,73,12147
12167,75,12166
12168,73,12147
12169,75,12168
12170,74,12147
12171,75,12170
12172,74,12147
12173,75,12172
12174,74,12147
12175,75,12174
12176,65,12147
12177,12,12176
12178,14,12177
12179,6,12176
12180,0,12179
12181,0,12179
12182,0,12179
12183,0,12179
12184,13,12179
12185,65,12147
12186,12,12185
12187,14,12186
12188,52,12185
12189,55,12188
12190,55,12189
12191,12,12190
12192,13,12191
12193,13,12190
12194,13,12189
12195,0,12188
12196,76,12147
12197,12,12196
12198,13,12197
12199,73,12196
12200,75,12199
12201,66,12147
12202,12,12201
12203,14,12202
12204,55,12201
12205,12,12204
12206,13,12205
12207,13,12204
12208,52,12201
12209,55,12208
12210,12,12209
12211,13,12210
12212,13,12209
12213,12,12208
12214,13,12213
12215,65,12147
12216,12,12215
12217,14,12216
12218,52,12215
12219,12,12218
12220,13,12219
12221,0,12218
12222,53,12218
12223,56,12222
12224,12,12223
12225,13,12224
12226,57,12223
12227,7,12226
12228,0,12227
12229,12,12227
12230,13,12229
12231,13,12227
12232,13,12223
12233,87,12147
12234,89,12233
12235,90,12234
12236,12,12235
12237,13,12236
12238,87,12233
12239,89,12238
12240,90,12239
12241,12,12240
12242,13,12241
12243,90,12239
12244,12,12243
12245,13,12244
12246,76,12238
12247,19,12246
12248,22,12247
12249,12,12247
12250,13,12249
12251,69,12246
12252,52,12251
12253,12,12252
12254,13,12253
12255,0,12252
12256,91,12238
12257,52,12256
12258,12,12257
12259,13,12258
12260,16,12257
12261,12,12260
12262,13,12261
12263,13,12260
12264,53,12257
12265,12,12264
12266,13,12265
12267,12,12238
12268,13,12267
12269,91,12233
12270,12,12269
12271,13,12270
12272,12,12233
12273,13,12272
12274,87,12147
12275,89,12274
12276,90,12275
12277,0,12276
12278,76,12274
12279,19,12278
12280,22,12279
12281,52,12279
12282,12,12281
12283,13,12282
12284,12,12281
12285,13,12284
12286,55,12281
12287,12,12286
12288,13,12287
12289,13,12286
12290,69,12278
12291,52,12290
12292,55,12291
12293,12,12292
12294,13,12293
12295,13,12292
12296,0,12291
12297,0,12274
12298,87,12147
12299,89,12298
12300,90,12299
12301,56,12300
12302,12,12301
12303,13,12302
12304,57,12301
12305,12,12304
12306,13,12305
12307,13,12301
12308,90,12299
12309,12,12308
12310,13,12309
12311,65,12298
12312,12,12311
12313,14,12312
12314,54,12311
12315,12,12314
12316,13,12315
12317,4,12314
12318,0,12317
12319,3,12317
12320,12,12319
12321,13,12320
12322,0,12317
12323,0,12314
12324,65,12298
12325,12,12324
12326,14,12325
12327,4,12324
12328,3,12327
12329,12,12328
12330,13,12329
12331,0,12327
12332,3,12327
12333,12,12332
12334,13,12333
12335,0,12327
12336,91,12298
12337,12,12336
12338,13,12337
12339,12,12298
