node_id,class_name,parent_id
45470,100,-1
45471,17,45470
45472,0,45471
45473,73,45470
45474,75,45473
45475,74,45470
45476,75,45475
45477,73,45470
45478,75,45477
45479,74,45470
45480,75,45479
45481,75,45479
45482,75,45479
45483,74,45470
45484,75,45483
45485,66,45470
45486,12,45485
45487,14,45486
45488,55,45485
45489,12,45488
45490,13,45489
45491,13,45488
45492,52,45485
45493,55,45492
45494,12,45493
45495,13,45494
45496,13,45493
45497,12,45492
45498,13,45497
45499,87,45470
45500,89,45499
45501,90,45500
45502,12,45501
45503,13,45502
45504,90,45500
45505,56,45504
45506,12,45505
45507,13,45506
45508,57,45505
45509,12,45508
45510,13,45509
45511,13,45505
45512,90,45500
45513,56,45512
45514,12,45513
45515,13,45514
45516,57,45513
45517,12,45516
45518,13,45517
45519,13,45513
45520,90,45500
45521,56,45520
45522,12,45521
45523,13,45522
45524,57,45521
45525,12,45524
45526,13,45525
45527,13,45521
45528,90,45500
45529,56,45528
45530,12,45529
45531,13,45530
45532,57,45529
45533,55,45532
45534,12,45533
45535,13,45534
45536,13,45533
45537,13,45529
45538,0,45500
45539,0,45500
45540,0,45500
45541,0,45500
45542,17,45499
45543,0,45542
45544,76,45499
45545,38,45544
45546,39,45545
45547,41,45545
45548,12,45547
45549,13,45548
45550,48,45547
45551,0,45547
45552,41,45545
45553,12,45552
45554,13,45553
45555,48,45552
45556,0,45552
45557,69,45544
45558,52,45557
45559,55,45558
45560,12,45559
45561,13,45560
45562,13,45559
45563,0,45558
45564,66,45499
45565,12,45564
45566,14,45565
45567,55,45564
45568,12,45567
45569,13,45568
45570,13,45567
45571,52,45564
45572,55,45571
45573,12,45572
45574,13,45573
45575,13,45572
45576,53,45571
45577,12,45576
45578,13,45577
45579,76,45499
45580,41,45579
45581,12,45580
45582,13,45581
45583,48,45580
45584,0,45580
45585,65,45579
45586,12,45585
45587,14,45586
45588,52,45585
45589,55,45588
45590,12,45589
45591,13,45590
45592,13,45589
45593,53,45588
45594,12,45593
45595,13,45594
45596,76,45499
45597,38,45596
45598,39,45597
45599,41,45597
45600,12,45599
45601,13,45600
45602,48,45599
45603,0,45599
45604,41,45597
45605,12,45604
45606,13,45605
45607,49,45604
45608,0,45604
45609,65,45596
45610,12,45609
45611,14,45610
45612,52,45609
45613,12,45612
45614,13,45613
45615,53,45612
45616,12,45615
45617,13,45616
45618,53,45612
45619,12,45618
45620,13,45619
45621,53,45612
45622,12,45621
45623,13,45622
45624,66,45499
45625,12,45624
45626,14,45625
45627,55,45624
45628,12,45627
45629,13,45628
45630,13,45627
45631,52,45624
45632,55,45631
45633,12,45632
45634,13,45633
45635,13,45632
45636,53,45631
45637,0,45636
45638,53,45631
45639,12,45638
45640,13,45639
45641,17,45499
45642,52,45641
45643,55,45642
45644,12,45643
45645,13,45644
45646,13,45643
45647,53,45642
45648,12,45647
45649,13,45648
45650,53,45642
45651,12,45650
45652,13,45651
45653,53,45642
45654,12,45653
45655,13,45654
45656,0,45499
