node_id,class_name,parent_id
53501,100,-1
53502,17,53501
53503,0,53502
53504,73,53501
53505,75,53504
53506,73,53501
53507,75,53506
53508,73,53501
53509,75,53508
53510,73,53501
53511,75,53510
53512,74,53501
53513,75,53512
53514,75,53512
53515,75,53512
53516,75,53512
53517,75,53512
53518,75,53512
53519,73,53501
53520,75,53519
53521,74,53501
53522,75,53521
53523,74,53501
53524,75,53523
53525,66,53501
53526,12,53525
53527,14,53526
53528,55,53525
53529,12,53528
53530,13,53529
53531,13,53528
53532,52,53525
53533,55,53532
53534,12,53533
53535,13,53534
53536,13,53533
53537,12,53532
53538,13,53537
53539,87,53501
53540,89,53539
53541,90,53540
53542,12,53541
53543,13,53542
53544,90,53540
53545,55,53544
53546,12,53545
53547,13,53546
53548,13,53545
53549,66,53539
53550,12,53549
53551,14,53550
53552,55,53549
53553,12,53552
53554,13,53553
53555,13,53552
53556,52,53549
53557,55,53556
53558,12,53557
53559,13,53558
53560,13,53557
53561,53,53556
53562,0,53561
53563,53,53556
53564,12,53563
53565,13,53564
53566,66,53539
53567,12,53566
53568,14,53567
53569,12,53566
53570,13,53569
53571,66,53539
53572,12,53571
53573,14,53572
53574,12,53571
53575,13,53574
53576,65,53539
53577,7,53576
53578,12,53577
53579,14,53578
53580,12,53577
53581,14,53580
53582,14,53577
53583,52,53576
53584,55,53583
53585,12,53584
53586,13,53585
53587,13,53584
53588,53,53583
53589,12,53588
53590,13,53589
53591,66,53539
53592,12,53591
53593,14,53592
53594,56,53591
53595,12,53594
53596,13,53595
53597,57,53594
53598,7,53597
53599,12,53598
53600,13,53599
53601,12,53598
53602,13,53601
53603,13,53598
53604,13,53594
53605,52,53591
53606,55,53605
53607,12,53606
53608,13,53607
53609,13,53606
53610,53,53605
53611,55,53610
53612,12,53611
53613,13,53612
53614,13,53611
53615,53,53605
53616,55,53615
53617,55,53616
53618,12,53617
53619,13,53618
53620,13,53617
53621,13,53616
53622,53,53605
53623,12,53622
53624,13,53623
53625,53,53605
53626,12,53625
53627,13,53626
53628,91,53539
53629,7,53628
53630,12,53629
53631,13,53630
53632,12,53629
53633,13,53632
53634,13,53629
53635,56,53539
53636,12,53635
53637,13,53636
53638,57,53635
53639,7,53638
53640,12,53639
53641,13,53640
53642,56,53639
53643,12,53642
53644,13,53643
53645,57,53642
53646,7,53645
53647,12,53646
53648,13,53647
53649,12,53646
53650,13,53649
53651,13,53646
53652,13,53642
53653,13,53639
53654,13,53635
53655,87,53501
53656,89,53655
53657,90,53656
53658,12,53657
53659,13,53658
53660,90,53656
53661,55,53660
53662,12,53661
53663,13,53662
53664,13,53661
53665,65,53655
53666,12,53665
53667,14,53666
53668,52,53665
53669,55,53668
53670,12,53669
53671,13,53670
53672,13,53669
53673,53,53668
53674,12,53673
53675,13,53674
53676,91,53655
53677,52,53676
53678,12,53677
53679,13,53678
53680,53,53677
53681,12,53680
53682,13,53681
53683,53,53677
53684,12,53683
53685,13,53684
53686,56,53655
53687,12,53686
53688,13,53687
53689,57,53686
53690,7,53689
53691,12,53690
53692,13,53691
53693,56,53690
53694,12,53693
53695,13,53694
53696,57,53693
53697,7,53696
53698,12,53697
53699,13,53698
53700,12,53697
53701,13,53700
53702,13,53697
53703,13,53693
53704,13,53690
53705,13,53686
53706,87,53501
53707,89,53706
53708,90,53707
53709,56,53708
53710,12,53709
53711,13,53710
53712,57,53709
53713,7,53712
53714,12,53713
53715,13,53714
53716,56,53713
53717,12,53716
53718,13,53717
53719,57,53716
53720,12,53719
53721,13,53720
53722,13,53716
53723,13,53713
53724,13,53709
53725,90,53707
53726,12,53725
53727,13,53726
53728,90,53707
53729,56,53728
53730,12,53729
53731,13,53730
53732,57,53729
53733,55,53732
53734,12,53733
53735,13,53734
53736,13,53733
53737,13,53729
53738,90,53707
53739,56,53738
53740,12,53739
53741,13,53740
53742,57,53739
53743,55,53742
53744,12,53743
53745,13,53744
53746,13,53743
53747,13,53739
53748,90,53707
53749,56,53748
53750,12,53749
53751,13,53750
53752,57,53749
53753,55,53752
53754,12,53753
53755,13,53754
53756,13,53753
53757,13,53749
53758,0,53707
53759,0,53707
53760,0,53707
53761,0,53707
53762,17,53706
53763,0,53762
53764,66,53706
53765,12,53764
53766,14,53765
53767,56,53764
53768,12,53767
53769,13,53768
53770,57,53767
53771,12,53770
53772,13,53771
53773,13,53767
53774,52,53764
53775,12,53774
53776,13,53775
53777,53,53774
53778,12,53777
53779,13,53778
53780,53,53774
53781,12,53780
53782,13,53781
53783,53,53774
53784,12,53783
53785,13,53784
53786,53,53774
53787,12,53786
53788,13,53787
53789,76,53706
53790,41,53789
53791,52,53790
53792,12,53791
53793,13,53792
53794,12,53791
53795,13,53794
53796,44,53790
53797,0,53790
53798,91,53789
53799,9,53798
53800,66,53706
53801,12,53800
53802,14,53801
53803,56,53800
53804,12,53803
53805,13,53804
53806,57,53803
53807,56,53806
53808,12,53807
53809,13,53808
53810,57,53807
53811,7,53810
53812,12,53811
53813,13,53812
53814,56,53811
53815,12,53814
53816,13,53815
53817,57,53814
53818,7,53817
53819,12,53818
53820,13,53819
53821,12,53818
53822,13,53821
53823,13,53818
53824,13,53814
53825,13,53811
53826,13,53807
53827,13,53803
53828,76,53706
53829,41,53828
53830,52,53829
53831,12,53830
53832,13,53831
53833,12,53830
53834,13,53833
53835,42,53829
53836,0,53829
53837,65,53828
53838,12,53837
53839,14,53838
53840,6,53837
53841,52,53840
53842,12,53841
53843,13,53842
53844,53,53841
53845,56,53844
53846,12,53845
53847,13,53846
53848,57,53845
53849,0,53848
53850,13,53845
53851,53,53841
53852,12,53851
53853,13,53852
53854,13,53840
53855,76,53828
53856,41,53855
53857,12,53856
53858,13,53857
53859,48,53856
53860,0,53856
53861,65,53855
53862,12,53861
53863,14,53862
53864,60,53861
53865,52,53864
53866,12,53865
53867,13,53866
53868,53,53865
53869,12,53868
53870,13,53869
53871,53,53865
53872,12,53871
53873,13,53872
53874,64,53864
53875,12,53874
53876,14,53875
53877,12,53874
53878,13,53877
53879,66,53855
53880,12,53879
53881,14,53880
53882,12,53879
53883,13,53882
53884,52,53879
53885,55,53884
53886,12,53885
53887,13,53886
53888,13,53885
53889,53,53884
53890,12,53889
53891,13,53890
53892,85,53855
53893,86,53892
53894,52,53893
53895,55,53894
53896,55,53895
53897,12,53896
53898,13,53897
53899,13,53896
53900,13,53895
53901,53,53894
53902,12,53901
53903,13,53902
53904,12,53893
53905,14,53904
53906,65,53892
53907,12,53906
53908,14,53907
53909,52,53906
53910,12,53909
53911,13,53910
53912,52,53909
53913,55,53912
53914,12,53913
53915,13,53914
53916,13,53913
53917,12,53912
53918,13,53917
53919,12,53912
53920,13,53919
53921,52,53912
53922,55,53921
53923,12,53922
53924,13,53923
53925,13,53922
53926,52,53921
53927,55,53926
53928,12,53927
53929,13,53928
53930,13,53927
53931,53,53926
53932,12,53931
53933,13,53932
53934,66,53706
53935,12,53934
53936,14,53935
53937,56,53934
53938,12,53937
53939,13,53938
53940,57,53937
53941,7,53940
53942,12,53941
53943,13,53942
53944,56,53941
53945,12,53944
53946,13,53945
53947,57,53944
53948,7,53947
53949,12,53948
53950,13,53949
53951,12,53948
53952,13,53951
53953,13,53948
53954,13,53944
53955,13,53941
53956,13,53937
53957,52,53934
53958,12,53957
53959,13,53958
53960,12,53957
53961,13,53960
53962,91,53706
53963,12,53962
53964,13,53963
53965,56,53706
53966,12,53965
53967,13,53966
53968,57,53965
53969,7,53968
53970,12,53969
53971,13,53970
53972,56,53969
53973,12,53972
53974,13,53973
53975,57,53972
53976,7,53975
53977,12,53976
53978,13,53977
53979,12,53976
53980,13,53979
53981,13,53976
53982,13,53972
53983,13,53969
53984,13,53965
53985,87,53501
53986,89,53985
53987,90,53986
53988,56,53987
53989,12,53988
53990,13,53989
53991,57,53988
53992,7,53991
53993,12,53992
53994,13,53993
53995,56,53992
53996,12,53995
53997,13,53996
53998,57,53995
53999,12,53998
54000,13,53999
54001,13,53995
54002,13,53992
54003,13,53988
54004,90,53986
54005,12,54004
54006,13,54005
54007,90,53986
54008,56,54007
54009,12,54008
54010,13,54009
54011,57,54008
54012,55,54011
54013,12,54012
54014,13,54013
54015,13,54012
54016,13,54008
54017,0,53986
54018,0,53986
54019,17,53985
54020,0,54019
54021,66,53985
54022,12,54021
54023,14,54022
54024,56,54021
54025,12,54024
54026,13,54025
54027,57,54024
54028,7,54027
54029,12,54028
54030,13,54029
54031,56,54028
54032,12,54031
54033,13,54032
54034,57,54031
54035,7,54034
54036,12,54035
54037,13,54036
54038,12,54035
54039,13,54038
54040,13,54035
54041,13,54031
54042,13,54028
54043,13,54024
54044,52,54021
54045,12,54044
54046,13,54045
54047,53,54044
54048,12,54047
54049,13,54048
54050,53,54044
54051,12,54050
54052,13,54051
54053,53,54044
54054,12,54053
54055,13,54054
54056,66,53985
54057,12,54056
54058,14,54057
54059,56,54056
54060,12,54059
54061,13,54060
54062,57,54059
54063,7,54062
54064,12,54063
54065,13,54064
54066,56,54063
54067,12,54066
54068,13,54067
54069,57,54066
54070,12,54069
54071,13,54070
54072,13,54066
54073,13,54063
54074,13,54059
54075,63,54056
54076,12,54075
54077,13,54076
54078,52,54075
54079,55,54078
54080,12,54079
54081,13,54080
54082,13,54079
54083,0,54078
54084,0,54078
54085,64,54075
54086,7,54085
54087,12,54086
54088,14,54087
54089,12,54086
54090,14,54089
54091,14,54086
54092,52,54085
54093,55,54092
54094,12,54093
54095,13,54094
54096,13,54093
54097,91,53985
54098,12,54097
54099,13,54098
54100,56,53985
54101,12,54100
54102,13,54101
54103,57,54100
54104,7,54103
54105,12,54104
54106,13,54105
54107,56,54104
54108,12,54107
54109,13,54108
54110,57,54107
54111,12,54110
54112,13,54111
54113,13,54107
54114,13,54104
54115,13,54100
54116,87,53501
54117,89,54116
54118,90,54117
54119,12,54118
54120,13,54119
54121,90,54117
54122,56,54121
54123,12,54122
54124,13,54123
54125,57,54122
54126,55,54125
54127,12,54126
54128,13,54127
54129,13,54126
54130,13,54122
54131,0,54117
54132,17,54116
54133,0,54132
54134,66,54116
54135,12,54134
54136,14,54135
54137,55,54134
54138,12,54137
54139,13,54138
54140,13,54137
54141,52,54134
54142,55,54141
54143,12,54142
54144,13,54143
54145,13,54142
54146,53,54141
54147,0,54146
54148,53,54141
54149,12,54148
54150,13,54149
54151,17,54116
54152,52,54151
54153,55,54152
54154,12,54153
54155,13,54154
54156,13,54153
54157,0,54152
54158,12,54152
54159,13,54158
54160,66,54116
54161,12,54160
54162,14,54161
54163,12,54160
54164,13,54163
54165,56,54160
54166,52,54165
54167,55,54166
54168,12,54167
54169,13,54168
54170,13,54167
54171,53,54166
54172,12,54171
54173,13,54172
54174,57,54165
54175,0,54174
54176,13,54165
54177,65,54116
54178,12,54177
54179,14,54178
54180,54,54177
54181,41,54180
54182,12,54181
54183,13,54182
54184,48,54181
54185,0,54181
54186,0,54180
54187,12,54180
54188,13,54187
54189,17,54116
54190,52,54189
54191,55,54190
54192,12,54191
54193,13,54192
54194,13,54191
54195,0,54190
54196,12,54190
54197,13,54196
54198,91,54116
54199,12,54198
54200,13,54199
54201,12,54116
54202,13,54201
