node_id,class_name,parent_id
54203,100,-1
54204,17,54203
54205,0,54204
54206,73,54203
54207,75,54206
54208,74,54203
54209,75,54208
54210,75,54208
54211,75,54208
54212,75,54208
54213,73,54203
54214,75,54213
54215,74,54203
54216,75,54215
54217,74,54203
54218,75,54217
54219,66,54203
54220,12,54219
54221,14,54220
54222,55,54219
54223,12,54222
54224,13,54223
54225,13,54222
54226,52,54219
54227,55,54226
54228,12,54227
54229,13,54228
54230,13,54227
54231,12,54226
54232,13,54231
54233,87,54203
54234,89,54233
54235,90,54234
54236,12,54235
54237,13,54236
54238,90,54234
54239,56,54238
54240,12,54239
54241,13,54240
54242,57,54239
54243,7,54242
54244,12,54243
54245,13,54244
54246,12,54243
54247,13,54246
54248,13,54243
54249,13,54239
54250,90,54234
54251,12,54250
54252,13,54251
54253,90,54234
54254,56,54253
54255,12,54254
54256,13,54255
54257,57,54254
54258,55,54257
54259,12,54258
54260,13,54259
54261,13,54258
54262,13,54254
54263,90,54234
54264,56,54263
54265,12,54264
54266,13,54265
54267,57,54264
54268,56,54267
54269,12,54268
54270,13,54269
54271,57,54268
54272,7,54271
54273,12,54272
54274,13,54273
54275,12,54272
54276,13,54275
54277,13,54272
54278,13,54268
54279,13,54264
54280,0,54234
54281,0,54234
54282,0,54234
54283,17,54233
54284,0,54283
54285,66,54233
54286,12,54285
54287,14,54286
54288,55,54285
54289,12,54288
54290,13,54289
54291,13,54288
54292,52,54285
54293,55,54292
54294,12,54293
54295,13,54294
54296,13,54293
54297,53,54292
54298,12,54297
54299,13,54298
54300,17,54233
54301,52,54300
54302,55,54301
54303,12,54302
54304,13,54303
54305,13,54302
54306,0,54301
54307,12,54301
54308,13,54307
54309,85,54233
54310,86,54309
54311,52,54310
54312,12,54311
54313,13,54312
54314,53,54311
54315,12,54314
54316,13,54315
54317,53,54311
54318,0,54317
54319,53,54311
54320,12,54319
54321,13,54320
54322,53,54311
54323,19,54322
54324,21,54323
54325,0,54323
54326,53,54311
54327,12,54326
54328,13,54327
54329,53,54311
54330,12,54329
54331,13,54330
54332,12,54310
54333,14,54332
54334,76,54309
54335,52,54334
54336,12,54335
54337,13,54336
54338,12,54335
54339,13,54338
54340,12,54335
54341,13,54340
54342,17,54334
54343,52,54342
54344,55,54343
54345,12,54344
54346,13,54345
54347,13,54344
54348,0,54343
54349,12,54343
54350,13,54349
54351,85,54334
54352,86,54351
54353,52,54352
54354,12,54353
54355,13,54354
54356,53,54353
54357,12,54356
54358,13,54357
54359,53,54353
54360,0,54359
54361,12,54352
54362,14,54361
54363,17,54351
54364,52,54363
54365,55,54364
54366,12,54365
54367,13,54366
54368,13,54365
54369,52,54364
54370,55,54369
54371,12,54370
54372,13,54371
54373,13,54370
54374,17,54334
54375,52,54374
54376,55,54375
54377,12,54376
54378,13,54377
54379,13,54376
54380,0,54375
54381,17,54334
54382,52,54381
54383,55,54382
54384,12,54383
54385,13,54384
54386,13,54383
54387,52,54382
54388,55,54387
54389,12,54388
54390,13,54389
54391,13,54388
54392,0,54233
