node_id,class_name,parent_id
59705,100,-1
59706,17,59705
59707,0,59706
59708,73,59705
59709,75,59708
59710,74,59705
59711,75,59710
59712,75,59710
59713,73,59705
59714,75,59713
59715,73,59705
59716,75,59715
59717,73,59705
59718,75,59717
59719,66,59705
59720,12,59719
59721,14,59720
59722,55,59719
59723,12,59722
59724,13,59723
59725,13,59722
59726,52,59719
59727,55,59726
59728,12,59727
59729,13,59728
59730,13,59727
59731,12,59726
59732,13,59731
59733,87,59705
59734,89,59733
59735,90,59734
59736,55,59735
59737,12,59736
59738,13,59737
59739,13,59736
59740,90,59734
59741,55,59740
59742,12,59741
59743,13,59742
59744,13,59741
59745,90,59734
59746,56,59745
59747,12,59746
59748,13,59747
59749,57,59746
59750,12,59749
59751,13,59750
59752,13,59746
59753,90,59734
59754,12,59753
59755,13,59754
59756,90,59734
59757,12,59756
59758,13,59757
59759,90,59734
59760,56,59759
59761,12,59760
59762,13,59761
59763,57,59760
59764,55,59763
59765,12,59764
59766,13,59765
59767,13,59764
59768,13,59760
59769,17,59733
59770,0,59769
59771,65,59733
59772,12,59771
59773,14,59772
59774,52,59771
59775,55,59774
59776,12,59775
59777,13,59776
59778,13,59775
59779,53,59774
59780,12,59779
59781,13,59780
59782,53,59774
59783,0,59782
59784,53,59774
59785,0,59784
59786,65,59733
59787,12,59786
59788,14,59787
59789,52,59786
59790,55,59789
59791,12,59790
59792,13,59791
59793,13,59790
59794,53,59789
59795,12,59794
59796,13,59795
59797,53,59789
59798,0,59797
59799,53,59789
59800,0,59799
59801,65,59733
59802,12,59801
59803,14,59802
59804,52,59801
59805,55,59804
59806,12,59805
59807,13,59806
59808,13,59805
59809,6,59804
59810,56,59809
59811,12,59810
59812,13,59811
59813,57,59810
59814,19,59813
59815,23,59814
59816,52,59814
59817,55,59816
59818,55,59817
59819,12,59818
59820,13,59819
59821,13,59818
59822,13,59817
59823,55,59816
59824,12,59823
59825,13,59824
59826,13,59823
59827,13,59810
59828,12,59809
59829,13,59828
59830,13,59809
59831,65,59733
59832,12,59831
59833,14,59832
59834,52,59831
59835,55,59834
59836,12,59835
59837,13,59836
59838,13,59835
59839,53,59834
59840,0,59839
59841,65,59733
59842,12,59841
59843,14,59842
59844,52,59841
59845,55,59844
59846,55,59845
59847,12,59846
59848,13,59847
59849,13,59846
59850,13,59845
59851,53,59844
59852,12,59851
59853,13,59852
59854,53,59844
59855,12,59854
59856,13,59855
59857,53,59844
59858,12,59857
59859,13,59858
59860,65,59733
59861,12,59860
59862,14,59861
59863,52,59860
59864,55,59863
59865,55,59864
59866,12,59865
59867,13,59866
59868,13,59865
59869,13,59864
59870,53,59863
59871,12,59870
59872,13,59871
59873,53,59863
59874,12,59873
59875,13,59874
59876,53,59863
59877,0,59876
59878,53,59863
59879,12,59878
59880,13,59879
59881,53,59863
59882,12,59881
59883,13,59882
59884,53,59863
59885,0,59884
59886,53,59863
59887,12,59886
59888,13,59887
59889,17,59733
59890,52,59889
59891,55,59890
59892,12,59891
59893,13,59892
59894,13,59891
59895,0,59890
59896,12,59890
59897,13,59896
59898,12,59890
59899,13,59898
59900,52,59890
59901,12,59900
59902,13,59901
59903,12,59900
59904,13,59903
59905,0,59733
59906,87,59705
59907,89,59906
59908,90,59907
59909,55,59908
59910,12,59909
59911,13,59910
59912,13,59909
59913,90,59907
59914,55,59913
59915,12,59914
59916,13,59915
59917,13,59914
59918,90,59907
59919,56,59918
59920,12,59919
59921,13,59920
59922,57,59919
59923,12,59922
59924,13,59923
59925,13,59919
59926,17,59906
59927,0,59926
59928,65,59906
59929,12,59928
59930,14,59929
59931,52,59928
59932,12,59931
59933,13,59932
59934,76,59906
59935,41,59934
59936,52,59935
59937,12,59936
59938,13,59937
59939,52,59936
59940,55,59939
59941,52,59940
59942,55,59941
59943,12,59942
59944,13,59943
59945,13,59942
59946,12,59941
59947,13,59946
59948,53,59941
59949,12,59948
59950,13,59949
59951,13,59940
59952,43,59935
59953,0,59935
59954,17,59934
59955,52,59954
59956,55,59955
59957,12,59956
59958,13,59957
59959,13,59956
59960,0,59955
59961,76,59906
59962,41,59961
59963,52,59962
59964,55,59963
59965,55,59964
59966,12,59965
59967,13,59966
59968,13,59965
59969,13,59964
59970,43,59962
59971,52,59962
59972,55,59971
59973,55,59972
59974,12,59973
59975,13,59974
59976,13,59973
59977,13,59972
59978,17,59961
59979,52,59978
59980,55,59979
59981,12,59980
59982,13,59981
59983,13,59980
59984,4,59979
59985,0,59984
59986,3,59984
59987,52,59986
59988,55,59987
59989,55,59988
59990,12,59989
59991,13,59990
59992,13,59989
59993,13,59988
59994,0,59984
59995,3,59984
59996,52,59995
59997,55,59996
59998,55,59997
59999,12,59998
60000,13,59999
60001,13,59998
60002,13,59997
60003,76,59906
60004,41,60003
60005,52,60004
60006,12,60005
60007,13,60006
60008,52,60005
60009,55,60008
60010,52,60009
60011,55,60010
60012,12,60011
60013,13,60012
60014,13,60011
60015,12,60010
60016,13,60015
60017,53,60010
60018,12,60017
60019,13,60018
60020,13,60009
60021,43,60004
60022,0,60004
60023,17,60003
60024,52,60023
60025,55,60024
60026,12,60025
60027,13,60026
60028,13,60025
60029,0,60024
60030,17,59906
60031,52,60030
60032,55,60031
60033,12,60032
60034,13,60033
60035,13,60032
60036,0,60031
60037,12,60031
60038,13,60037
60039,91,59906
60040,41,60039
60041,52,60040
60042,12,60041
60043,13,60042
60044,12,60041
60045,13,60044
60046,42,60040
60047,0,60040
60048,12,59906
60049,13,60048
60050,87,59705
60051,89,60050
60052,90,60051
60053,55,60052
60054,12,60053
60055,13,60054
60056,13,60053
60057,90,60051
60058,12,60057
60059,13,60058
60060,90,60051
60061,12,60060
60062,13,60061
60063,90,60051
60064,56,60063
60065,12,60064
60066,13,60065
60067,57,60064
60068,12,60067
60069,13,60068
60070,13,60064
60071,90,60051
60072,56,60071
60073,12,60072
60074,13,60073
60075,57,60072
60076,55,60075
60077,12,60076
60078,13,60077
60079,13,60076
60080,13,60072
60081,0,60051
60082,17,60050
60083,0,60082
60084,76,60050
60085,52,60084
60086,55,60085
60087,55,60086
60088,12,60087
60089,13,60088
60090,13,60087
60091,13,60086
60092,53,60085
60093,12,60092
60094,13,60093
60095,53,60085
60096,12,60095
60097,13,60096
60098,53,60085
60099,12,60098
60100,13,60099
60101,65,60084
60102,12,60101
60103,14,60102
60104,52,60101
60105,55,60104
60106,55,60105
60107,12,60106
60108,13,60107
60109,13,60106
60110,13,60105
60111,53,60104
60112,12,60111
60113,13,60112
60114,53,60104
60115,12,60114
60116,13,60115
60117,53,60104
60118,12,60117
60119,13,60118
60120,76,60084
60121,52,60120
60122,12,60121
60123,13,60122
60124,53,60121
60125,12,60124
60126,13,60125
60127,53,60121
60128,12,60127
60129,13,60128
60130,53,60121
60131,12,60130
60132,13,60131
60133,17,60120
60134,52,60133
60135,12,60134
60136,13,60135
60137,53,60134
60138,12,60137
60139,13,60138
60140,53,60134
60141,12,60140
60142,13,60141
60143,53,60134
60144,12,60143
60145,13,60144
60146,53,60134
60147,12,60146
60148,13,60147
60149,53,60134
60150,12,60149
60151,13,60150
60152,53,60134
60153,12,60152
60154,13,60153
60155,65,60084
60156,12,60155
60157,14,60156
60158,4,60155
60159,0,60158
60160,3,60158
60161,12,60160
60162,13,60161
60163,0,60158
60164,3,60158
60165,12,60164
60166,13,60165
60167,0,60158
60168,17,60084
60169,52,60168
60170,55,60169
60171,12,60170
60172,13,60171
60173,13,60170
60174,12,60169
60175,13,60174
60176,69,60084
60177,52,60176
60178,12,60177
60179,13,60178
60180,12,60177
60181,13,60180
60182,0,60050
