node_id,class_name,parent_id
67346,100,-1
67347,17,67346
67348,0,67347
67349,73,67346
67350,75,67349
67351,74,67346
67352,75,67351
67353,75,67351
67354,75,67351
67355,75,67351
67356,73,67346
67357,75,67356
67358,74,67346
67359,75,67358
67360,74,67346
67361,75,67360
67362,66,67346
67363,12,67362
67364,14,67363
67365,55,67362
67366,12,67365
67367,13,67366
67368,13,67365
67369,52,67362
67370,55,67369
67371,12,67370
67372,13,67371
67373,13,67370
67374,12,67369
67375,13,67374
67376,87,67346
67377,89,67376
67378,90,67377
67379,56,67378
67380,12,67379
67381,13,67380
67382,57,67379
67383,7,67382
67384,12,67383
67385,13,67384
67386,12,67383
67387,13,67386
67388,13,67383
67389,13,67379
67390,90,67377
67391,12,67390
67392,13,67391
67393,90,67377
67394,12,67393
67395,13,67394
67396,90,67377
67397,56,67396
67398,12,67397
67399,13,67398
67400,57,67397
67401,55,67400
67402,12,67401
67403,13,67402
67404,13,67401
67405,13,67397
67406,90,67377
67407,56,67406
67408,12,67407
67409,13,67408
67410,57,67407
67411,56,67410
67412,12,67411
67413,13,67412
67414,57,67411
67415,7,67414
67416,12,67415
67417,13,67416
67418,12,67415
67419,13,67418
67420,13,67415
67421,13,67411
67422,13,67407
67423,0,67377
67424,0,67377
67425,0,67377
67426,17,67376
67427,0,67426
67428,66,67376
67429,12,67428
67430,14,67429
67431,55,67428
67432,12,67431
67433,13,67432
67434,13,67431
67435,52,67428
67436,55,67435
67437,12,67436
67438,13,67437
67439,13,67436
67440,53,67435
67441,12,67440
67442,13,67441
67443,17,67376
67444,52,67443
67445,55,67444
67446,12,67445
67447,13,67446
67448,13,67445
67449,0,67444
67450,12,67444
67451,13,67450
67452,85,67376
67453,86,67452
67454,52,67453
67455,12,67454
67456,13,67455
67457,53,67454
67458,12,67457
67459,13,67458
67460,53,67454
67461,0,67460
67462,53,67454
67463,12,67462
67464,13,67463
67465,53,67454
67466,19,67465
67467,21,67466
67468,0,67466
67469,53,67454
67470,12,67469
67471,13,67470
67472,53,67454
67473,12,67472
67474,13,67473
67475,12,67453
67476,14,67475
67477,76,67452
67478,52,67477
67479,12,67478
67480,13,67479
67481,12,67478
67482,13,67481
67483,12,67478
67484,13,67483
67485,17,67477
67486,52,67485
67487,55,67486
67488,12,67487
67489,13,67488
67490,13,67487
67491,0,67486
67492,12,67486
67493,13,67492
67494,85,67477
67495,86,67494
67496,52,67495
67497,12,67496
67498,13,67497
67499,53,67496
67500,12,67499
67501,13,67500
67502,53,67496
67503,0,67502
67504,12,67495
67505,14,67504
67506,17,67494
67507,52,67506
67508,55,67507
67509,12,67508
67510,13,67509
67511,13,67508
67512,52,67507
67513,55,67512
67514,12,67513
67515,13,67514
67516,13,67513
67517,17,67477
67518,52,67517
67519,55,67518
67520,12,67519
67521,13,67520
67522,13,67519
67523,0,67518
67524,17,67477
67525,52,67524
67526,55,67525
67527,12,67526
67528,13,67527
67529,13,67526
67530,52,67525
67531,55,67530
67532,12,67531
67533,13,67532
67534,13,67531
67535,0,67376
