node_id,class_name,parent_id
74983,100,-1
74984,73,74983
74985,75,74984
74986,73,74983
74987,75,74986
74988,73,74983
74989,75,74988
74990,17,74983
74991,52,74990
74992,55,74991
74993,55,74992
74994,12,74993
74995,13,74994
74996,13,74993
74997,13,74992
74998,0,74991
74999,52,74991
75000,55,74999
75001,55,75000
75002,12,75001
75003,13,75002
75004,13,75001
75005,13,75000
75006,0,74999
75007,73,74983
75008,75,75007
75009,65,74983
75010,12,75009
75011,14,75010
75012,0,75009
75013,65,74983
75014,12,75013
75015,14,75014
75016,0,75013
75017,65,74983
75018,12,75017
75019,14,75018
75020,0,75017
75021,65,74983
75022,12,75021
75023,14,75022
75024,55,75021
75025,12,75024
75026,13,75025
75027,13,75024
75028,65,74983
75029,12,75028
75030,14,75029
75031,55,75028
75032,12,75031
75033,13,75032
75034,13,75031
75035,65,74983
75036,12,75035
75037,14,75036
75038,6,75035
75039,0,75038
75040,0,75038
75041,0,75038
75042,13,75038
75043,65,74983
75044,12,75043
75045,14,75044
75046,0,75043
75047,65,74983
75048,12,75047
75049,14,75048
75050,6,75047
75051,0,75050
75052,13,75050
75053,65,74983
75054,12,75053
75055,14,75054
75056,6,75053
75057,13,75056
75058,65,74983
75059,12,75058
75060,14,75059
75061,0,75058
75062,65,74983
75063,12,75062
75064,14,75063
75065,0,75062
75066,65,74983
75067,12,75066
75068,14,75067
75069,52,75066
75070,55,75069
75071,12,75070
75072,13,75071
75073,13,75070
75074,65,74983
75075,12,75074
75076,14,75075
75077,0,75074
75078,65,74983
75079,12,75078
75080,14,75079
75081,0,75078
75082,65,74983
75083,12,75082
75084,14,75083
75085,0,75082
75086,65,74983
75087,12,75086
75088,14,75087
75089,0,75086
75090,65,74983
75091,12,75090
75092,14,75091
75093,0,75090
75094,65,74983
75095,12,75094
75096,14,75095
75097,9,75094
75098,0,75097
75099,0,75097
75100,0,75097
75101,0,75097
75102,0,75097
75103,0,75097
75104,0,75097
75105,0,75097
75106,0,75097
75107,0,75097
75108,0,75097
75109,0,75097
75110,0,75097
75111,0,75097
75112,0,75097
75113,6,75097
75114,7,75113
75115,0,75114
75116,0,75114
75117,13,75114
75118,7,75113
75119,0,75118
75120,0,75118
75121,13,75118
75122,7,75113
75123,0,75122
75124,0,75122
75125,0,75122
75126,13,75122
75127,7,75113
75128,0,75127
75129,0,75127
75130,13,75127
75131,7,75113
75132,0,75131
75133,0,75131
75134,0,75131
75135,13,75131
75136,7,75113
75137,0,75136
75138,0,75136
75139,0,75136
75140,13,75136
75141,7,75113
75142,0,75141
75143,0,75141
75144,0,75141
75145,13,75141
75146,13,75113
75147,0,75097
75148,0,75097
75149,0,75097
75150,19,75097
75151,21,75150
75152,0,75150
75153,0,75097
75154,0,75097
75155,0,75097
75156,0,75097
75157,0,75097
75158,0,75097
75159,65,74983
75160,12,75159
75161,14,75160
75162,6,75159
75163,0,75162
75164,13,75162
