node_id,class_name,parent_id
0,100,-1
1,73,0
2,75,1
3,74,0
4,75,3
5,74,0
6,75,5
7,74,0
8,75,7
9,75,7
10,65,0
11,12,10
12,14,11
13,52,10
14,55,13
15,55,14
16,12,15
17,13,16
18,13,15
19,13,14
20,52,13
21,55,20
22,55,21
23,12,22
24,13,23
25,13,22
26,13,21
27,12,20
28,13,27
29,66,0
30,12,29
31,14,30
32,56,29
33,12,32
34,13,33
35,57,32
36,7,35
37,12,36
38,13,37
39,12,36
40,13,39
41,13,36
42,13,32
43,9,29
44,65,0
45,12,44
46,14,45
47,52,44
48,55,47
49,55,48
50,12,49
51,13,50
52,13,49
53,13,48
54,12,47
55,13,54
56,0,47
57,0,47
58,85,0
59,86,58
60,52,59
61,12,60
62,13,61
63,53,60
64,12,63
65,13,64
66,53,60
67,0,66
68,53,60
69,0,68
70,12,59
71,14,70
72,17,58
73,52,72
74,12,73
75,13,74
76,52,73
77,55,76
78,12,77
79,13,78
80,13,77
81,12,73
82,13,81
83,85,0
84,86,83
85,52,84
86,12,85
87,13,86
88,0,85
89,0,85
90,12,84
91,14,90
92,65,83
93,12,92
94,14,93
95,52,92
96,55,95
97,12,96
98,13,97
99,13,96
100,17,0
101,52,100
102,12,101
103,13,102
104,53,101
105,0,104
106,53,101
107,0,106
108,53,101
109,56,108
110,12,109
111,13,110
112,57,109
113,0,112
114,13,109
115,53,101
116,56,115
117,12,116
118,13,117
119,57,116
120,0,119
121,13,116
122,53,101
123,56,122
124,12,123
125,13,124
126,57,123
127,0,126
128,13,123
129,53,101
130,12,129
131,13,130
132,53,101
133,0,132
134,53,101
135,56,134
136,12,135
137,13,136
138,57,135
139,0,138
140,13,135
141,53,101
142,52,141
143,12,142
144,13,143
145,53,142
146,6,145
147,0,146
148,13,146
149,53,101
150,0,149
151,53,101
152,0,151
153,53,101
154,52,153
155,55,154
156,52,155
157,55,156
158,52,157
159,55,158
160,52,159
161,12,160
162,13,161
163,0,160
164,13,159
165,13,157
166,13,155
167,0,154
168,53,101
169,6,168
170,0,169
171,0,169
172,0,169
173,13,169
174,53,101
175,9,174
176,0,175
177,6,175
178,0,177
179,13,177
