node_id,class_name,parent_id,Generator
4780,100,-1,0
4781,17,4780,0
4782,0,4781,0
4783,95,4780,0
4784,12,4783,0
4785,13,4784,0
4786,17,4783,0
4787,0,4786,0
4788,95,4780,0
4789,12,4788,0
4790,13,4789,0
4791,17,4788,0
4792,0,4791,0
4793,95,4780,0
4794,12,4793,0
4795,13,4794,0
4796,17,4793,0
4797,0,4796,0
4798,95,4780,0
4799,12,4798,0
4800,13,4799,0
4801,17,4798,0
4802,0,4801,0
4803,95,4780,0
4804,12,4803,0
4805,13,4804,0
4806,17,4803,0
4807,0,4806,0
4808,95,4780,0
4809,12,4808,0
4810,13,4809,0
4811,17,4808,0
4812,0,4811,0
4813,95,4780,0
4814,12,4813,0
4815,13,4814,0
4816,17,4813,0
4817,0,4816,0
4818,95,4780,0
4819,12,4818,0
4820,13,4819,0
4821,17,4818,0
4822,0,4821,0
4823,95,4780,0
4824,12,4823,0
4825,13,4824,0
4826,17,4823,0
4827,0,4826,0
4828,95,4780,0
4829,12,4828,0
4830,13,4829,0
4831,17,4828,0
4832,0,4831,0
4833,95,4780,0
4834,12,4833,0
4835,13,4834,0
4836,17,4833,0
4837,0,4836,0
4838,95,4780,0
4839,12,4838,0
4840,13,4839,0
4841,17,4838,0
4842,0,4841,0
4843,95,4780,0
4844,12,4843,0
4845,13,4844,0
4846,17,4843,0
4847,0,4846,0
4848,95,4780,0
4849,12,4848,0
4850,13,4849,0
4851,17,4848,0
4852,0,4851,0
4853,95,4780,0
4854,12,4853,0
4855,13,4854,0
4856,17,4853,0
4857,0,4856,0
4858,95,4780,0
4859,12,4858,0
4860,13,4859,0
4861,17,4858,0
4862,0,4861,0
4863,95,4780,0
4864,12,4863,0
4865,13,4864,0
4866,17,4863,0
4867,0,4866,0
4868,95,4780,0
4869,12,4868,0
4870,13,4869,0
4871,17,4868,0
4872,0,4871,0
4873,95,4780,0
4874,12,4873,0
4875,13,4874,0
4876,17,4873,0
4877,0,4876,0
4878,95,4780,0
4879,12,4878,0
4880,13,4879,0
4881,17,4878,0
4882,0,4881,0
4883,95,4780,0
4884,12,4883,0
4885,13,4884,0
4886,17,4883,0
4887,0,4886,0
4888,95,4780,0
4889,12,4888,0
4890,13,4889,0
4891,17,4888,0
4892,0,4891,0
4893,95,4780,0
4894,12,4893,0
4895,13,4894,0
4896,17,4893,0
4897,0,4896,0
4898,95,4780,0
4899,12,4898,0
4900,13,4899,0
4901,17,4898,0
4902,0,4901,0
4903,95,4780,0
4904,12,4903,0
4905,13,4904,0
4906,17,4903,0
4907,0,4906,0
4908,95,4780,0
4909,12,4908,0
4910,13,4909,0
4911,17,4908,0
4912,0,4911,0
