node_id,class_name,parent_id,Generator
13610,100,-1,0
13611,17,13610,0
13612,0,13611,0
13613,73,13610,0
13614,75,13613,0
13615,73,13610,0
13616,75,13615,0
13617,73,13610,0
13618,75,13617,0
13619,74,13610,0
13620,75,13619,0
13621,74,13610,0
13622,75,13621,0
13623,75,13621,0
13624,75,13621,0
13625,75,13621,0
13626,75,13621,0
13627,73,13610,0
13628,75,13627,0
13629,73,13610,0
13630,75,13629,0
13631,74,13610,0
13632,75,13631,0
13633,74,13610,0
13634,75,13633,0
13635,75,13633,0
13636,66,13610,0
13637,12,13636,0
13638,14,13637,0
13639,55,13636,0
13640,12,13639,0
13641,13,13640,0
13642,13,13639,0
13643,52,13636,0
13644,55,13643,0
13645,12,13644,0
13646,13,13645,0
13647,13,13644,0
13648,12,13643,0
13649,13,13648,0
13650,87,13610,0
13651,89,13650,0
13652,90,13651,0
13653,55,13652,0
13654,12,13653,0
13655,13,13654,0
13656,13,13653,0
13657,17,13650,0
13658,0,13657,0
13659,66,13650,0
13660,12,13659,0
13661,14,13660,0
13662,56,13659,0
13663,12,13662,0
13664,13,13663,0
13665,57,13662,0
13666,56,13665,0
13667,12,13666,0
13668,13,13667,0
13669,57,13666,0
13670,12,13669,0
13671,13,13670,0
13672,13,13666,0
13673,13,13662,0
13674,52,13659,0
13675,55,13674,0
13676,55,13675,0
13677,12,13676,0
13678,13,13677,0
13679,13,13676,0
13680,13,13675,0
13681,77,13650,0
13682,7,13681,0
13683,12,13682,0
13684,14,13683,0
13685,12,13682,0
13686,14,13685,0
13687,14,13682,0
13688,52,13681,0
13689,12,13688,0
13690,13,13689,0
13691,12,13688,0
13692,13,13691,0
13693,77,13681,0
13694,7,13693,0
13695,12,13694,0
13696,14,13695,0
13697,12,13694,0
13698,14,13697,0
13699,14,13694,0
13700,52,13693,0
13701,12,13700,0
13702,13,13701,0
13703,12,13700,0
13704,13,13703,0
13705,76,13693,0
13706,52,13705,0
13707,55,13706,0
13708,12,13707,0
13709,13,13708,0
13710,13,13707,0
13711,12,13706,0
13712,13,13711,0
13713,65,13705,0
13714,56,13713,0
13715,56,13714,0
13716,12,13715,0
13717,13,13716,0
13718,57,13715,0
13719,12,13718,0
13720,13,13719,0
13721,13,13715,0
13722,57,13714,0
13723,12,13722,0
13724,13,13723,0
13725,14,13714,0
13726,0,13713,0
13727,76,13705,0
13728,52,13727,0
13729,12,13728,0
13730,13,13729,0
13731,12,13728,0
13732,13,13731,0
13733,0,13728,0
13734,65,13727,0
13735,56,13734,0
13736,56,13735,0
13737,12,13736,0
13738,13,13737,0
13739,57,13736,0
13740,12,13739,0
13741,13,13740,0
13742,13,13736,0
13743,57,13735,0
13744,12,13743,0
13745,13,13744,0
13746,14,13735,0
13747,52,13734,0
13748,55,13747,0
13749,12,13748,0
13750,13,13749,0
13751,13,13748,0
13752,91,13650,0
13753,12,13752,0
13754,13,13753,0
13755,56,13650,0
13756,12,13755,0
13757,13,13756,0
13758,57,13755,0
13759,56,13758,0
13760,12,13759,0
13761,13,13760,0
13762,57,13759,0
13763,12,13762,0
13764,13,13763,0
13765,13,13759,0
13766,13,13755,0
13767,87,13610,0
13768,89,13767,0
13769,90,13768,0
13770,12,13769,0
13771,13,13770,0
13772,90,13768,0
13773,12,13772,0
13774,13,13773,0
13775,90,13768,0
13776,56,13775,0
13777,12,13776,0
13778,13,13777,0
13779,57,13776,0
