node_id,class_name,parent_id,Generator
45657,100,-1,0
45658,17,45657,0
45659,0,45658,0
45660,73,45657,0
45661,75,45660,0
45662,73,45657,0
45663,75,45662,0
45664,74,45657,0
45665,75,45664,0
45666,75,45664,0
45667,75,45664,0
45668,75,45664,0
45669,75,45664,0
45670,75,45664,0
45671,73,45657,0
45672,75,45671,0
45673,74,45657,0
45674,75,45673,0
45675,75,45673,0
45676,75,45673,0
45677,74,45657,0
45678,75,45677,0
45679,75,45677,0
45680,75,45677,0
45681,74,45657,0
45682,75,45681,0
45683,75,45681,0
45684,66,45657,0
45685,12,45684,0
45686,14,45685,0
45687,55,45684,0
45688,12,45687,0
45689,13,45688,0
45690,13,45687,0
45691,52,45684,0
45692,55,45691,0
45693,12,45692,0
45694,13,45693,0
45695,13,45692,0
45696,12,45691,0
45697,13,45696,0
45698,66,45657,0
45699,12,45698,0
45700,14,45699,0
45701,56,45698,0
45702,12,45701,0
45703,13,45702,0
45704,57,45701,0
45705,7,45704,0
45706,12,45705,0
45707,13,45706,0
45708,56,45705,0
45709,12,45708,0
45710,13,45709,0
45711,57,45708,0
45712,7,45711,0
45713,12,45712,0
45714,13,45713,0
45715,56,45712,0
45716,12,45715,0
45717,13,45716,0
45718,57,45715,0
45719,12,45718,0
45720,13,45719,0
45721,13,45715,0
45722,13,45712,0
45723,13,45708,0
45724,13,45705,0
45725,13,45701,0
45726,9,45698,0
45727,0,45726,0
45728,0,45726,0
45729,9,45726,0
45730,0,45729,0
45731,0,45729,0
45732,6,45729,0
45733,0,45732,0
45734,0,45732,0
45735,0,45732,0
45736,13,45732,0
45737,6,45729,0
45738,0,45737,0
45739,0,45737,0
45740,0,45737,0
45741,0,45737,0
45742,0,45737,0
45743,0,45737,0
45744,13,45737,0
45745,9,45726,0
45746,0,45745,0
45747,0,45745,0
45748,6,45745,0
45749,0,45748,0
45750,0,45748,0
45751,0,45748,0
45752,0,45748,0
45753,0,45748,0
45754,13,45748,0
45755,6,45745,0
45756,0,45755,0
45757,0,45755,0
45758,0,45755,0
45759,0,45755,0
45760,0,45755,0
45761,0,45755,0
45762,0,45755,0
45763,0,45755,0
45764,0,45755,0
45765,0,45755,0
45766,13,45755,0
45767,87,45657,0
45768,89,45767,0
45769,90,45768,0
45770,56,45769,0
45771,12,45770,0
45772,13,45771,0
45773,57,45770,0
45774,12,45773,0
45775,13,45774,0
45776,13,45770,0
45777,90,45768,0
45778,56,45777,0
45779,12,45778,0
45780,13,45779,0
45781,57,45778,0
45782,56,45781,0
45783,12,45782,0
45784,13,45783,0
45785,57,45782,0
45786,7,45785,0
45787,12,45786,0
45788,13,45787,0
45789,12,45786,0
45790,13,45789,0
45791,13,45786,0
45792,13,45782,0
45793,13,45778,0
45794,91,45767,0
45795,60,45794,0
45796,52,45795,0
45797,12,45796,0
45798,13,45797,0
45799,12,45796,0
45800,13,45799,0
45801,56,45796,0
45802,12,45801,0
45803,13,45802,0
45804,57,45801,0
45805,0,45804,0
45806,13,45801,0
45807,64,45795,0
45808,12,45807,0
45809,14,45808,0
45810,12,45807,0
45811,13,45810,0
45812,41,45807,0
45813,52,45812,0
45814,55,45813,0
45815,12,45814,0
45816,13,45815,0
45817,13,45814,0
45818,0,45813,0
45819,50,45812,0
45820,12,45812,0
45821,13,45820,0
45822,56,45767,0
45823,12,45822,0
45824,13,45823,0
45825,57,45822,0
45826,12,45825,0
45827,13,45826,0
45828,13,45822,0
45829,87,45657,0
45830,89,45829,0
45831,90,45830,0
45832,12,45831,0
45833,13,45832,0
45834,90,45830,0
45835,12,45834,0
45836,13,45835,0
45837,90,45830,0
45838,12,45837,0
45839,13,45838,0
45840,90,45830,0
45841,55,45840,0
45842,12,45841,0
45843,13,45842,0
45844,13,45841,0
45845,90,45830,0
45846,56,45845,0
45847,12,45846,0
45848,13,45847,0
45849,57,45846,0
45850,56,45849,0
45851,12,45850,0
45852,13,45851,0
45853,57,45850,0
45854,12,45853,0
45855,13,45854,0
45856,13,45850,0
45857,13,45846,0
45858,90,45830,0
45859,56,45858,0
45860,12,45859,0
45861,13,45860,0
45862,57,45859,0
45863,56,45862,0
45864,12,45863,0
45865,13,45864,0
45866,57,45863,0
45867,12,45866,0
45868,13,45867,0
45869,13,45863,0
45870,13,45859,0
45871,0,45830,0
45872,0,45830,0
45873,66,45829,0
45874,12,45873,0
45875,14,45874,0
45876,56,45873,0
45877,12,45876,0
45878,13,45877,0
45879,57,45876,0
45880,56,45879,0
45881,12,45880,0
45882,13,45881,0
45883,57,45880,0
45884,7,45883,0
45885,12,45884,0
45886,13,45885,0
45887,56,45884,0
45888,12,45887,0
45889,13,45888,0
45890,57,45887,0
45891,7,45890,0
45892,12,45891,0
45893,13,45892,0
45894,56,45891,0
45895,12,45894,0
45896,13,45895,0
45897,57,45894,0
45898,12,45897,0
45899,13,45898,0
45900,13,45894,0
45901,13,45891,0
45902,13,45887,0
45903,13,45884,0
45904,13,45880,0
45905,13,45876,0
45906,6,45873,0
45907,13,45906,0
45908,76,45829,0
45909,38,45908,0
45910,39,45909,0
45911,41,45909,0
45912,12,45911,0
45913,13,45912,0
45914,48,45911,0
45915,0,45911,0
45916,41,45909,0
45917,12,45916,0
45918,13,45917,0
45919,48,45916,0
45920,0,45916,0
45921,91,45908,0
45922,12,45921,0
45923,13,45922,0
45924,76,45829,0
45925,38,45924,0
45926,39,45925,0
45927,41,45925,0
45928,12,45927,0
45929,13,45928,0
45930,49,45927,0
45931,0,45927,0
45932,41,45925,0
45933,12,45932,0
45934,13,45933,0
45935,49,45932,0
45936,0,45932,0
45937,65,45924,0
45938,12,45937,0
45939,14,45938,0
45940,52,45937,0
45941,12,45940,0
45942,13,45941,0
45943,24,45940,0
45944,52,45943,0
45945,12,45944,0
45946,13,45945,0
45947,12,45944,0
45948,13,45947,0
45949,26,45943,0
45950,52,45943,0
45951,12,45950,0
45952,13,45951,0
45953,12,45950,0
45954,13,45953,0
45955,66,45829,0
45956,12,45955,0
45957,14,45956,0
45958,56,45955,0
45959,12,45958,0
45960,13,45959,0
45961,57,45958,0
45962,56,45961,0
45963,12,45962,0
45964,13,45963,0
45965,57,45962,0
45966,7,45965,0
45967,12,45966,0
45968,13,45967,0
45969,12,45966,0
45970,13,45969,0
45971,13,45966,0
45972,13,45962,0
45973,13,45958,0
45974,52,45955,0
45975,12,45974,0
45976,13,45975,0
45977,53,45974,0
45978,12,45977,0
45979,13,45978,0
45980,53,45974,0
45981,12,45980,0
45982,13,45981,0
45983,53,45974,0
45984,12,45983,0
45985,13,45984,0
45986,76,45829,0
45987,41,45986,0
45988,12,45987,0
45989,13,45988,0
45990,49,45987,0
45991,0,45987,0
45992,66,45986,0
45993,12,45992,0
45994,14,45993,0
45995,56,45992,0
45996,12,45995,0
45997,13,45996,0
45998,57,45995,0
45999,12,45998,0
46000,13,45999,0
46001,13,45995,0
46002,52,45992,0
46003,12,46002,0
46004,13,46003,0
46005,53,46002,0
46006,12,46005,0
46007,13,46006,0
46008,53,46002,0
46009,12,46008,0
46010,13,46009,0
46011,67,45986,0
46012,12,46011,0
46013,14,46012,0
46014,25,46011,0
46015,60,46011,0
46016,9,46015,0
46017,0,46016,0
46018,0,46016,0
46019,12,46016,0
46020,13,46019,0
46021,56,46016,0
46022,56,46021,0
46023,12,46022,0
46024,13,46023,0
46025,57,46022,0
46026,12,46025,0
46027,13,46026,0
46028,13,46022,0
46029,57,46021,0
46030,0,46029,0
46031,13,46021,0
46032,64,46015,0
46033,12,46032,0
46034,14,46033,0
46035,12,46032,0
46036,13,46035,0
46037,76,45829,0
46038,41,46037,0
46039,12,46038,0
46040,13,46039,0
46041,49,46038,0
46042,0,46038,0
46043,65,46037,0
46044,12,46043,0
46045,14,46044,0
46046,52,46043,0
46047,12,46046,0
46048,13,46047,0
46049,53,46046,0
46050,12,46049,0
46051,13,46050,0
46052,53,46046,0
46053,12,46052,0
46054,13,46053,0
46055,67,46037,0
46056,12,46055,0
46057,14,46056,0
46058,25,46055,0
46059,60,46055,0
46060,9,46059,0
46061,0,46060,0
46062,0,46060,0
46063,12,46060,0
46064,13,46063,0
46065,56,46060,0
46066,56,46065,0
46067,12,46066,0
46068,13,46067,0
46069,57,46066,0
46070,12,46069,0
