node_id,class_name,parent_id,Generator
54203,100,-1,0
54204,17,54203,0
54205,0,54204,0
54206,73,54203,0
54207,75,54206,0
54208,74,54203,0
54209,75,54208,0
54210,75,54208,0
54211,75,54208,0
54212,75,54208,0
54213,73,54203,0
54214,75,54213,0
54215,74,54203,0
54216,75,54215,0
54217,74,54203,0
54218,75,54217,0
54219,66,54203,0
54220,12,54219,0
54221,14,54220,0
54222,55,54219,0
54223,12,54222,0
54224,13,54223,0
54225,13,54222,0
54226,52,54219,0
54227,55,54226,0
54228,12,54227,0
54229,13,54228,0
54230,13,54227,0
54231,12,54226,0
54232,13,54231,0
54233,87,54203,0
54234,89,54233,0
54235,90,54234,0
54236,12,54235,0
54237,13,54236,0
54238,90,54234,0
54239,56,54238,0
54240,12,54239,0
54241,13,54240,0
54242,57,54239,0
54243,7,54242,0
54244,12,54243,0
54245,13,54244,0
54246,12,54243,0
54247,13,54246,0
54248,13,54243,0
54249,13,54239,0
54250,90,54234,0
54251,12,54250,0
54252,13,54251,0
54253,90,54234,0
54254,56,54253,0
54255,12,54254,0
54256,13,54255,0
54257,57,54254,0
54258,55,54257,0
54259,12,54258,0
54260,13,54259,0
54261,13,54258,0
54262,13,54254,0
54263,90,54234,0
54264,56,54263,0
54265,12,54264,0
54266,13,54265,0
54267,57,54264,0
54268,56,54267,0
54269,12,54268,0
54270,13,54269,0
54271,57,54268,0
54272,7,54271,0
54273,12,54272,0
54274,13,54273,0
54275,12,54272,0
54276,13,54275,0
54277,13,54272,0
54278,13,54268,0
54279,13,54264,0
54280,0,54234,0
54281,0,54234,0
54282,0,54234,0
54283,17,54233,0
54284,0,54283,0
54285,66,54233,0
54286,12,54285,0
54287,14,54286,0
54288,55,54285,0
54289,12,54288,0
54290,13,54289,0
54291,13,54288,0
54292,52,54285,0
54293,55,54292,0
54294,12,54293,0
54295,13,54294,0
54296,13,54293,0
54297,53,54292,0
54298,12,54297,0
54299,13,54298,0
54300,17,54233,0
54301,52,54300,0
54302,55,54301,0
54303,12,54302,0
54304,13,54303,0
54305,13,54302,0
54306,0,54301,0
54307,12,54301,0
54308,13,54307,0
54309,85,54233,0
54310,86,54309,0
54311,52,54310,0
54312,12,54311,0
54313,13,54312,0
54314,53,54311,0
54315,12,54314,0
54316,13,54315,0
54317,53,54311,0
54318,0,54317,0
54319,53,54311,0
54320,12,54319,0
54321,13,54320,0
54322,53,54311,0
54323,19,54322,0
54324,21,54323,0
54325,0,54323,0
54326,53,54311,0
54327,12,54326,0
54328,13,54327,0
54329,53,54311,0
54330,12,54329,0
54331,13,54330,0
54332,12,54310,0
54333,14,54332,0
54334,76,54309,0
54335,52,54334,0
54336,12,54335,0
54337,13,54336,0
54338,12,54335,0
54339,13,54338,0
54340,12,54335,0
54341,13,54340,0
54342,17,54334,0
54343,52,54342,0
54344,55,54343,0
54345,12,54344,0
54346,13,54345,0
54347,13,54344,0
54348,0,54343,0
54349,12,54343,0
54350,13,54349,0
54351,85,54334,0
54352,86,54351,0
54353,52,54352,0
54354,12,54353,0
54355,13,54354,0
54356,53,54353,0
54357,12,54356,0
54358,13,54357,0
54359,53,54353,0
54360,0,54359,0
54361,12,54352,0
54362,14,54361,0
54363,17,54351,0
54364,52,54363,0
54365,55,54364,0
54366,12,54365,0
54367,13,54366,0
54368,13,54365,0
54369,52,54364,0
54370,55,54369,0
54371,12,54370,0
54372,13,54371,0
54373,13,54370,0
54374,17,54334,0
54375,52,54374,0
54376,55,54375,0
54377,12,54376,0
54378,13,54377,0
54379,13,54376,0
54380,0,54375,0
54381,17,54334,0
54382,52,54381,0
54383,55,54382,0
54384,12,54383,0
54385,13,54384,0
54386,13,54383,0
54387,52,54382,0
54388,55,54387,0
54389,12,54388,0
54390,13,54389,0
54391,13,54388,0
54392,0,54233,0
