node_id,class_name,parent_id,Generator
59705,100,-1,0
59706,17,59705,0
59707,0,59706,0
59708,73,59705,0
59709,75,59708,0
59710,74,59705,0
59711,75,59710,0
59712,75,59710,0
59713,73,59705,0
59714,75,59713,0
59715,73,59705,0
59716,75,59715,0
59717,73,59705,0
59718,75,59717,0
59719,66,59705,0
59720,12,59719,0
59721,14,59720,0
59722,55,59719,0
59723,12,59722,0
59724,13,59723,0
59725,13,59722,0
59726,52,59719,0
59727,55,59726,0
59728,12,59727,0
59729,13,59728,0
59730,13,59727,0
59731,12,59726,0
59732,13,59731,0
59733,87,59705,0
59734,89,59733,0
59735,90,59734,0
59736,55,59735,0
59737,12,59736,0
59738,13,59737,0
59739,13,59736,0
59740,90,59734,0
59741,55,59740,0
59742,12,59741,0
59743,13,59742,0
59744,13,59741,0
59745,90,59734,0
59746,56,59745,0
59747,12,59746,0
59748,13,59747,0
59749,57,59746,0
59750,12,59749,0
59751,13,59750,0
59752,13,59746,0
59753,90,59734,0
59754,12,59753,0
59755,13,59754,0
59756,90,59734,0
59757,12,59756,0
59758,13,59757,0
59759,90,59734,0
59760,56,59759,0
59761,12,59760,0
59762,13,59761,0
59763,57,59760,0
59764,55,59763,0
59765,12,59764,0
59766,13,59765,0
59767,13,59764,0
59768,13,59760,0
59769,17,59733,0
59770,0,59769,0
59771,65,59733,0
59772,12,59771,0
59773,14,59772,0
59774,52,59771,0
59775,55,59774,0
59776,12,59775,0
59777,13,59776,0
59778,13,59775,0
59779,53,59774,0
59780,12,59779,0
59781,13,59780,0
59782,53,59774,0
59783,0,59782,0
59784,53,59774,0
59785,0,59784,0
59786,65,59733,0
59787,12,59786,0
59788,14,59787,0
59789,52,59786,0
59790,55,59789,0
59791,12,59790,0
59792,13,59791,0
59793,13,59790,0
59794,53,59789,0
59795,12,59794,0
59796,13,59795,0
59797,53,59789,0
59798,0,59797,0
59799,53,59789,0
59800,0,59799,0
59801,65,59733,0
59802,12,59801,0
59803,14,59802,0
59804,52,59801,0
59805,55,59804,0
59806,12,59805,0
59807,13,59806,0
59808,13,59805,0
59809,6,59804,0
59810,56,59809,0
59811,12,59810,0
59812,13,59811,0
59813,57,59810,0
59814,19,59813,0
59815,23,59814,0
59816,52,59814,0
59817,55,59816,0
59818,55,59817,0
59819,12,59818,0
59820,13,59819,0
59821,13,59818,0
59822,13,59817,0
59823,55,59816,0
59824,12,59823,0
59825,13,59824,0
59826,13,59823,0
59827,13,59810,0
59828,12,59809,0
59829,13,59828,0
59830,13,59809,0
59831,65,59733,0
59832,12,59831,0
59833,14,59832,0
59834,52,59831,0
59835,55,59834,0
59836,12,59835,0
59837,13,59836,0
59838,13,59835,0
59839,53,59834,0
59840,0,59839,0
59841,65,59733,0
59842,12,59841,0
59843,14,59842,0
59844,52,59841,0
59845,55,59844,0
59846,55,59845,0
59847,12,59846,0
59848,13,59847,0
59849,13,59846,0
59850,13,59845,0
59851,53,59844,0
59852,12,59851,0
59853,13,59852,0
59854,53,59844,0
59855,12,59854,0
59856,13,59855,0
59857,53,59844,0
59858,12,59857,0
59859,13,59858,0
59860,65,59733,0
59861,12,59860,0
59862,14,59861,0
59863,52,59860,0
59864,55,59863,0
59865,55,59864,0
59866,12,59865,0
59867,13,59866,0
59868,13,59865,0
59869,13,59864,0
59870,53,59863,0
59871,12,59870,0
59872,13,59871,0
59873,53,59863,0
59874,12,59873,0
59875,13,59874,0
59876,53,59863,0
59877,0,59876,0
59878,53,59863,0
59879,12,59878,0
59880,13,59879,0
59881,53,59863,0
59882,12,59881,0
59883,13,59882,0
59884,53,59863,0
59885,0,59884,0
59886,53,59863,0
59887,12,59886,0
59888,13,59887,0
59889,17,59733,0
59890,52,59889,0
59891,55,59890,0
59892,12,59891,0
59893,13,59892,0
59894,13,59891,0
59895,0,59890,0
59896,12,59890,0
59897,13,59896,0
59898,12,59890,0
59899,13,59898,0
59900,52,59890,0
59901,12,59900,0
59902,13,59901,0
59903,12,59900,0
59904,13,59903,0
59905,0,59733,0
59906,87,59705,0
59907,89,59906,0
59908,90,59907,0
59909,55,59908,0
59910,12,59909,0
59911,13,59910,0
59912,13,59909,0
59913,90,59907,0
59914,55,59913,0
59915,12,59914,0
59916,13,59915,0
59917,13,59914,0
59918,90,59907,0
59919,56,59918,0
59920,12,59919,0
59921,13,59920,0
59922,57,59919,0
59923,12,59922,0
59924,13,59923,0
59925,13,59919,0
59926,17,59906,0
59927,0,59926,0
59928,65,59906,0
59929,12,59928,0
59930,14,59929,0
59931,52,59928,0
59932,12,59931,0
59933,13,59932,0
59934,76,59906,0
