node_id,class_name,parent_id,Generator
61484,100,-1,0
61485,17,61484,0
61486,0,61485,0
61487,73,61484,0
61488,75,61487,0
61489,74,61484,0
61490,75,61489,0
61491,75,61489,0
61492,75,61489,0
61493,73,61484,0
61494,75,61493,0
61495,73,61484,0
61496,75,61495,0
61497,74,61484,0
61498,75,61497,0
61499,75,61497,0
61500,74,61484,0
61501,75,61500,0
61502,66,61484,0
61503,12,61502,0
61504,14,61503,0
61505,55,61502,0
61506,12,61505,0
61507,13,61506,0
61508,13,61505,0
61509,52,61502,0
61510,55,61509,0
61511,12,61510,0
61512,13,61511,0
61513,13,61510,0
61514,12,61509,0
61515,13,61514,0
61516,87,61484,0
61517,89,61516,0
61518,90,61517,0
61519,12,61518,0
61520,13,61519,0
61521,90,61517,0
61522,12,61521,0
61523,13,61522,0
61524,90,61517,0
61525,56,61524,0
61526,12,61525,0
61527,13,61526,0
61528,57,61525,0
61529,55,61528,0
61530,12,61529,0
61531,13,61530,0
61532,13,61529,0
61533,13,61525,0
61534,90,61517,0
61535,56,61534,0
61536,12,61535,0
61537,13,61536,0
61538,57,61535,0
61539,56,61538,0
61540,12,61539,0
61541,13,61540,0
61542,57,61539,0
61543,7,61542,0
61544,12,61543,0
61545,13,61544,0
61546,12,61543,0
61547,13,61546,0
61548,13,61543,0
61549,13,61539,0
61550,13,61535,0
61551,90,61517,0
61552,12,61551,0
61553,13,61552,0
61554,0,61517,0
61555,0,61517,0
61556,0,61517,0
61557,17,61516,0
61558,0,61557,0
61559,76,61516,0
61560,41,61559,0
61561,0,61560,0
61562,50,61560,0
61563,12,61560,0
61564,13,61563,0
61565,69,61559,0
61566,52,61565,0
61567,55,61566,0
61568,12,61567,0
61569,13,61568,0
61570,13,61567,0
61571,0,61566,0
61572,66,61516,0
61573,12,61572,0
61574,14,61573,0
61575,55,61572,0
61576,12,61575,0
61577,13,61576,0
61578,13,61575,0
61579,52,61572,0
61580,55,61579,0
61581,12,61580,0
61582,13,61581,0
61583,13,61580,0
61584,53,61579,0
61585,12,61584,0
61586,13,61585,0
61587,85,61516,0
61588,86,61587,0
61589,52,61588,0
61590,12,61589,0
61591,13,61590,0
61592,53,61589,0
61593,12,61592,0
61594,13,61593,0
61595,53,61589,0
61596,0,61595,0
61597,53,61589,0
61598,12,61597,0
61599,13,61598,0
61600,53,61589,0
61601,19,61600,0
61602,21,61601,0
61603,0,61601,0
61604,53,61589,0
61605,12,61604,0
61606,13,61605,0
61607,53,61589,0
61608,12,61607,0
61609,13,61608,0
61610,12,61588,0
61611,14,61610,0
61612,65,61587,0
61613,56,61612,0
61614,12,61613,0
61615,13,61614,0
61616,57,61613,0
61617,0,61616,0
61618,14,61613,0
61619,0,61612,0
61620,17,61587,0
61621,52,61620,0
61622,55,61621,0
61623,12,61622,0
61624,13,61623,0
61625,13,61622,0
61626,0,61621,0
61627,12,61621,0
61628,13,61627,0
61629,91,61587,0
61630,52,61629,0
61631,55,61630,0
61632,12,61631,0
61633,13,61632,0
61634,13,61631,0
61635,12,61630,0
61636,13,61635,0
61637,53,61630,0
61638,12,61637,0
61639,13,61638,0
61640,55,61516,0
61641,12,61640,0
61642,13,61641,0
61643,13,61640,0
