node_id,class_name,parent_id,Generator
67536,100,-1,0
67537,17,67536,0
67538,0,67537,0
67539,73,67536,0
67540,75,67539,0
67541,73,67536,0
67542,75,67541,0
67543,73,67536,0
67544,75,67543,0
67545,74,67536,0
67546,75,67545,0
67547,75,67545,0
67548,75,67545,0
67549,73,67536,0
67550,75,67549,0
67551,74,67536,0
67552,75,67551,0
67553,66,67536,0
67554,12,67553,0
67555,14,67554,0
67556,55,67553,0
67557,12,67556,0
67558,13,67557,0
67559,13,67556,0
67560,52,67553,0
67561,55,67560,0
67562,12,67561,0
67563,13,67562,0
67564,13,67561,0
67565,12,67560,0
67566,13,67565,0
67567,87,67536,0
67568,89,67567,0
67569,90,67568,0
67570,56,67569,0
67571,12,67570,0
67572,13,67571,0
67573,57,67570,0
67574,7,67573,0
67575,12,67574,0
67576,13,67575,0
67577,12,67574,0
67578,13,67577,0
67579,13,67574,0
67580,13,67570,0
67581,90,67568,0
67582,12,67581,0
67583,13,67582,0
67584,90,67568,0
67585,12,67584,0
67586,13,67585,0
67587,90,67568,0
67588,12,67587,0
67589,13,67588,0
67590,90,67568,0
67591,55,67590,0
67592,12,67591,0
67593,13,67592,0
67594,13,67591,0
67595,66,67567,0
67596,12,67595,0
67597,14,67596,0
67598,55,67595,0
67599,12,67598,0
67600,13,67599,0
67601,13,67598,0
67602,52,67595,0
67603,55,67602,0
67604,12,67603,0
67605,13,67604,0
67606,13,67603,0
67607,53,67602,0
67608,0,67607,0
67609,53,67602,0
67610,12,67609,0
67611,13,67610,0
67612,65,67567,0
67613,12,67612,0
67614,14,67613,0
67615,52,67612,0
67616,55,67615,0
67617,12,67616,0
67618,13,67617,0
67619,13,67616,0
67620,12,67615,0
67621,13,67620,0
67622,65,67567,0
67623,7,67622,0
67624,12,67623,0
67625,14,67624,0
67626,12,67623,0
67627,14,67626,0
67628,14,67623,0
67629,12,67622,0
67630,13,67629,0
67631,17,67567,0
67632,52,67631,0
67633,55,67632,0
67634,12,67633,0
67635,13,67634,0
67636,13,67633,0
67637,53,67632,0
67638,12,67637,0
67639,13,67638,0
67640,53,67632,0
67641,12,67640,0
67642,13,67641,0
67643,53,67632,0
67644,9,67643,0
67645,0,67644,0
67646,0,67644,0
67647,12,67644,0
67648,13,67647,0
67649,12,67644,0
67650,13,67649,0
67651,0,67567,0
67652,87,67536,0
67653,89,67652,0
67654,90,67653,0
67655,56,67654,0
67656,12,67655,0
67657,13,67656,0
67658,57,67655,0
67659,7,67658,0
67660,12,67659,0
67661,13,67660,0
67662,12,67659,0
67663,13,67662,0
67664,13,67659,0
67665,13,67655,0
67666,90,67653,0
67667,12,67666,0
67668,13,67667,0
67669,90,67653,0
67670,12,67669,0
67671,13,67670,0
67672,90,67653,0
67673,12,67672,0
67674,13,67673,0
67675,90,67653,0
67676,55,67675,0
67677,12,67676,0
67678,13,67677,0
67679,13,67676,0
67680,65,67652,0
67681,12,67680,0
67682,14,67681,0
67683,52,67680,0
67684,55,67683,0
67685,12,67684,0
67686,13,67685,0
67687,13,67684,0
67688,53,67683,0
67689,12,67688,0
67690,13,67689,0
67691,17,67652,0
67692,52,67691,0
67693,12,67692,0
67694,13,67693,0
67695,53,67692,0
67696,12,67695,0
67697,13,67696,0
67698,53,67692,0
67699,12,67698,0
67700,13,67699,0
67701,53,67692,0
67702,12,67701,0
67703,13,67702,0
67704,53,67692,0
67705,12,67704,0
67706,13,67705,0
67707,53,67692,0
67708,12,67707,0
67709,13,67708,0
67710,0,67652,0
67711,87,67536,0
67712,89,67711,0
67713,90,67712,0
67714,12,67713,0
67715,13,67714,0
67716,90,67712,0
67717,56,67716,0
67718,12,67717,0
67719,13,67718,0
67720,57,67717,0
67721,12,67720,0
