node_id,class_name,parent_id,Generator
68799,100,-1,0
68800,17,68799,0
68801,0,68800,0
68802,73,68799,0
68803,75,68802,0
68804,73,68799,0
68805,75,68804,0
68806,74,68799,0
68807,75,68806,0
68808,75,68806,0
68809,75,68806,0
68810,75,68806,0
68811,75,68806,0
68812,73,68799,0
68813,75,68812,0
68814,73,68799,0
68815,75,68814,0
68816,74,68799,0
68817,75,68816,0
68818,66,68799,0
68819,12,68818,0
68820,14,68819,0
68821,55,68818,0
68822,12,68821,0
68823,13,68822,0
68824,13,68821,0
68825,52,68818,0
68826,55,68825,0
68827,12,68826,0
68828,13,68827,0
68829,13,68826,0
68830,12,68825,0
68831,13,68830,0
68832,95,68799,0
68833,87,68832,0
68834,89,68833,0
68835,90,68834,0
68836,90,68834,0
68837,12,68836,0
68838,13,68837,0
68839,66,68833,0
68840,55,68839,0
68841,12,68840,0
68842,13,68841,0
68843,14,68840,0
68844,56,68839,0
68845,12,68844,0
68846,13,68845,0
68847,57,68844,0
68848,55,68847,0
68849,55,68848,0
68850,12,68849,0
68851,13,68850,0
68852,13,68849,0
68853,13,68848,0
68854,13,68844,0
68855,66,68833,0
68856,55,68855,0
68857,12,68856,0
68858,13,68857,0
68859,14,68856,0
68860,56,68855,0
68861,12,68860,0
68862,13,68861,0
68863,57,68860,0
68864,12,68863,0
68865,13,68864,0
68866,13,68860,0
68867,6,68855,0
68868,13,68867,0
68869,66,68833,0
68870,55,68869,0
68871,12,68870,0
68872,13,68871,0
68873,14,68870,0
68874,12,68869,0
68875,13,68874,0
68876,52,68869,0
68877,55,68876,0
68878,12,68877,0
68879,13,68878,0
68880,13,68877,0
68881,53,68876,0
68882,12,68881,0
68883,13,68882,0
68884,76,68833,0
68885,41,68884,0
68886,55,68885,0
68887,12,68886,0
68888,13,68887,0
68889,13,68886,0
68890,46,68885,0
68891,0,68885,0
68892,65,68884,0
68893,55,68892,0
68894,12,68893,0
68895,13,68894,0
68896,14,68893,0
68897,52,68892,0
68898,55,68897,0
