node_id,class_name,parent_id
4902,100,-1
4903,73,4902
4904,75,4903
4905,73,4902
4906,75,4905
4907,74,4902
4908,75,4907
4909,74,4902
4910,75,4909
4911,74,4902
4912,75,4911
4913,74,4902
4914,75,4913
4915,74,4902
4916,75,4915
4917,74,4902
4918,75,4917
4919,74,4902
4920,75,4919
4921,74,4902
4922,75,4921
4923,87,4902
4924,89,4923
4925,90,4924
4926,17,4923
4927,0,4926
4928,65,4923
4929,12,4928
4930,14,4929
4931,8,4928
4932,0,4931
4933,0,4931
4934,65,4923
4935,12,4934
4936,14,4935
4937,24,4934
4938,52,4937
4939,55,4938
4940,12,4939
4941,13,4940
4942,13,4939
4943,26,4937
4944,12,4937
4945,13,4944
4946,76,4923
4947,12,4946
4948,13,4947
4949,69,4946
4950,52,4949
4951,12,4950
4952,13,4951
4953,24,4950
4954,0,4953
4955,25,4953
4956,52,4953
4957,55,4956
4958,0,4957
4959,13,4957
4960,62,4956
4961,52,4960
4962,12,4961
4963,13,4962
4964,12,4961
4965,13,4964
4966,64,4960
4967,12,4966
4968,14,4967
4969,52,4966
4970,12,4969
4971,13,4970
4972,12,4969
4973,13,4972
4974,76,4923
4975,41,4974
4976,0,4975
4977,51,4975
4978,12,4975
4979,13,4978
4980,65,4974
4981,56,4980
4982,12,4981
4983,13,4982
4984,57,4981
4985,0,4984
4986,14,4981
4987,9,4980
4988,87,4902
4989,89,4988
4990,90,4989
4991,90,4989
4992,65,4988
4993,12,4992
4994,14,4993
4995,52,4992
4996,12,4995
4997,13,4996
4998,95,4988
4999,12,4998
5000,13,4999
5001,87,4998
5002,89,5001
5003,17,5001
5004,0,5003
5005,91,5001
5006,7,5005
5007,13,5006
5008,12,5001
5009,13,5008
5010,87,4998
5011,89,5010
5012,90,5011
5013,17,5010
5014,0,5013
5015,91,5010
5016,56,5015
5017,12,5016
5018,13,5017
5019,57,5016
5020,0,5019
5021,13,5016
5022,12,5010
5023,13,5022
5024,87,4998
5025,89,5024
5026,90,5025
5027,90,5025
5028,90,5025
5029,12,5025
5030,13,5029
5031,17,5024
5032,0,5031
5033,76,5024
5034,41,5033
5035,12,5034
5036,13,5035
5037,42,5034
5038,0,5034
5039,65,5033
5040,12,5039
5041,14,5040
5042,55,5039
5043,12,5042
5044,13,5043
5045,13,5042
5046,76,5024
5047,41,5046
5048,12,5047
5049,13,5048
5050,48,5047
5051,12,5047
5052,13,5051
5053,91,5046
5054,7,5053
5055,12,5054
5056,13,5055
5057,12,5054
5058,13,5057
5059,13,5054
5060,91,5046
5061,7,5060
5062,24,5061
5063,24,5062
5064,12,5063
5065,13,5064
5066,25,5063
5067,0,5063
5068,25,5062
5069,52,5062
5070,55,5069
5071,55,5070
5072,12,5071
5073,13,5072
5074,13,5071
5075,13,5070
5076,12,5069
5077,13,5076
5078,12,5061
5079,13,5078
5080,12,5061
5081,13,5080
5082,13,5061
5083,12,5024
5084,13,5083
5085,87,4998
5086,89,5085
5087,90,5086
5088,17,5085
5089,0,5088
5090,65,5085
5091,12,5090
5092,14,5091
5093,9,5090
5094,77,5085
5095,7,5094
5096,12,5095
5097,14,5096
5098,12,5095
5099,14,5098
5100,14,5095
5101,52,5094
5102,55,5101
5103,56,5102
5104,12,5103
5105,13,5104
5106,57,5103
5107,0,5106
5108,13,5103
5109,13,5102
5110,76,5094
5111,41,5110
5112,52,5111
5113,12,5112
5114,13,5113
5115,12,5112
5116,13,5115
5117,42,5111
5118,0,5111
5119,65,5110
5120,56,5119
5121,12,5120
5122,13,5121
5123,57,5120
5124,12,5123
5125,13,5124
5126,14,5120
5127,52,5119
5128,55,5127
5129,12,5128
5130,13,5129
5131,13,5128
5132,56,5127
5133,12,5132
5134,13,5133
5135,57,5132
5136,0,5135
5137,13,5132
5138,56,5127
5139,12,5138
5140,13,5139
5141,57,5138
5142,0,5141
5143,13,5138
5144,91,5085
5145,52,5144
5146,12,5145
5147,13,5146
5148,12,5145
5149,13,5148
5150,12,5085
5151,13,5150
5152,87,4998
5153,89,5152
5154,90,5153
5155,17,5152
5156,0,5155
5157,65,5152
5158,12,5157
5159,14,5158
5160,9,5157
5161,77,5152
5162,7,5161
5163,12,5162
5164,14,5163
5165,12,5162
5166,14,5165
5167,14,5162
5168,52,5161
5169,55,5168
5170,56,5169
5171,12,5170
5172,13,5171
5173,57,5170
5174,0,5173
5175,13,5170
5176,13,5169
5177,76,5161
5178,41,5177
5179,52,5178
5180,12,5179
5181,13,5180
5182,12,5179
5183,13,5182
5184,42,5178
5185,0,5178
5186,65,5177
5187,56,5186
5188,12,5187
5189,13,5188
5190,57,5187
5191,12,5190
5192,13,5191
5193,14,5187
