node_id,class_name,parent_id
8246,100,-1
8247,74,8246
8248,75,8247
8249,95,8246
8250,17,8249
8251,0,8250
8252,87,8249
8253,89,8252
8254,90,8253
8255,72,8252
8256,87,8249
8257,89,8256
8258,90,8257
8259,90,8257
8260,90,8257
8261,17,8256
8262,0,8261
8263,17,8256
8264,52,8263
8265,55,8264
8266,12,8265
8267,13,8266
8268,13,8265
8269,52,8264
8270,55,8269
8271,52,8270
8272,55,8271
8273,12,8272
8274,13,8273
8275,13,8272
8276,13,8270
8277,12,8269
8278,13,8277
8279,91,8256
8280,52,8279
8281,12,8280
8282,13,8281
8283,53,8280
8284,12,8283
8285,13,8284
8286,12,8256
8287,13,8286
8288,87,8249
8289,89,8288
8290,90,8289
8291,91,8288
8292,52,8291
8293,55,8292
8294,12,8293
8295,13,8294
8296,13,8293
8297,55,8292
8298,12,8297
8299,13,8298
8300,13,8297
8301,53,8292
8302,8,8301
8303,0,8302
8304,12,8288
8305,13,8304
8306,87,8249
8307,89,8306
8308,90,8307
8309,17,8306
8310,0,8309
8311,91,8306
8312,55,8311
8313,52,8312
8314,55,8313
8315,12,8314
8316,13,8315
8317,13,8314
8318,13,8312
8319,12,8306
8320,13,8319
8321,87,8249
8322,89,8321
8323,90,8322
8324,17,8321
8325,0,8324
8326,91,8321
8327,55,8326
8328,52,8327
8329,55,8328
8330,12,8329
8331,13,8330
8332,13,8329
8333,13,8327
8334,12,8321
8335,13,8334
