node_id,class_name,parent_id
9828,100,-1
9829,74,9828
9830,75,9829
9831,75,9829
9832,95,9828
9833,17,9832
9834,0,9833
9835,95,9832
9836,65,9835
9837,12,9836
9838,14,9837
9839,0,9836
9840,65,9835
9841,12,9840
9842,14,9841
9843,0,9840
9844,65,9835
9845,12,9844
9846,14,9845
9847,0,9844
9848,65,9835
9849,12,9848
9850,14,9849
9851,0,9848
9852,55,9832
9853,12,9852
9854,13,9853
9855,13,9852
9856,95,9828
9857,17,9856
9858,0,9857
9859,95,9856
9860,65,9859
9861,12,9860
9862,14,9861
9863,0,9860
9864,65,9859
9865,12,9864
9866,14,9865
9867,0,9864
9868,65,9859
9869,12,9868
9870,14,9869
9871,0,9868
9872,65,9859
9873,12,9872
9874,14,9873
9875,0,9872
9876,55,9856
9877,12,9876
9878,13,9877
9879,13,9876
9880,95,9828
9881,17,9880
9882,0,9881
9883,95,9880
9884,65,9883
9885,12,9884
9886,14,9885
9887,0,9884
9888,65,9883
9889,12,9888
9890,14,9889
9891,0,9888
9892,65,9883
9893,12,9892
9894,14,9893
9895,0,9892
9896,65,9883
9897,12,9896
9898,14,9897
9899,0,9896
9900,65,9880
9901,12,9900
9902,14,9901
9903,52,9900
9904,56,9903
9905,12,9904
9906,13,9905
9907,57,9904
9908,12,9907
9909,13,9908
9910,13,9904
9911,0,9903
9912,7,9903
9913,0,9912
9914,0,9912
9915,0,9912
9916,0,9912
9917,0,9912
9918,13,9912
9919,53,9903
9920,0,9919
9921,55,9880
9922,12,9921
9923,13,9922
9924,13,9921
9925,95,9828
9926,17,9925
9927,0,9926
9928,95,9925
9929,65,9928
9930,12,9929
9931,14,9930
9932,0,9929
9933,65,9928
9934,12,9933
9935,14,9934
9936,0,9933
9937,65,9928
9938,12,9937
9939,14,9938
9940,0,9937
9941,65,9928
9942,12,9941
9943,14,9942
9944,0,9941
9945,65,9925
9946,12,9945
9947,14,9946
9948,52,9945
9949,56,9948
9950,12,9949
9951,13,9950
9952,57,9949
9953,12,9952
9954,13,9953
9955,13,9949
9956,0,9948
9957,7,9948
9958,0,9957
9959,13,9957
9960,53,9948
9961,0,9960
9962,65,9925
9963,12,9962
9964,14,9963
9965,52,9962
9966,56,9965
9967,12,9966
9968,13,9967
9969,57,9966
9970,12,9969
9971,13,9970
9972,13,9966
9973,0,9965
9974,7,9965
9975,0,9974
9976,13,9974
9977,53,9965
9978,0,9977
9979,55,9925
9980,12,9979
9981,13,9980
9982,13,9979
9983,95,9828
9984,17,9983
9985,0,9984
9986,95,9983
9987,65,9986
9988,12,9987
9989,14,9988
9990,0,9987
9991,65,9986
9992,12,9991
9993,14,9992
9994,0,9991
9995,65,9986
9996,12,9995
9997,14,9996
9998,0,9995
9999,65,9986
10000,12,9999
10001,14,10000
10002,0,9999
10003,55,9983
10004,12,10003
10005,13,10004
10006,13,10003
10007,95,9828
10008,17,10007
10009,0,10008
10010,95,10007
10011,65,10010
10012,12,10011
10013,14,10012
10014,0,10011
10015,65,10010
10016,12,10015
10017,14,10016
10018,0,10015
10019,65,10010
10020,12,10019
10021,14,10020
10022,0,10019
10023,65,10010
10024,12,10023
10025,14,10024
10026,0,10023
10027,65,10007
10028,12,10027
10029,14,10028
10030,52,10027
10031,56,10030
10032,12,10031
10033,13,10032
10034,57,10031
10035,12,10034
10036,13,10035
10037,13,10031
10038,0,10030
10039,7,10030
10040,0,10039
10041,0,10039
10042,13,10039
10043,53,10030
10044,0,10043
10045,65,10007
10046,12,10045
10047,14,10046
10048,52,10045
10049,56,10048
10050,12,10049
10051,13,10050
10052,57,10049
10053,12,10052
10054,13,10053
10055,13,10049
10056,0,10048
10057,7,10048
10058,0,10057
10059,0,10057
10060,0,10057
10061,0,10057
10062,0,10057
10063,13,10057
10064,53,10048
10065,0,10064
10066,55,10007
10067,12,10066
10068,13,10067
10069,13,10066
10070,95,9828
10071,17,10070
10072,0,10071
10073,95,10070
10074,65,10073
10075,12,10074
10076,14,10075
10077,52,10074
10078,55,10077
10079,0,10078
10080,13,10078
10081,0,10077
10082,0,10077
10083,65,10073
10084,12,10083
10085,14,10084
10086,0,10083
10087,65,10073
10088,12,10087
10089,14,10088
10090,0,10087
