node_id,class_name,parent_id
8336,100,-1
8337,73,8336
8338,75,8337
8339,73,8336
8340,75,8339
8341,74,8336
8342,75,8341
8343,73,8336
8344,75,8343
8345,74,8336
8346,75,8345
8347,87,8336
8348,89,8347
8349,90,8348
8350,90,8348
8351,17,8347
8352,0,8351
8353,74,8347
8354,75,8353
8355,75,8353
8356,76,8347
8357,19,8356
8358,22,8357
8359,52,8357
8360,12,8359
8361,13,8360
8362,12,8359
8363,13,8362
8364,65,8356
8365,12,8364
8366,14,8365
8367,56,8364
8368,55,8367
8369,55,8368
8370,12,8369
8371,13,8370
8372,13,8369
8373,13,8368
8374,57,8367
8375,12,8374
8376,13,8375
8377,13,8367
8378,76,8347
8379,19,8378
8380,22,8379
8381,52,8379
8382,12,8381
8383,13,8382
8384,12,8381
8385,13,8384
8386,12,8381
8387,13,8386
8388,91,8378
8389,0,8388
8390,76,8347
8391,52,8390
8392,12,8391
8393,13,8392
8394,12,8391
8395,13,8394
8396,12,8391
8397,13,8396
8398,69,8390
8399,52,8398
8400,12,8399
8401,13,8400
8402,0,8399
8403,65,8347
8404,12,8403
8405,14,8404
8406,54,8403
8407,52,8406
8408,12,8407
8409,13,8408
8410,12,8407
8411,13,8410
8412,12,8407
8413,13,8412
8414,55,8406
8415,52,8414
8416,12,8415
8417,13,8416
8418,12,8415
8419,13,8418
8420,13,8414
8421,55,8406
8422,12,8421
8423,13,8422
8424,13,8421
8425,76,8347
8426,41,8425
8427,12,8426
8428,13,8427
8429,42,8426
8430,55,8426
8431,12,8430
8432,13,8431
8433,13,8430
8434,91,8425
8435,12,8434
8436,13,8435
8437,65,8347
8438,12,8437
8439,14,8438
8440,52,8437
8441,55,8440
8442,12,8441
8443,13,8442
8444,13,8441
8445,24,8440
8446,0,8445
8447,30,8445
8448,12,8445
8449,13,8448
8450,0,8440
8451,55,8440
8452,12,8451
8453,13,8452
8454,13,8451
8455,65,8347
8456,12,8455
8457,14,8456
8458,52,8455
8459,55,8458
8460,12,8459
8461,13,8460
8462,13,8459
8463,0,8458
8464,65,8347
8465,12,8464
8466,14,8465
8467,12,8464
8468,13,8467
8469,77,8347
8470,12,8469
8471,14,8470
8472,12,8469
8473,13,8472
8474,65,8469
8475,12,8474
8476,14,8475
8477,56,8474
8478,55,8477
8479,12,8478
8480,13,8479
8481,13,8478
8482,57,8477
8483,12,8482
8484,13,8483
8485,13,8477
8486,91,8347
8487,12,8486
8488,13,8487
8489,87,8336
8490,89,8489
8491,90,8490
8492,17,8489
8493,0,8492
8494,74,8489
8495,75,8494
8496,65,8489
8497,12,8496
8498,14,8497
8499,52,8496
8500,12,8499
8501,13,8500
8502,87,8489
8503,89,8502
8504,90,8503
8505,77,8502
8506,12,8505
8507,14,8506
8508,12,8505
8509,13,8508
8510,76,8505
8511,19,8510
8512,22,8511
8513,55,8511
8514,12,8513
8515,13,8514
8516,13,8513
8517,94,8510
8518,17,8510
8519,52,8518
8520,55,8519
8521,12,8520
8522,13,8521
8523,13,8520
8524,12,8519
8525,13,8524
8526,17,8510
8527,52,8526
8528,12,8527
8529,13,8528
8530,52,8527
8531,55,8530
8532,55,8531
8533,12,8532
8534,13,8533
8535,13,8532
8536,13,8531
8537,17,8489
8538,52,8537
8539,12,8538
8540,13,8539
8541,6,8538
8542,12,8541
8543,13,8542
8544,13,8541
8545,91,8489
8546,12,8545
8547,13,8546
8548,95,8336
8549,17,8548
8550,0,8549
8551,87,8548
8552,89,8551
8553,90,8552
8554,90,8552
8555,90,8552
8556,65,8551
8557,12,8556
8558,14,8557
8559,54,8556
8560,41,8559
8561,12,8560
8562,13,8561
8563,49,8560
8564,0,8560
8565,12,8559
8566,13,8565
8567,12,8559
8568,13,8567
8569,91,8551
8570,52,8569
8571,55,8570
8572,12,8571
8573,13,8572
8574,13,8571
8575,12,8570
8576,13,8575
8577,12,8570
8578,13,8577
8579,95,8336
8580,17,8579
8581,0,8580
8582,87,8579
8583,89,8582
8584,90,8583
8585,90,8583
8586,90,8583
8587,65,8582
8588,12,8587
8589,14,8588
8590,54,8587
8591,41,8590
8592,12,8591
8593,13,8592
8594,49,8591
8595,0,8591
8596,12,8590
8597,13,8596
8598,12,8590
8599,13,8598
8600,91,8582
8601,52,8600
8602,55,8601
8603,12,8602
8604,13,8603
8605,13,8602
8606,12,8601
8607,13,8606
8608,12,8601
8609,13,8608
8610,95,8336
8611,17,8610
8612,0,8611
8613,65,8610
8614,12,8613
8615,14,8614
8616,52,8613
8617,12,8616
8618,13,8617
8619,65,8610
8620,12,8619
8621,14,8620
8622,52,8619
8623,12,8622
8624,13,8623
8625,87,8610
8626,89,8625
8627,90,8626
8628,90,8626
8629,90,8626
8630,17,8625
8631,0,8630
8632,65,8625
8633,56,8632
8634,55,8633
8635,12,8634
8636,13,8635
8637,13,8634
8638,57,8633
8639,0,8638
8640,14,8633
8641,56,8632
8642,12,8641
8643,13,8642
8644,57,8641
8645,12,8644
8646,13,8645
8647,13,8641
8648,77,8625
8649,7,8648
