node_id,class_name,parent_id
14571,100,-1
14572,74,14571
14573,75,14572
14574,95,14571
14575,65,14574
14576,12,14575
14577,14,14576
14578,7,14575
14579,0,14578
14580,0,14578
14581,13,14578
14582,65,14574
14583,12,14582
14584,14,14583
14585,7,14582
14586,0,14585
14587,13,14585
14588,65,14574
14589,12,14588
14590,14,14589
14591,9,14588
14592,0,14591
14593,0,14591
14594,65,14574
14595,12,14594
14596,14,14595
14597,9,14594
14598,0,14597
14599,0,14597
14600,65,14574
14601,12,14600
14602,14,14601
14603,9,14600
14604,65,14574
14605,12,14604
14606,14,14605
14607,9,14604
14608,0,14607
14609,0,14607
14610,65,14574
14611,12,14610
14612,14,14611
14613,9,14610
14614,0,14613
14615,0,14613
14616,0,14613
14617,0,14613
14618,65,14574
14619,12,14618
14620,14,14619
14621,6,14618
14622,0,14621
14623,0,14621
14624,0,14621
14625,0,14621
14626,0,14621
14627,0,14621
14628,0,14621
14629,0,14621
14630,0,14621
14631,0,14621
14632,0,14621
14633,0,14621
14634,0,14621
14635,0,14621
14636,0,14621
14637,0,14621
14638,0,14621
14639,0,14621
14640,0,14621
14641,0,14621
14642,0,14621
14643,0,14621
14644,0,14621
14645,0,14621
14646,0,14621
14647,0,14621
14648,0,14621
14649,0,14621
14650,0,14621
14651,0,14621
14652,0,14621
14653,0,14621
14654,0,14621
14655,0,14621
14656,0,14621
14657,0,14621
14658,0,14621
14659,0,14621
14660,0,14621
14661,0,14621
14662,0,14621
14663,0,14621
14664,0,14621
14665,13,14621
14666,65,14574
14667,12,14666
14668,14,14667
14669,52,14666
14670,12,14669
14671,13,14670
14672,0,14669
14673,65,14574
14674,12,14673
14675,14,14674
14676,9,14673
14677,0,14676
14678,0,14676
14679,12,14574
14680,13,14679
