node_id,class_name,parent_id
14904,100,-1
14905,74,14904
14906,75,14905
14907,95,14904
14908,65,14907
14909,12,14908
14910,14,14909
14911,7,14908
14912,0,14911
14913,13,14911
14914,65,14907
14915,12,14914
14916,14,14915
14917,9,14914
14918,0,14917
14919,0,14917
14920,65,14907
14921,12,14920
14922,14,14921
14923,9,14920
14924,0,14923
14925,0,14923
14926,0,14923
14927,0,14923
14928,65,14907
14929,12,14928
14930,14,14929
14931,9,14928
14932,65,14907
14933,12,14932
14934,14,14933
14935,9,14932
14936,0,14935
14937,0,14935
14938,65,14907
14939,12,14938
14940,14,14939
14941,9,14938
14942,0,14941
14943,0,14941
14944,0,14941
14945,0,14941
14946,65,14907
14947,12,14946
14948,14,14947
14949,9,14946
14950,0,14949
14951,0,14949
14952,0,14949
14953,0,14949
14954,12,14907
14955,13,14954
