node_id,class_name,parent_id
14858,100,-1
14859,74,14858
14860,75,14859
14861,95,14858
14862,65,14861
14863,12,14862
14864,14,14863
14865,0,14862
14866,65,14861
14867,12,14866
14868,14,14867
14869,7,14866
14870,0,14869
14871,13,14869
14872,65,14861
14873,12,14872
14874,14,14873
14875,7,14872
14876,0,14875
14877,13,14875
14878,65,14861
14879,12,14878
14880,14,14879
14881,7,14878
14882,0,14881
14883,13,14881
14884,65,14861
14885,12,14884
14886,14,14885
14887,9,14884
14888,0,14887
14889,0,14887
14890,65,14861
14891,12,14890
14892,14,14891
14893,9,14890
14894,0,14893
14895,0,14893
14896,65,14861
14897,12,14896
14898,14,14897
14899,9,14896
14900,0,14899
14901,0,14899
14902,12,14861
14903,13,14902
