node_id,class_name,parent_id
15244,100,-1
15245,74,15244
15246,75,15245
15247,95,15244
15248,65,15247
15249,12,15248
15250,14,15249
15251,7,15248
15252,0,15251
15253,13,15251
15254,65,15247
15255,12,15254
15256,14,15255
15257,7,15254
15258,0,15257
15259,0,15257
15260,13,15257
15261,65,15247
15262,12,15261
15263,14,15262
15264,7,15261
15265,0,15264
15266,0,15264
15267,13,15264
15268,65,15247
15269,12,15268
15270,14,15269
15271,9,15268
15272,0,15271
15273,0,15271
15274,65,15247
15275,12,15274
15276,14,15275
15277,9,15274
15278,0,15277
15279,0,15277
15280,0,15277
15281,0,15277
15282,65,15247
15283,12,15282
15284,14,15283
15285,9,15282
15286,0,15285
15287,0,15285
15288,65,15247
15289,12,15288
15290,14,15289
15291,9,15288
15292,0,15291
15293,0,15291
15294,0,15291
15295,0,15291
15296,65,15247
15297,12,15296
15298,14,15297
15299,6,15296
15300,0,15299
15301,0,15299
15302,0,15299
15303,0,15299
15304,0,15299
15305,0,15299
15306,0,15299
15307,0,15299
15308,0,15299
15309,0,15299
15310,0,15299
15311,0,15299
15312,13,15299
15313,65,15247
15314,12,15313
15315,14,15314
15316,9,15313
15317,0,15316
15318,0,15316
15319,12,15247
15320,13,15319
