node_id,class_name,parent_id
15351,100,-1
15352,74,15351
15353,75,15352
15354,95,15351
15355,65,15354
15356,12,15355
15357,14,15356
15358,7,15355
15359,0,15358
15360,13,15358
15361,65,15354
15362,12,15361
15363,14,15362
15364,7,15361
15365,0,15364
15366,13,15364
15367,65,15354
15368,12,15367
15369,14,15368
15370,7,15367
15371,0,15370
15372,13,15370
15373,65,15354
15374,12,15373
15375,14,15374
15376,9,15373
15377,0,15376
15378,0,15376
15379,65,15354
15380,12,15379
15381,14,15380
15382,9,15379
15383,0,15382
15384,0,15382
15385,65,15354
15386,12,15385
15387,14,15386
15388,9,15385
15389,0,15388
15390,0,15388
15391,65,15354
15392,12,15391
15393,14,15392
15394,9,15391
15395,0,15394
15396,0,15394
15397,65,15354
15398,12,15397
15399,14,15398
15400,9,15397
15401,0,15400
15402,0,15400
15403,0,15400
15404,0,15400
15405,65,15354
15406,12,15405
15407,14,15406
15408,9,15405
15409,0,15408
15410,0,15408
15411,12,15354
15412,13,15411
