node_id,class_name,parent_id
16669,100,-1
16670,74,16669
16671,75,16670
16672,95,16669
16673,65,16672
16674,12,16673
16675,14,16674
16676,7,16673
16677,0,16676
16678,0,16676
16679,13,16676
16680,65,16672
16681,12,16680
16682,14,16681
16683,7,16680
16684,0,16683
16685,13,16683
16686,65,16672
16687,12,16686
16688,14,16687
16689,9,16686
16690,0,16689
16691,0,16689
16692,65,16672
16693,12,16692
16694,14,16693
16695,9,16692
16696,0,16695
16697,0,16695
16698,65,16672
16699,12,16698
16700,14,16699
16701,9,16698
16702,0,16701
16703,0,16701
16704,65,16672
16705,12,16704
16706,14,16705
16707,9,16704
16708,0,16707
16709,0,16707
16710,65,16672
16711,12,16710
16712,14,16711
16713,9,16710
16714,0,16713
16715,0,16713
16716,0,16713
16717,0,16713
16718,12,16672
16719,13,16718
