node_id,class_name,parent_id
18038,100,-1
18039,74,18038
18040,75,18039
18041,74,18038
18042,75,18041
18043,75,18041
18044,74,18038
18045,75,18044
18046,74,18038
18047,75,18046
18048,65,18038
18049,12,18048
18050,14,18049
18051,9,18048
18052,0,18051
18053,0,18051
18054,0,18051
18055,0,18051
18056,0,18051
18057,0,18051
18058,0,18051
18059,0,18051
18060,0,18051
18061,7,18051
18062,0,18061
18063,0,18061
18064,13,18061
18065,7,18051
18066,0,18065
18067,0,18065
18068,13,18065
18069,7,18051
18070,0,18069
18071,0,18069
18072,13,18069
18073,7,18051
18074,0,18073
18075,0,18073
18076,13,18073
18077,7,18051
18078,0,18077
18079,0,18077
18080,13,18077
18081,7,18051
18082,0,18081
18083,0,18081
18084,13,18081
18085,7,18051
18086,0,18085
18087,0,18085
18088,13,18085
18089,7,18051
18090,0,18089
18091,0,18089
18092,13,18089
18093,7,18051
18094,0,18093
18095,0,18093
18096,13,18093
18097,87,18038
18098,89,18097
18099,90,18098
18100,90,18098
18101,17,18097
18102,0,18101
18103,65,18097
18104,12,18103
18105,14,18104
18106,6,18103
18107,13,18106
18108,77,18097
18109,7,18108
18110,12,18109
18111,14,18110
18112,12,18109
18113,14,18112
18114,14,18109
18115,52,18108
18116,55,18115
18117,12,18116
18118,13,18117
18119,13,18116
18120,65,18108
18121,12,18120
18122,14,18121
18123,52,18120
18124,55,18123
18125,12,18124
18126,13,18125
18127,13,18124
18128,56,18123
18129,12,18128
18130,13,18129
18131,57,18128
18132,0,18131
18133,13,18128
18134,78,18108
18135,41,18134
18136,12,18135
18137,13,18136
18138,43,18135
18139,19,18135
18140,21,18139
18141,0,18139
18142,17,18134
18143,52,18142
18144,55,18143
18145,12,18144
18146,13,18145
18147,13,18144
18148,7,18143
18149,12,18148
18150,13,18149
18151,12,18148
18152,13,18151
18153,13,18148
18154,65,18134
18155,12,18154
18156,14,18155
18157,52,18154
18158,55,18157
18159,12,18158
18160,13,18159
18161,13,18158
18162,56,18157
18163,12,18162
18164,13,18163
18165,57,18162
18166,0,18165
18167,13,18162
18168,24,18157
18169,12,18168
18170,13,18169
18171,25,18168
18172,0,18168
18173,91,18097
18174,52,18173
18175,12,18174
18176,13,18175
18177,12,18174
18178,13,18177
18179,53,18174
18180,88,18179
18181,89,18180
18182,90,18181
18183,56,18180
18184,12,18183
18185,13,18184
18186,57,18183
18187,0,18186
18188,13,18183
18189,95,18038
18190,17,18189
18191,0,18190
18192,65,18189
18193,12,18192
18194,14,18193
18195,52,18192
18196,12,18195
18197,13,18196
18198,0,18195
18199,0,18195
18200,65,18189
18201,12,18200
18202,14,18201
18203,52,18200
18204,12,18203
18205,13,18204
18206,0,18203
18207,0,18203
18208,65,18189
18209,12,18208
18210,14,18209
18211,52,18208
18212,12,18211
18213,13,18212
18214,0,18211
18215,0,18211
18216,65,18189
18217,12,18216
18218,14,18217
18219,52,18216
18220,12,18219
18221,13,18220
18222,0,18219
18223,0,18219
18224,65,18189
18225,12,18224
18226,14,18225
18227,52,18224
18228,12,18227
18229,13,18228
18230,0,18227
18231,6,18227
18232,0,18231
18233,0,18231
18234,13,18231
18235,65,18189
18236,12,18235
18237,14,18236
18238,0,18235
18239,65,18189
18240,12,18239
18241,14,18240
18242,0,18239
18243,65,18189
18244,12,18243
18245,14,18244
18246,0,18243
18247,87,18189
18248,89,18247
18249,90,18248
18250,90,18248
18251,90,18248
18252,90,18248
18253,90,18248
18254,90,18248
18255,17,18247
18256,0,18255
18257,65,18247
18258,55,18257
18259,12,18258
18260,13,18259
18261,14,18258
18262,12,18257
18263,13,18262
18264,65,18247
18265,55,18264
18266,12,18265
18267,13,18266
18268,14,18265
18269,12,18264
18270,13,18269
18271,65,18247
18272,55,18271
18273,12,18272
18274,13,18273
18275,14,18272
18276,54,18271
18277,41,18276
18278,12,18277
18279,13,18278
18280,48,18277
18281,0,18277
18282,0,18276
18283,12,18276
18284,13,18283
18285,65,18247
18286,55,18285
18287,12,18286
18288,13,18287
18289,14,18286
18290,54,18285
18291,41,18290
18292,12,18291
18293,13,18292
18294,48,18291
18295,0,18291
18296,7,18290
18297,0,18296
18298,0,18296
18299,0,18296
18300,13,18296
18301,12,18290
18302,13,18301
18303,65,18247
18304,55,18303
18305,12,18304
18306,13,18305
18307,14,18304
18308,12,18303
18309,13,18308
18310,65,18247
18311,55,18310
18312,12,18311
18313,13,18312
18314,14,18311
18315,54,18310
18316,41,18315
18317,12,18316
18318,13,18317
18319,48,18316
18320,0,18316
18321,0,18315
18322,52,18315
18323,55,18322
18324,12,18323
18325,13,18324
18326,13,18323
18327,55,18322
18328,12,18327
18329,13,18328
18330,13,18327
18331,55,18322
18332,12,18331
18333,13,18332
18334,13,18331
18335,24,18322
18336,55,18335
18337,12,18336
18338,13,18337
18339,13,18336
18340,25,18335
18341,52,18335
18342,55,18341
18343,52,18342
18344,55,18343
18345,12,18344
18346,13,18345
18347,13,18344
18348,13,18342
18349,0,18341
18350,24,18322
18351,52,18350
18352,12,18351
18353,13,18352
18354,52,18351
18355,55,18354
18356,12,18355
18357,13,18356
18358,13,18355
18359,26,18350
18360,52,18350
18361,55,18360
18362,52,18361
18363,55,18362
18364,12,18363
18365,13,18364
18366,13,18363
18367,13,18361
18368,0,18360
18369,87,18189
18370,89,18369
18371,90,18370
18372,91,18369
18373,55,18372
18374,12,18373
18375,13,18374
18376,13,18373
18377,87,18189
18378,89,18377
18379,90,18378
18380,91,18377
18381,55,18380
18382,55,18381
18383,12,18382
18384,13,18383
18385,13,18382
18386,13,18381
18387,12,18377
18388,13,18387
18389,87,18189
18390,89,18389
18391,90,18390
18392,91,18389
18393,55,18392
18394,55,18393
18395,12,18394
18396,13,18395
18397,13,18394
18398,13,18393
18399,12,18389
18400,13,18399
18401,87,18189
18402,89,18401
18403,90,18402
18404,91,18401
18405,55,18404
18406,55,18405
18407,12,18406
18408,13,18407
18409,13,18406
18410,13,18405
18411,12,18401
18412,13,18411
18413,87,18189
18414,89,18413
18415,90,18414
18416,17,18413
18417,0,18416
18418,76,18413
18419,38,18418
18420,39,18419
18421,41,18419
18422,55,18421
18423,12,18422
18424,13,18423
18425,13,18422
18426,42,18421
18427,0,18421
18428,41,18419
18429,55,18428
18430,12,18429
18431,13,18430
18432,13,18429
18433,42,18428
18434,0,18428
18435,91,18418
18436,52,18435
18437,55,18436
18438,12,18437
18439,13,18438
18440,13,18437
18441,7,18436
18442,0,18441
18443,0,18441
18444,13,18441
18445,7,18436
18446,0,18445
18447,0,18445
18448,13,18445
18449,0,18436
18450,12,18436
18451,13,18450
18452,76,18418
18453,38,18452
18454,39,18453
18455,41,18453
18456,55,18455
18457,12,18456
18458,13,18457
18459,13,18456
18460,42,18455
18461,0,18455
18462,41,18453
18463,55,18462
18464,12,18463
18465,13,18464
18466,13,18463
18467,42,18462
18468,0,18462
18469,91,18452
18470,52,18469
18471,55,18470
18472,12,18471
18473,13,18472
18474,13,18471
18475,7,18470
18476,0,18475
18477,0,18475
18478,13,18475
18479,7,18470
18480,0,18479
18481,0,18479
18482,13,18479
18483,0,18470
18484,76,18452
18485,38,18484
18486,39,18485
18487,41,18485
18488,55,18487
18489,12,18488
18490,13,18489
18491,13,18488
18492,42,18487
18493,0,18487
18494,41,18485
18495,55,18494
18496,12,18495
18497,13,18496
18498,13,18495
18499,42,18494
18500,0,18494
18501,91,18484
18502,52,18501
18503,55,18502
18504,12,18503
18505,13,18504
18506,13,18503
18507,7,18502
18508,0,18507
18509,0,18507
18510,13,18507
18511,7,18502
18512,0,18511
18513,0,18511
18514,13,18511
18515,0,18502
18516,76,18484
18517,38,18516
18518,39,18517
18519,41,18517
18520,55,18519
18521,12,18520
18522,13,18521
18523,13,18520
18524,42,18519
18525,0,18519
18526,41,18517
18527,55,18526
18528,12,18527
18529,13,18528
18530,13,18527
18531,42,18526
18532,0,18526
18533,91,18516
18534,52,18533
18535,55,18534
18536,55,18535
18537,12,18536
18538,13,18537
18539,13,18536
18540,13,18535
18541,53,18534
18542,0,18541
18543,69,18516
18544,52,18543
18545,12,18544
18546,13,18545
18547,52,18544
18548,55,18547
18549,0,18548
18550,13,18548
18551,12,18547
18552,13,18551
18553,87,18189
18554,89,18553
18555,90,18554
18556,90,18554
18557,90,18554
18558,90,18554
18559,90,18554
18560,9,18554
18561,17,18553
18562,0,18561
18563,65,18553
18564,12,18563
18565,14,18564
18566,52,18563
18567,55,18566
18568,55,18567
18569,12,18568
18570,13,18569
18571,13,18568
18572,13,18567
18573,53,18566
18574,0,18573
18575,65,18553
18576,12,18575
18577,14,18576
18578,55,18575
18579,12,18578
18580,13,18579
18581,13,18578
18582,65,18553
18583,12,18582
18584,14,18583
18585,0,18582
18586,65,18553
18587,12,18586
18588,14,18587
18589,0,18586
18590,65,18553
18591,12,18590
18592,14,18591
18593,6,18590
18594,13,18593
18595,77,18553
18596,12,18595
18597,14,18596
18598,12,18595
18599,13,18598
18600,65,18595
18601,12,18600
18602,14,18601
18603,52,18600
18604,55,18603
18605,12,18604
18606,13,18605
18607,13,18604
18608,76,18595
18609,52,18608
18610,55,18609
18611,12,18610
18612,13,18611
18613,13,18610
18614,56,18609
18615,12,18614
18616,13,18615
18617,57,18614
18618,0,18617
18619,13,18614
18620,65,18608
18621,12,18620
18622,14,18621
18623,55,18620
18624,12,18623
18625,13,18624
18626,13,18623
18627,65,18608
18628,12,18627
18629,14,18628
18630,24,18627
18631,52,18630
18632,55,18631
18633,12,18632
18634,13,18633
18635,13,18632
18636,56,18631
18637,12,18636
18638,13,18637
18639,57,18636
18640,0,18639
18641,13,18636
18642,25,18630
18643,52,18630
18644,12,18643
18645,13,18644
18646,56,18643
18647,12,18646
18648,13,18647
18649,57,18646
18650,0,18649
18651,13,18646
18652,65,18608
18653,12,18652
18654,14,18653
18655,52,18652
18656,55,18655
18657,56,18656
18658,12,18657
18659,13,18658
18660,58,18657
18661,12,18660
18662,13,18661
18663,13,18657
18664,13,18656
18665,56,18655
