node_id,class_name,parent_id
23487,100,-1
23488,74,23487
23489,75,23488
23490,74,23487
23491,75,23490
23492,95,23487
23493,12,23492
23494,13,23493
23495,17,23492
23496,0,23495
23497,87,23492
23498,89,23497
23499,90,23498
23500,90,23498
23501,90,23498
23502,90,23498
23503,90,23498
23504,0,23498
23505,17,23497
23506,0,23505
23507,17,23497
23508,52,23507
23509,55,23508
23510,12,23509
23511,13,23510
23512,13,23509
23513,12,23508
23514,13,23513
23515,12,23508
23516,13,23515
23517,12,23508
23518,13,23517
23519,12,23508
23520,13,23519
23521,65,23497
23522,55,23521
23523,12,23522
23524,13,23523
23525,14,23522
23526,12,23521
23527,13,23526
23528,87,23492
23529,89,23528
23530,91,23528
23531,55,23530
23532,12,23531
23533,13,23532
23534,13,23531
23535,12,23528
23536,13,23535
23537,87,23492
23538,89,23537
23539,90,23538
23540,90,23538
23541,90,23538
23542,0,23538
23543,90,23538
23544,17,23537
23545,0,23544
23546,69,23537
23547,52,23546
23548,12,23547
23549,13,23548
23550,0,23547
