node_id,class_name,parent_id
25644,100,-1
25645,74,25644
25646,75,25645
25647,73,25644
25648,75,25647
25649,73,25644
25650,75,25649
25651,73,25644
25652,75,25651
25653,73,25644
25654,75,25653
25655,74,25644
25656,75,25655
25657,74,25644
25658,75,25657
25659,75,25657
25660,87,25644
25661,89,25660
25662,90,25661
25663,76,25660
25664,19,25663
25665,22,25664
25666,52,25664
25667,55,25666
25668,55,25667
25669,12,25668
25670,13,25669
25671,13,25668
25672,13,25667
25673,12,25666
25674,13,25673
25675,69,25663
25676,12,25675
25677,13,25676
25678,65,25660
25679,12,25678
25680,14,25679
25681,56,25678
25682,52,25681
25683,55,25682
25684,55,25683
25685,12,25684
25686,13,25685
25687,13,25684
25688,13,25683
25689,52,25682
25690,55,25689
25691,55,25690
25692,12,25691
25693,13,25692
25694,13,25691
25695,13,25690
25696,12,25689
25697,13,25696
25698,57,25681
25699,0,25698
25700,13,25681
25701,65,25660
25702,12,25701
25703,14,25702
25704,52,25701
25705,55,25704
25706,55,25705
25707,12,25706
25708,13,25707
25709,13,25706
25710,13,25705
25711,12,25704
25712,13,25711
25713,76,25660
25714,41,25713
25715,12,25714
25716,13,25715
25717,51,25714
25718,55,25714
25719,12,25718
25720,13,25719
25721,13,25718
25722,17,25713
25723,52,25722
25724,55,25723
25725,55,25724
25726,12,25725
25727,13,25726
25728,13,25725
25729,13,25724
25730,0,25723
25731,12,25723
25732,13,25731
25733,76,25660
25734,41,25733
25735,52,25734
25736,55,25735
25737,12,25736
25738,13,25737
25739,13,25736
25740,42,25734
25741,0,25734
25742,77,25733
25743,12,25742
25744,14,25743
25745,52,25742
25746,55,25745
25747,12,25746
25748,13,25747
25749,13,25746
25750,12,25745
25751,13,25750
25752,65,25742
25753,12,25752
25754,14,25753
25755,56,25752
25756,52,25755
25757,55,25756
25758,55,25757
25759,12,25758
25760,13,25759
25761,13,25758
25762,13,25757
25763,12,25756
25764,13,25763
25765,57,25755
25766,0,25765
25767,13,25755
25768,76,25742
25769,41,25768
25770,52,25769
25771,55,25770
25772,12,25771
25773,13,25772
25774,13,25771
25775,42,25769
25776,52,25769
25777,55,25776
25778,12,25777
25779,13,25778
25780,13,25777
25781,65,25768
25782,12,25781
25783,14,25782
25784,12,25781
25785,13,25784
25786,79,25768
25787,91,25660
25788,52,25787
25789,12,25788
25790,13,25789
25791,12,25788
25792,13,25791
25793,87,25644
25794,89,25793
25795,90,25794
25796,90,25794
25797,77,25793
25798,12,25797
25799,14,25798
25800,12,25797
25801,13,25800
25802,81,25797
25803,76,25802
25804,52,25803
25805,12,25804
25806,13,25805
25807,12,25804
25808,13,25807
25809,12,25804
25810,13,25809
25811,91,25803
25812,0,25811
25813,84,25802
25814,12,25813
25815,13,25814
25816,72,25813
25817,91,25793
25818,0,25817
25819,87,25644
25820,89,25819
25821,90,25820
25822,90,25820
25823,77,25819
25824,12,25823
25825,14,25824
25826,12,25823
25827,13,25826
25828,76,25823
25829,19,25828
25830,22,25829
25831,52,25829
25832,12,25831
25833,13,25832
25834,12,25831
25835,13,25834
25836,12,25831
25837,13,25836
25838,91,25828
25839,0,25838
25840,91,25819
25841,0,25840
25842,87,25644
25843,89,25842
25844,90,25843
25845,90,25843
25846,17,25842
25847,0,25846
25848,81,25842
25849,65,25848
25850,12,25849
25851,14,25850
25852,52,25849
25853,55,25852
25854,12,25853
25855,13,25854
25856,13,25853
25857,12,25852
25858,13,25857
25859,76,25848
25860,38,25859
25861,40,25860
25862,38,25860
25863,39,25862
25864,41,25862
25865,52,25864
25866,55,25865
25867,12,25866
25868,13,25867
25869,13,25866
25870,42,25864
25871,0,25864
25872,41,25862
25873,52,25872
25874,55,25873
25875,12,25874
25876,13,25875
25877,13,25874
25878,42,25872
25879,52,25872
25880,55,25879
25881,12,25880
25882,13,25881
25883,13,25880
25884,41,25860
25885,12,25884
25886,13,25885
25887,42,25884
25888,12,25884
25889,13,25888
25890,91,25859
25891,0,25890
25892,84,25848
25893,12,25892
25894,13,25893
25895,72,25892
25896,91,25842
25897,0,25896
25898,87,25644
25899,89,25898
25900,90,25899
25901,90,25899
25902,17,25898
25903,0,25902
25904,76,25898
25905,19,25904
25906,22,25905
25907,52,25905
25908,55,25907
25909,12,25908
25910,13,25909
25911,13,25908
25912,12,25907
25913,13,25912
25914,91,25904
25915,52,25914
25916,12,25915
25917,13,25916
25918,12,25915
25919,13,25918
25920,12,25915
25921,13,25920
25922,77,25898
25923,12,25922
25924,14,25923
25925,52,25922
25926,55,25925
25927,12,25926
25928,13,25927
25929,13,25926
25930,12,25925
25931,13,25930
25932,76,25922
25933,52,25932
25934,12,25933
25935,13,25934
25936,12,25933
25937,13,25936
25938,12,25933
25939,13,25938
25940,91,25932
25941,0,25940
25942,91,25898
25943,0,25942
25944,87,25644
25945,89,25944
25946,90,25945
25947,90,25945
25948,90,25945
25949,90,25945
25950,90,25945
25951,90,25945
25952,17,25944
25953,0,25952
25954,76,25944
25955,19,25954
25956,22,25955
25957,12,25955
25958,13,25957
25959,91,25954
25960,77,25944
25961,12,25960
25962,14,25961
25963,12,25960
25964,13,25963
25965,65,25960
25966,12,25965
25967,14,25966
25968,52,25965
