node_id,class_name,parent_id
26163,100,-1
26164,74,26163
26165,75,26164
26166,74,26163
26167,75,26166
26168,73,26163
26169,75,26168
26170,73,26163
26171,75,26170
26172,74,26163
26173,75,26172
26174,74,26163
26175,75,26174
26176,75,26174
26177,75,26174
26178,74,26163
26179,75,26178
26180,74,26163
26181,75,26180
26182,75,26180
26183,75,26180
26184,73,26163
26185,75,26184
26186,74,26163
26187,75,26186
26188,74,26163
26189,75,26188
26190,74,26163
26191,75,26190
26192,74,26163
26193,75,26192
26194,95,26163
26195,17,26194
26196,0,26195
26197,65,26194
26198,12,26197
26199,14,26198
26200,52,26197
26201,12,26200
26202,13,26201
26203,65,26194
26204,12,26203
26205,14,26204
26206,52,26203
26207,12,26206
26208,13,26207
26209,65,26194
26210,12,26209
26211,14,26210
26212,52,26209
26213,12,26212
26214,13,26213
26215,65,26194
26216,12,26215
26217,14,26216
26218,52,26215
26219,12,26218
26220,13,26219
26221,65,26194
26222,12,26221
26223,14,26222
26224,52,26221
26225,12,26224
26226,13,26225
26227,65,26194
26228,12,26227
26229,14,26228
26230,52,26227
26231,12,26230
26232,13,26231
26233,65,26194
26234,12,26233
26235,14,26234
26236,8,26233
26237,0,26236
26238,65,26194
26239,12,26238
26240,14,26239
26241,0,26238
26242,65,26194
26243,12,26242
26244,14,26243
26245,52,26242
26246,12,26245
26247,13,26246
26248,65,26194
26249,12,26248
26250,14,26249
26251,52,26248
26252,12,26251
26253,13,26252
26254,65,26194
26255,12,26254
26256,14,26255
26257,52,26254
26258,12,26257
26259,13,26258
26260,65,26194
26261,12,26260
26262,14,26261
26263,0,26260
26264,65,26194
26265,12,26264
26266,14,26265
26267,52,26264
26268,12,26267
26269,13,26268
26270,87,26194
26271,89,26270
26272,90,26271
26273,17,26270
26274,0,26273
26275,91,26270
26276,55,26275
26277,12,26276
26278,13,26277
26279,13,26276
26280,12,26270
26281,13,26280
26282,87,26194
26283,89,26282
26284,90,26283
26285,17,26282
26286,0,26285
26287,91,26282
26288,24,26287
26289,55,26288
26290,12,26289
26291,13,26290
26292,13,26289
26293,34,26288
26294,55,26288
26295,12,26294
26296,13,26295
26297,13,26294
26298,12,26282
26299,13,26298
26300,87,26194
26301,89,26300
26302,90,26301
26303,17,26300
26304,0,26303
26305,91,26300
26306,52,26305
26307,55,26306
26308,12,26307
26309,13,26308
26310,13,26307
26311,12,26306
26312,13,26311
26313,12,26300
26314,13,26313
26315,87,26194
26316,89,26315
26317,90,26316
26318,17,26315
26319,0,26318
26320,91,26315
26321,54,26320
26322,41,26321
26323,55,26322
26324,12,26323
26325,13,26324
26326,13,26323
26327,42,26322
26328,52,26322
26329,12,26328
26330,13,26329
26331,55,26321
26332,12,26331
26333,13,26332
26334,13,26331
26335,55,26321
26336,12,26335
26337,13,26336
26338,13,26335
26339,12,26315
26340,13,26339
26341,87,26194
26342,89,26341
26343,90,26342
26344,17,26341
26345,0,26344
26346,91,26341
26347,54,26346
26348,41,26347
26349,55,26348
26350,12,26349
26351,13,26350
26352,13,26349
26353,42,26348
26354,52,26348
26355,12,26354
26356,13,26355
26357,55,26347
26358,12,26357
26359,13,26358
26360,13,26357
26361,55,26347
26362,12,26361
26363,13,26362
26364,13,26361
26365,12,26341
26366,13,26365
26367,87,26194
26368,89,26367
26369,90,26368
26370,90,26368
26371,12,26370
26372,13,26371
26373,90,26368
26374,12,26373
26375,13,26374
26376,17,26367
26377,0,26376
26378,65,26367
26379,55,26378
26380,12,26379
26381,13,26380
26382,14,26379
26383,12,26378
26384,13,26383
26385,65,26367
26386,55,26385
26387,12,26386
26388,13,26387
26389,14,26386
26390,12,26385
26391,13,26390
26392,65,26367
26393,55,26392
26394,12,26393
26395,13,26394
26396,14,26393
26397,52,26392
26398,12,26397
26399,13,26398
26400,55,26397
26401,12,26400
26402,13,26401
26403,13,26400
26404,65,26367
26405,55,26404
26406,12,26405
26407,13,26406
26408,14,26405
26409,52,26404
26410,12,26409
26411,13,26410
26412,12,26409
26413,13,26412
26414,17,26367
26415,52,26414
26416,55,26415
26417,12,26416
26418,13,26417
26419,13,26416
26420,65,26367
26421,12,26420
26422,14,26421
26423,52,26420
26424,55,26423
26425,52,26424
26426,12,26425
26427,13,26426
26428,12,26425
26429,13,26428
26430,13,26424
26431,76,26367
26432,41,26431
26433,12,26432
26434,13,26433
26435,49,26432
26436,0,26432
26437,65,26431
26438,12,26437
26439,14,26438
26440,24,26437
26441,24,26440
26442,0,26441
26443,25,26441
26444,55,26441
26445,12,26444
26446,13,26445
26447,13,26444
26448,25,26440
26449,0,26440
26450,76,26431
26451,41,26450
26452,12,26451
26453,13,26452
26454,49,26451
26455,0,26451
26456,67,26450
26457,12,26456
26458,14,26457
26459,25,26456
26460,24,26456
26461,0,26460
26462,25,26460
26463,12,26460
26464,13,26463
26465,69,26431
26466,52,26465
26467,12,26466
26468,13,26467
26469,12,26466
26470,13,26469
26471,12,26367
26472,13,26471
26473,87,26194
26474,89,26473
26475,90,26474
26476,17,26473
26477,0,26476
26478,91,26473
26479,55,26478
26480,12,26479
26481,13,26480
26482,13,26479
26483,12,26473
26484,13,26483
26485,87,26194
26486,89,26485
26487,90,26486
26488,17,26485
26489,0,26488
26490,91,26485
26491,52,26490
26492,55,26491
26493,12,26492
26494,13,26493
26495,13,26492
26496,55,26491
26497,12,26496
26498,13,26497
26499,13,26496
26500,53,26491
26501,8,26500
26502,0,26501
26503,12,26485
26504,13,26503
26505,87,26194
26506,89,26505
26507,90,26506
26508,17,26505
26509,0,26508
26510,65,26505
26511,12,26510
26512,14,26511
26513,9,26510
26514,77,26505
26515,12,26514
26516,14,26515
26517,55,26514
26518,12,26517
26519,13,26518
26520,13,26517
26521,17,26514
26522,52,26521
26523,55,26522
26524,12,26523
26525,13,26524
26526,13,26523
26527,52,26522
26528,55,26527
26529,12,26528
26530,13,26529
26531,13,26528
26532,17,26505
26533,52,26532
26534,55,26533
26535,12,26534
26536,13,26535
26537,13,26534
26538,55,26533
26539,52,26538
26540,55,26539
26541,12,26540
26542,13,26541
26543,13,26540
26544,13,26538
26545,91,26505
26546,12,26545
26547,13,26546
26548,12,26505
26549,13,26548
26550,87,26194
26551,89,26550
26552,90,26551
26553,17,26550
26554,0,26553
26555,65,26550
26556,12,26555
26557,14,26556
26558,8,26555
26559,0,26558
26560,0,26558
26561,0,26558
26562,65,26550
26563,12,26562
26564,14,26563
26565,63,26562
26566,12,26565
26567,13,26566
26568,12,26565
26569,13,26568
26570,64,26565
26571,7,26570
26572,12,26571
26573,14,26572
26574,12,26571
26575,14,26574
26576,14,26571
26577,52,26570
26578,55,26577
26579,52,26578
26580,12,26579
26581,13,26580
26582,12,26579
26583,13,26582
26584,13,26578
26585,38,26570
26586,39,26585
26587,19,26585
26588,22,26587
26589,52,26587
26590,12,26589
26591,13,26590
26592,12,26589
26593,13,26592
26594,12,26589
26595,13,26594
26596,41,26585
26597,12,26596
26598,13,26597
26599,51,26596
26600,12,26596
26601,13,26600
26602,65,26550
26603,12,26602
26604,14,26603
26605,52,26602
26606,55,26605
26607,12,26606
26608,13,26607
26609,13,26606
26610,65,26550
26611,12,26610
26612,14,26611
26613,55,26610
26614,12,26613
26615,13,26614
26616,13,26613
26617,65,26550
26618,12,26617
26619,14,26618
26620,55,26617
26621,12,26620
26622,13,26621
26623,13,26620
26624,65,26550
26625,56,26624
26626,12,26625
26627,13,26626
26628,57,26625
26629,0,26628
26630,14,26625
26631,9,26624
26632,0,26631
26633,0,26631
26634,0,26631
26635,55,26631
26636,12,26635
26637,13,26636
26638,13,26635
26639,63,26631
26640,12,26639
26641,13,26640
26642,56,26639
26643,56,26642
26644,12,26643
26645,13,26644
26646,57,26643
26647,12,26646
26648,13,26647
26649,13,26643
26650,57,26642
