node_id,class_name,parent_id
26959,100,-1
26960,95,26959
26961,12,26960
26962,13,26961
26963,17,26960
26964,0,26963
26965,87,26960
26966,89,26965
26967,90,26966
26968,90,26966
26969,0,26966
26970,17,26965
26971,0,26970
26972,76,26965
26973,12,26972
26974,13,26973
26975,65,26972
26976,12,26975
26977,14,26976
26978,52,26975
26979,55,26978
26980,0,26979
26981,13,26979
26982,53,26978
26983,52,26982
26984,55,26983
26985,0,26984
26986,13,26984
26987,12,26983
26988,13,26987
26989,65,26972
26990,12,26989
26991,14,26990
26992,0,26989
26993,17,26965
26994,52,26993
26995,55,26994
26996,52,26995
26997,12,26996
26998,13,26997
26999,13,26995
27000,12,26994
27001,13,27000
