node_id,class_name,parent_id
28149,100,-1
28150,74,28149
28151,75,28150
28152,74,28149
28153,75,28152
28154,95,28149
28155,12,28154
28156,13,28155
28157,17,28154
28158,0,28157
28159,87,28154
28160,89,28159
28161,90,28160
28162,90,28160
28163,90,28160
28164,17,28159
28165,0,28164
28166,17,28159
28167,52,28166
28168,55,28167
28169,12,28168
28170,13,28169
28171,13,28168
28172,12,28167
28173,13,28172
28174,12,28167
28175,13,28174
28176,12,28167
28177,13,28176
28178,65,28159
28179,55,28178
28180,12,28179
28181,13,28180
28182,14,28179
28183,52,28178
28184,55,28183
28185,52,28184
28186,55,28185
28187,12,28186
28188,13,28187
28189,13,28186
28190,13,28184
28191,12,28183
28192,13,28191
28193,87,28154
28194,89,28193
28195,90,28194
28196,17,28193
28197,0,28196
28198,91,28193
28199,52,28198
28200,55,28199
28201,12,28200
28202,13,28201
28203,13,28200
28204,55,28199
28205,12,28204
28206,13,28205
28207,13,28204
28208,53,28199
28209,8,28208
28210,0,28209
28211,0,28209
28212,0,28209
28213,12,28193
28214,13,28213
28215,87,28154
28216,89,28215
28217,90,28216
28218,91,28215
28219,62,28218
28220,7,28219
28221,7,28220
28222,12,28221
28223,13,28222
28224,12,28221
28225,13,28224
28226,13,28221
28227,55,28220
28228,12,28227
28229,13,28228
28230,13,28227
28231,13,28220
28232,64,28219
28233,7,28232
28234,12,28233
28235,14,28234
28236,12,28233
28237,14,28236
28238,14,28233
28239,52,28232
28240,55,28239
28241,55,28240
28242,12,28241
28243,13,28242
28244,13,28241
28245,13,28240
28246,64,28219
28247,12,28246
28248,14,28247
28249,12,28246
28250,13,28249
