node_id,class_name,parent_id
29452,100,-1
29453,73,29452
29454,75,29453
29455,74,29452
29456,75,29455
29457,74,29452
29458,75,29457
29459,95,29452
29460,17,29459
29461,0,29460
29462,87,29459
29463,89,29462
29464,90,29463
29465,90,29463
29466,90,29463
29467,0,29463
29468,17,29462
29469,0,29468
29470,65,29462
29471,55,29470
29472,12,29471
29473,13,29472
29474,14,29471
29475,52,29470
29476,55,29475
29477,55,29476
29478,12,29477
29479,13,29478
29480,13,29477
29481,13,29476
29482,12,29475
29483,13,29482
29484,65,29462
29485,55,29484
29486,12,29485
29487,13,29486
29488,14,29485
29489,52,29484
29490,55,29489
29491,55,29490
29492,12,29491
29493,13,29492
29494,13,29491
29495,13,29490
29496,55,29489
29497,12,29496
29498,13,29497
29499,13,29496
29500,65,29462
29501,55,29500
29502,12,29501
29503,13,29502
29504,14,29501
29505,12,29500
29506,13,29505
29507,87,29459
29508,89,29507
29509,90,29508
29510,90,29508
29511,17,29507
29512,0,29511
29513,91,29507
29514,56,29513
29515,55,29514
29516,12,29515
29517,13,29516
29518,13,29515
29519,57,29514
29520,12,29519
29521,13,29520
29522,13,29514
29523,87,29459
29524,89,29523
29525,90,29524
29526,17,29523
29527,0,29526
29528,65,29523
29529,12,29528
29530,14,29529
29531,52,29528
29532,55,29531
29533,55,29532
29534,12,29533
29535,13,29534
29536,13,29533
29537,13,29532
29538,76,29523
29539,55,29538
29540,12,29539
29541,13,29540
29542,13,29539
29543,91,29538
29544,52,29543
29545,12,29544
29546,13,29545
29547,62,29544
29548,24,29547
29549,12,29548
29550,13,29549
29551,25,29548
29552,0,29548
29553,64,29547
29554,12,29553
29555,14,29554
29556,12,29553
29557,13,29556
29558,91,29538
29559,52,29558
29560,12,29559
29561,13,29560
29562,12,29559
29563,13,29562
29564,12,29523
29565,13,29564
29566,87,29459
29567,89,29566
29568,90,29567
29569,17,29566
29570,0,29569
29571,85,29566
29572,86,29571
29573,52,29572
29574,12,29573
29575,13,29574
29576,55,29573
29577,12,29576
29578,13,29577
29579,13,29576
29580,0,29573
29581,12,29572
29582,14,29581
29583,91,29571
29584,52,29583
29585,55,29584
29586,12,29585
29587,13,29586
29588,13,29585
29589,12,29566
29590,13,29589
29591,87,29459
29592,89,29591
29593,90,29592
29594,17,29591
29595,0,29594
29596,91,29591
29597,52,29596
29598,55,29597
29599,55,29598
29600,12,29599
29601,13,29600
29602,13,29599
29603,13,29598
29604,53,29597
29605,0,29604
29606,12,29591
29607,13,29606
29608,87,29459
29609,89,29608
29610,90,29609
29611,17,29608
29612,0,29611
29613,91,29608
29614,55,29613
29615,12,29614
29616,13,29615
29617,13,29614
29618,12,29608
29619,13,29618
29620,87,29459
29621,89,29620
29622,90,29621
29623,17,29620
29624,0,29623
29625,91,29620
29626,55,29625
29627,12,29626
29628,13,29627
29629,13,29626
29630,12,29620
29631,13,29630
29632,87,29459
29633,89,29632
29634,90,29633
29635,17,29632
29636,0,29635
29637,91,29632
29638,52,29637
29639,12,29638
29640,13,29639
29641,55,29638
29642,12,29641
29643,13,29642
29644,13,29641
29645,87,29459
29646,89,29645
29647,90,29646
29648,17,29645
29649,0,29648
29650,91,29645
29651,52,29650
29652,12,29651
29653,13,29652
29654,55,29651
29655,12,29654
29656,13,29655
29657,13,29654
29658,87,29459
29659,89,29658
29660,90,29659
29661,90,29659
29662,17,29658
29663,0,29662
29664,91,29658
29665,56,29664
29666,55,29665
29667,12,29666
29668,13,29667
29669,13,29666
29670,57,29665
29671,12,29670
29672,13,29671
29673,13,29665
29674,52,29459
29675,12,29674
29676,13,29675
29677,0,29674
29678,0,29674
