node_id,class_name,parent_id
3354,100,-1
3355,73,3354
3356,75,3355
3357,73,3354
3358,75,3357
3359,74,3354
3360,75,3359
3361,74,3354
3362,75,3361
3363,74,3354
3364,75,3363
3365,74,3354
3366,75,3365
3367,74,3354
3368,75,3367
3369,87,3354
3370,89,3369
3371,90,3370
3372,90,3370
3373,12,3372
3374,13,3373
3375,0,3370
3376,0,3370
3377,17,3369
3378,52,3377
3379,12,3378
3380,13,3379
3381,65,3369
3382,12,3381
3383,14,3382
3384,52,3381
3385,12,3384
3386,13,3385
3387,12,3384
3388,13,3387
3389,76,3369
3390,41,3389
3391,12,3390
3392,13,3391
3393,48,3390
3394,0,3390
3395,91,3389
3396,0,3395
3397,65,3369
3398,12,3397
3399,14,3398
3400,52,3397
3401,55,3400
3402,12,3401
3403,13,3402
3404,13,3401
3405,52,3400
3406,55,3405
3407,55,3406
3408,12,3407
3409,13,3408
3410,13,3407
3411,13,3406
3412,52,3405
3413,12,3412
3414,13,3413
3415,12,3412
3416,13,3415
3417,0,3405
3418,0,3405
3419,65,3369
3420,12,3419
3421,14,3420
3422,0,3419
3423,77,3369
3424,12,3423
3425,14,3424
3426,12,3423
3427,13,3426
3428,17,3423
3429,52,3428
3430,55,3429
3431,12,3430
3432,13,3431
3433,13,3430
3434,24,3429
3435,0,3434
3436,25,3434
3437,52,3434
3438,55,3437
3439,55,3438
3440,12,3439
3441,13,3440
3442,13,3439
3443,13,3438
3444,12,3437
3445,13,3444
3446,81,3423
3447,17,3446
3448,52,3447
3449,55,3448
3450,12,3449
3451,13,3450
3452,13,3449
3453,12,3448
3454,13,3453
3455,84,3446
3456,12,3455
3457,13,3456
3458,67,3455
3459,12,3458
3460,14,3459
3461,25,3458
3462,0,3458
3463,17,3455
3464,52,3463
3465,55,3464
3466,12,3465
3467,13,3466
3468,13,3465
3469,52,3464
3470,55,3469
3471,0,3470
3472,13,3470
3473,52,3469
3474,55,3473
3475,55,3474
3476,12,3475
3477,13,3476
3478,13,3475
3479,13,3474
3480,12,3473
3481,13,3480
3482,55,3469
3483,12,3482
3484,13,3483
3485,13,3482
3486,76,3369
3487,12,3486
3488,13,3487
3489,17,3486
3490,52,3489
3491,55,3490
3492,12,3491
3493,13,3492
3494,13,3491
3495,24,3490
3496,52,3495
3497,12,3496
3498,13,3497
3499,12,3496
3500,13,3499
3501,25,3495
3502,0,3495
3503,91,3369
3504,0,3503
3505,76,3354
3506,41,3505
3507,12,3506
3508,13,3507
3509,42,3506
3510,0,3506
3511,17,3505
3512,52,3511
3513,55,3512
3514,12,3513
3515,13,3514
3516,13,3513
3517,52,3512
3518,12,3517
3519,13,3518
