node_id,class_name,parent_id
32581,100,-1
32582,73,32581
32583,75,32582
32584,73,32581
32585,75,32584
32586,73,32581
32587,75,32586
32588,73,32581
32589,75,32588
32590,73,32581
32591,75,32590
32592,74,32581
32593,75,32592
32594,74,32581
32595,75,32594
32596,65,32581
32597,12,32596
32598,14,32597
32599,52,32596
32600,55,32599
32601,12,32600
32602,13,32601
32603,13,32600
32604,0,32599
32605,53,32599
32606,12,32605
32607,13,32606
32608,65,32581
32609,55,32608
32610,12,32609
32611,13,32610
32612,14,32609
32613,12,32608
32614,13,32613
32615,87,32581
32616,89,32615
32617,90,32616
32618,90,32616
32619,17,32615
32620,0,32619
32621,81,32615
32622,17,32621
32623,52,32622
32624,55,32623
32625,12,32624
32626,13,32625
32627,13,32624
32628,55,32623
32629,12,32628
32630,13,32629
32631,13,32628
32632,53,32623
32633,0,32632
32634,91,32621
32635,52,32634
32636,55,32635
32637,55,32636
32638,12,32637
32639,13,32638
32640,13,32637
32641,13,32636
32642,55,32635
32643,12,32642
32644,13,32643
32645,13,32642
32646,52,32635
32647,12,32646
32648,13,32647
32649,12,32646
32650,13,32649
32651,84,32621
32652,12,32651
32653,13,32652
32654,17,32651
32655,52,32654
32656,55,32655
32657,12,32656
32658,13,32657
32659,13,32656
32660,52,32655
32661,55,32660
32662,0,32661
32663,13,32661
32664,55,32660
32665,12,32664
32666,13,32665
32667,13,32664
32668,91,32615
32669,0,32668
32670,87,32581
32671,89,32670
32672,90,32671
32673,90,32671
32674,17,32670
32675,0,32674
32676,65,32670
32677,12,32676
32678,14,32677
32679,6,32676
32680,13,32679
32681,65,32670
32682,12,32681
32683,14,32682
32684,0,32681
32685,77,32670
32686,12,32685
32687,14,32686
32688,12,32685
32689,13,32688
32690,81,32685
32691,65,32690
32692,12,32691
32693,14,32692
32694,52,32691
32695,12,32694
32696,13,32695
32697,0,32694
32698,12,32694
32699,13,32698
32700,76,32690
32701,52,32700
32702,55,32701
32703,55,32702
32704,12,32703
32705,13,32704
32706,13,32703
32707,13,32702
32708,12,32701
32709,13,32708
32710,17,32700
32711,52,32710
32712,55,32711
32713,12,32712
32714,13,32713
32715,13,32712
32716,12,32711
32717,13,32716
32718,65,32700
32719,12,32718
32720,14,32719
32721,0,32718
32722,84,32690
32723,7,32722
32724,12,32723
32725,13,32724
32726,12,32723
32727,13,32726
32728,13,32723
32729,17,32722
32730,52,32729
32731,55,32730
32732,12,32731
32733,13,32732
32734,13,32731
32735,52,32730
32736,12,32735
32737,13,32736
32738,12,32735
32739,13,32738
32740,76,32670
32741,41,32740
32742,52,32741
32743,12,32742
32744,13,32743
32745,12,32742
32746,13,32745
32747,46,32741
32748,0,32741
32749,65,32740
32750,12,32749
32751,14,32750
32752,52,32749
32753,55,32752
32754,0,32753
32755,13,32753
32756,12,32752
32757,13,32756
32758,17,32740
32759,52,32758
32760,55,32759
32761,12,32760
32762,13,32761
32763,13,32760
32764,52,32759
32765,55,32764
32766,0,32765
32767,13,32765
32768,12,32764
32769,13,32768
32770,55,32764
32771,12,32770
32772,13,32771
32773,13,32770
32774,65,32740
32775,12,32774
32776,14,32775
32777,0,32774
32778,91,32670
32779,12,32778
32780,13,32779
32781,87,32581
32782,89,32781
32783,90,32782
32784,90,32782
32785,90,32782
32786,0,32782
32787,17,32781
32788,0,32787
32789,65,32781
32790,12,32789
32791,14,32790
32792,52,32789
32793,12,32792
32794,13,32793
32795,0,32792
32796,12,32792
32797,13,32796
32798,76,32781
32799,38,32798
32800,40,32799
32801,41,32799
32802,12,32801
32803,13,32802
32804,48,32801
32805,0,32801
32806,19,32799
32807,22,32806
32808,52,32806
32809,55,32808
32810,55,32809
32811,12,32810
32812,13,32811
32813,13,32810
32814,13,32809
32815,12,32808
32816,13,32815
32817,91,32798
32818,12,32817
32819,13,32818
32820,85,32781
32821,86,32820
32822,52,32821
32823,12,32822
32824,13,32823
32825,12,32822
32826,13,32825
32827,0,32822
32828,12,32821
32829,14,32828
32830,81,32820
32831,91,32830
32832,52,32831
32833,55,32832
32834,12,32833
32835,13,32834
32836,13,32833
32837,12,32832
32838,13,32837
32839,84,32830
32840,7,32839
32841,55,32840
32842,12,32841
32843,13,32842
32844,13,32841
32845,12,32840
32846,13,32845
32847,13,32840
32848,17,32839
32849,52,32848
32850,55,32849
32851,12,32850
32852,13,32851
32853,13,32850
32854,0,32849
32855,17,32839
32856,52,32855
32857,12,32856
32858,13,32857
32859,0,32856
32860,6,32856
32861,12,32860
32862,13,32861
32863,13,32860
32864,91,32839
32865,12,32864
32866,13,32865
32867,87,32581
32868,89,32867
32869,90,32868
32870,90,32868
32871,90,32868
32872,17,32867
32873,0,32872
32874,65,32867
32875,12,32874
32876,14,32875
32877,52,32874
32878,12,32877
32879,13,32878
32880,0,32877
32881,12,32877
32882,13,32881
32883,76,32867
32884,41,32883
32885,12,32884
32886,13,32885
32887,48,32884
32888,0,32884
32889,91,32883
32890,0,32889
32891,85,32867
32892,86,32891
32893,52,32892
32894,12,32893
32895,13,32894
32896,12,32893
32897,13,32896
32898,0,32893
32899,12,32892
32900,14,32899
32901,17,32891
32902,52,32901
32903,55,32902
32904,12,32903
32905,13,32904
32906,13,32903
32907,12,32902
32908,13,32907
32909,12,32902
32910,13,32909
32911,91,32867
32912,0,32911
32913,87,32581
32914,89,32913
32915,90,32914
32916,17,32913
32917,0,32916
32918,91,32913
32919,52,32918
32920,55,32919
32921,52,32920
32922,55,32921
32923,12,32922
32924,13,32923
32925,13,32922
32926,52,32921
32927,55,32926
32928,12,32927
32929,13,32928
32930,13,32927
32931,0,32926
32932,13,32920
32933,87,32581
32934,89,32933
32935,90,32934
32936,90,32934
32937,90,32934
32938,12,32937
32939,13,32938
32940,6,32934
32941,13,32940
32942,6,32934
32943,0,32942
32944,13,32942
32945,17,32933
32946,0,32945
32947,65,32933
32948,12,32947
32949,14,32948
32950,6,32947
32951,13,32950
32952,77,32933
32953,12,32952
32954,14,32953
32955,12,32952
32956,13,32955
32957,76,32952
32958,38,32957
32959,40,32958
32960,41,32958
32961,12,32960
32962,13,32961
32963,50,32960
32964,12,32960
32965,13,32964
32966,41,32958
32967,12,32966
32968,13,32967
32969,42,32966
32970,6,32966
32971,13,32970
32972,65,32957
32973,12,32972
32974,14,32973
32975,52,32972
32976,55,32975
32977,56,32976
32978,12,32977
32979,13,32978
32980,57,32977
32981,12,32980
32982,13,32981
32983,13,32977
32984,13,32976
32985,77,32957
32986,12,32985
32987,14,32986
32988,12,32985
32989,13,32988
32990,81,32985
32991,17,32990
32992,52,32991
32993,55,32992
32994,12,32993
32995,13,32994
32996,13,32993
32997,12,32992
32998,13,32997
32999,53,32992
33000,0,32999
33001,17,32990
33002,52,33001
33003,55,33002
33004,12,33003
33005,13,33004
33006,13,33003
33007,12,33002
33008,13,33007
33009,84,32990
33010,12,33009
33011,13,33010
33012,80,33009
33013,17,32957
33014,52,33013
33015,55,33014
33016,12,33015
33017,13,33016
33018,13,33015
33019,52,33014
33020,12,33019
33021,13,33020
33022,12,33019
33023,13,33022
33024,91,32933
33025,52,33024
33026,12,33025
33027,13,33026
33028,52,33025
33029,12,33028
33030,13,33029
33031,12,33028
33032,13,33031
33033,87,32581
33034,89,33033
33035,90,33034
33036,90,33034
33037,17,33033
33038,0,33037
33039,65,33033
33040,12,33039
33041,14,33040
33042,52,33039
33043,12,33042
33044,13,33043
33045,52,33042
33046,55,33045
33047,12,33046
33048,13,33047
33049,13,33046
33050,65,33033
33051,12,33050
33052,14,33051
33053,52,33050
33054,12,33053
33055,13,33054
33056,0,33053
33057,0,33053
33058,9,33053
33059,76,33033
33060,41,33059
33061,12,33060
33062,13,33061
33063,51,33060
33064,12,33060
33065,13,33064
33066,91,33059
33067,0,33066
33068,65,33033
33069,12,33068
33070,14,33069
33071,41,33068
33072,56,33071
33073,12,33072
33074,13,33073
33075,57,33072
33076,12,33075
33077,13,33076
33078,13,33072
33079,43,33071
33080,12,33071
33081,13,33080
33082,76,33033
33083,12,33082
33084,13,33083
33085,71,33082
33086,56,33085
33087,12,33086
33088,13,33087
33089,57,33086
33090,12,33089
33091,13,33090
33092,15,33086
33093,17,33082
33094,52,33093
33095,55,33094
33096,12,33095
33097,13,33096
33098,13,33095
33099,0,33094
33100,91,33033
33101,12,33100
33102,13,33101
33103,87,32581
