node_id,class_name,parent_id
33848,100,-1
33849,74,33848
33850,75,33849
33851,87,33848
33852,89,33851
33853,90,33852
33854,90,33852
33855,17,33851
33856,0,33855
33857,65,33851
33858,7,33857
33859,12,33858
33860,14,33859
33861,12,33858
33862,14,33861
33863,14,33858
33864,52,33857
33865,12,33864
33866,13,33865
33867,62,33864
33868,7,33867
33869,52,33868
33870,12,33869
33871,13,33870
33872,12,33869
33873,13,33872
33874,12,33868
33875,13,33874
33876,13,33868
33877,64,33867
33878,12,33877
33879,14,33878
33880,12,33877
33881,13,33880
33882,91,33851
33883,7,33882
33884,62,33883
33885,12,33884
33886,13,33885
33887,64,33884
33888,7,33887
33889,12,33888
33890,14,33889
33891,12,33888
33892,14,33891
33893,14,33888
33894,12,33887
33895,13,33894
33896,12,33887
33897,13,33896
33898,62,33883
33899,12,33898
33900,13,33899
33901,64,33898
33902,7,33901
33903,12,33902
33904,14,33903
33905,12,33902
33906,14,33905
33907,14,33902
33908,12,33901
33909,13,33908
33910,19,33901
33911,22,33910
33912,12,33910
33913,13,33912
33914,13,33883
