node_id,class_name,parent_id
38680,100,-1
38681,73,38680
38682,75,38681
38683,87,38680
38684,89,38683
38685,90,38684
38686,90,38684
38687,17,38683
38688,0,38687
38689,76,38683
38690,19,38689
38691,22,38690
38692,52,38690
38693,12,38692
38694,13,38693
38695,12,38692
38696,13,38695
38697,12,38692
38698,13,38697
38699,69,38689
38700,52,38699
38701,12,38700
38702,13,38701
38703,0,38700
38704,65,38683
38705,12,38704
38706,14,38705
38707,52,38704
38708,55,38707
38709,12,38708
38710,13,38709
38711,13,38708
38712,76,38683
38713,41,38712
38714,52,38713
38715,12,38714
38716,13,38715
38717,12,38714
38718,13,38717
38719,43,38713
38720,0,38713
38721,65,38712
38722,12,38721
38723,14,38722
38724,0,38721
38725,77,38712
38726,7,38725
38727,12,38726
38728,14,38727
38729,12,38726
38730,14,38729
38731,14,38726
38732,52,38725
38733,55,38732
38734,12,38733
38735,13,38734
38736,13,38733
38737,67,38725
38738,12,38737
38739,14,38738
38740,25,38737
38741,52,38737
38742,55,38741
38743,0,38742
38744,13,38742
38745,12,38741
38746,13,38745
38747,56,38741
38748,12,38747
38749,13,38748
38750,57,38747
38751,0,38750
38752,13,38747
38753,56,38741
38754,12,38753
38755,13,38754
38756,57,38753
38757,0,38756
38758,13,38753
38759,17,38712
38760,52,38759
38761,55,38760
38762,12,38761
38763,13,38762
38764,13,38761
38765,12,38760
38766,13,38765
38767,69,38712
38768,52,38767
38769,12,38768
38770,13,38769
38771,12,38768
38772,13,38771
