node_id,class_name,parent_id
38994,100,-1
38995,74,38994
38996,75,38995
38997,74,38994
38998,75,38997
38999,73,38994
39000,75,38999
39001,73,38994
39002,75,39001
39003,73,38994
39004,75,39003
39005,73,38994
39006,75,39005
39007,95,38994
39008,55,39007
39009,12,39008
39010,13,39009
39011,13,39008
39012,17,39007
39013,0,39012
39014,65,39007
39015,12,39014
39016,14,39015
39017,52,39014
39018,12,39017
39019,13,39018
39020,87,39007
39021,89,39020
39022,90,39021
39023,17,39020
39024,0,39023
39025,17,39020
39026,52,39025
39027,55,39026
39028,55,39027
39029,12,39028
39030,13,39029
39031,13,39028
39032,13,39027
39033,12,39020
39034,13,39033
39035,87,39007
39036,89,39035
39037,90,39036
39038,90,39036
39039,67,39035
39040,56,39039
39041,55,39040
39042,12,39041
39043,13,39042
39044,13,39041
39045,57,39040
39046,55,39045
39047,12,39046
39048,13,39047
39049,13,39046
39050,14,39040
39051,25,39039
39052,0,39039
39053,12,39035
39054,13,39053
39055,87,39007
39056,89,39055
39057,90,39056
39058,90,39056
39059,17,39055
39060,0,39059
39061,91,39055
39062,56,39061
39063,55,39062
39064,12,39063
39065,13,39064
39066,13,39063
39067,57,39062
39068,12,39067
39069,13,39068
39070,13,39062
39071,12,39055
39072,13,39071
39073,87,38994
39074,89,39073
39075,90,39074
39076,0,39074
39077,17,39073
39078,0,39077
39079,73,39073
39080,75,39079
39081,17,39073
39082,52,39081
39083,55,39082
39084,12,39083
39085,13,39084
39086,13,39083
39087,17,39073
39088,52,39087
39089,55,39088
39090,55,39089
39091,12,39090
39092,13,39091
39093,13,39090
39094,13,39089
39095,9,39088
39096,0,39095
39097,0,39095
39098,0,39095
39099,0,39095
39100,0,39095
39101,9,39095
39102,0,39101
39103,0,39101
39104,9,39101
39105,0,39104
39106,0,39104
39107,0,39104
39108,0,39104
39109,54,39104
39110,12,39109
39111,13,39110
39112,0,39109
39113,0,39109
39114,55,39104
39115,12,39114
39116,13,39115
39117,13,39114
39118,9,39101
39119,0,39118
39120,0,39118
39121,9,39095
39122,0,39121
39123,0,39121
39124,0,39121
39125,6,39121
39126,0,39125
39127,0,39125
39128,13,39125
39129,9,39095
39130,0,39129
39131,0,39129
39132,9,39129
39133,0,39132
39134,0,39132
39135,0,39132
39136,0,39132
39137,0,39132
39138,0,39132
39139,0,39132
39140,9,39132
39141,0,39140
39142,0,39140
39143,0,39140
39144,0,39140
39145,0,39140
39146,0,39140
39147,0,39140
39148,0,39140
39149,9,39129
39150,0,39149
39151,0,39149
39152,0,39149
39153,0,39149
39154,87,38994
39155,89,39154
39156,17,39154
39157,0,39156
39158,65,39154
39159,12,39158
39160,14,39159
39161,52,39158
39162,55,39161
39163,12,39162
39164,13,39163
39165,13,39162
39166,17,39154
39167,52,39166
39168,55,39167
39169,12,39168
39170,13,39169
39171,13,39168
39172,17,39154
39173,52,39172
39174,55,39173
39175,55,39174
39176,12,39175
39177,13,39176
39178,13,39175
39179,13,39174
39180,9,39173
39181,0,39180
39182,0,39180
39183,0,39180
39184,0,39180
39185,0,39180
39186,9,39180
39187,0,39186
39188,0,39186
39189,9,39186
39190,0,39189
39191,0,39189
39192,0,39189
39193,0,39189
39194,0,39189
39195,12,39189
39196,13,39195
39197,9,39186
39198,0,39197
39199,0,39197
39200,9,39180
39201,0,39200
39202,0,39200
39203,0,39200
39204,6,39200
39205,0,39204
39206,0,39204
39207,13,39204
39208,9,39180
39209,0,39208
39210,9,39208
39211,0,39210
39212,0,39210
39213,91,39154
39214,12,39213
39215,13,39214
39216,95,38994
39217,55,39216
39218,12,39217
39219,13,39218
39220,13,39217
39221,17,39216
39222,0,39221
39223,87,39216
39224,89,39223
39225,90,39224
39226,65,39223
39227,12,39226
39228,14,39227
39229,9,39226
39230,0,39229
39231,0,39229
39232,0,39229
39233,52,39229
39234,55,39233
39235,52,39234
39236,55,39235
39237,12,39236
39238,13,39237
39239,13,39236
39240,55,39235
39241,12,39240
39242,13,39241
39243,13,39240
39244,13,39234
39245,52,39229
39246,55,39245
39247,12,39246
39248,13,39247
39249,13,39246
39250,55,39229
39251,12,39250
39252,13,39251
39253,13,39250
39254,91,39223
39255,52,39254
39256,55,39255
39257,12,39256
39258,13,39257
39259,13,39256
39260,12,39255
39261,13,39260
39262,12,39223
39263,13,39262
