node_id,class_name,parent_id
39835,100,-1
39836,73,39835
39837,75,39836
39838,74,39835
39839,75,39838
39840,65,39835
39841,12,39840
39842,14,39841
39843,52,39840
39844,12,39843
39845,13,39844
39846,53,39843
39847,55,39846
39848,12,39847
39849,13,39848
39850,13,39847
39851,53,39843
39852,55,39851
39853,12,39852
39854,13,39853
39855,13,39852
39856,53,39843
39857,55,39856
39858,12,39857
39859,13,39858
39860,13,39857
39861,53,39843
39862,55,39861
39863,12,39862
39864,13,39863
39865,13,39862
39866,65,39835
39867,12,39866
39868,14,39867
39869,9,39866
39870,55,39869
39871,12,39870
39872,13,39871
39873,13,39870
39874,55,39869
39875,12,39874
39876,13,39875
39877,13,39874
39878,55,39869
39879,12,39878
39880,13,39879
39881,13,39878
39882,55,39869
39883,12,39882
39884,13,39883
39885,13,39882
39886,0,39869
39887,0,39869
39888,0,39869
39889,0,39869
