node_id,class_name,parent_id
43670,100,-1
43671,74,43670
43672,75,43671
43673,95,43670
43674,12,43673
43675,13,43674
43676,87,43673
43677,89,43676
43678,90,43677
43679,90,43677
43680,17,43676
43681,52,43680
43682,55,43681
43683,52,43682
43684,12,43683
43685,13,43684
43686,13,43682
43687,52,43681
43688,55,43687
43689,0,43688
43690,13,43688
43691,12,43687
43692,13,43691
43693,52,43687
43694,55,43693
43695,0,43694
43696,13,43694
43697,52,43693
43698,12,43697
43699,13,43698
43700,12,43697
43701,13,43700
