node_id,class_name,parent_id
46218,100,-1
46219,73,46218
46220,75,46219
46221,73,46218
46222,75,46221
46223,73,46218
46224,75,46223
46225,74,46218
46226,75,46225
46227,95,46218
46228,55,46227
46229,12,46228
46230,13,46229
46231,13,46228
46232,17,46227
46233,0,46232
46234,87,46227
46235,89,46234
46236,90,46235
46237,90,46235
46238,90,46235
46239,0,46235
46240,17,46234
46241,52,46240
46242,55,46241
46243,55,46242
46244,12,46243
46245,13,46244
46246,13,46243
46247,13,46242
46248,12,46241
46249,13,46248
46250,65,46234
46251,55,46250
46252,12,46251
46253,13,46252
46254,14,46251
46255,0,46250
46256,65,46234
46257,55,46256
46258,12,46257
46259,13,46258
46260,14,46257
46261,12,46256
46262,13,46261
46263,87,46227
46264,89,46263
46265,90,46264
46266,78,46263
46267,55,46266
46268,12,46267
46269,13,46268
46270,13,46267
46271,81,46266
46272,65,46271
46273,12,46272
46274,14,46273
46275,52,46272
46276,55,46275
46277,55,46276
46278,12,46277
46279,13,46278
46280,13,46277
46281,13,46276
46282,53,46275
46283,0,46282
46284,76,46271
46285,52,46284
46286,12,46285
46287,13,46286
46288,12,46285
46289,13,46288
46290,12,46285
46291,13,46290
46292,17,46284
46293,52,46292
46294,55,46293
46295,12,46294
46296,13,46295
46297,13,46294
46298,55,46293
46299,12,46298
46300,13,46299
46301,13,46298
46302,55,46293
46303,12,46302
46304,13,46303
46305,13,46302
46306,17,46284
46307,52,46306
46308,55,46307
46309,12,46308
46310,13,46309
46311,13,46308
46312,12,46307
46313,13,46312
46314,84,46271
46315,55,46314
46316,12,46315
46317,13,46316
46318,13,46315
46319,72,46314
