node_id,class_name,parent_id
46320,100,-1
46321,74,46320
46322,75,46321
46323,73,46320
46324,75,46323
46325,73,46320
46326,75,46325
46327,73,46320
46328,75,46327
46329,73,46320
46330,75,46329
46331,73,46320
46332,75,46331
46333,74,46320
46334,75,46333
46335,74,46320
46336,75,46335
46337,74,46320
46338,75,46337
46339,74,46320
46340,75,46339
46341,74,46320
46342,75,46341
46343,74,46320
46344,75,46343
46345,74,46320
46346,75,46345
46347,74,46320
46348,75,46347
46349,74,46320
46350,75,46349
46351,74,46320
46352,75,46351
46353,74,46320
46354,75,46353
46355,74,46320
46356,75,46355
46357,74,46320
46358,75,46357
46359,74,46320
46360,75,46359
46361,74,46320
46362,75,46361
46363,74,46320
46364,75,46363
46365,74,46320
46366,75,46365
46367,74,46320
46368,75,46367
46369,75,46367
46370,74,46320
46371,75,46370
46372,74,46320
46373,75,46372
46374,74,46320
46375,75,46374
46376,65,46320
46377,12,46376
46378,14,46377
46379,6,46376
46380,52,46379
46381,12,46380
46382,13,46381
46383,52,46379
46384,12,46383
46385,13,46384
46386,52,46379
46387,12,46386
46388,13,46387
46389,52,46379
46390,12,46389
46391,13,46390
46392,52,46379
46393,12,46392
46394,13,46393
46395,52,46379
46396,12,46395
46397,13,46396
46398,52,46379
46399,12,46398
46400,13,46399
46401,13,46379
46402,87,46320
46403,89,46402
46404,91,46402
46405,38,46404
46406,40,46405
46407,52,46405
46408,55,46407
46409,12,46408
46410,13,46409
46411,13,46408
46412,0,46405
46413,87,46320
46414,89,46413
46415,90,46414
46416,90,46414
46417,17,46413
46418,0,46417
46419,77,46413
46420,12,46419
46421,14,46420
46422,12,46419
46423,13,46422
46424,17,46419
46425,52,46424
46426,55,46425
46427,12,46426
46428,13,46427
46429,13,46426
46430,12,46425
46431,13,46430
46432,87,46320
46433,89,46432
46434,90,46433
46435,91,46432
46436,52,46435
46437,12,46436
46438,13,46437
46439,62,46436
46440,54,46439
46441,52,46440
46442,55,46441
46443,12,46442
46444,13,46443
46445,13,46442
46446,0,46440
46447,0,46440
46448,64,46439
46449,12,46448
46450,14,46449
46451,12,46448
46452,13,46451
46453,87,46320
46454,89,46453
46455,90,46454
46456,90,46454
46457,76,46453
46458,41,46457
46459,52,46458
46460,55,46459
46461,12,46460
46462,13,46461
46463,13,46460
46464,42,46458
46465,0,46458
46466,65,46457
46467,12,46466
46468,14,46467
46469,52,46466
46470,55,46469
46471,12,46470
46472,13,46471
46473,13,46470
46474,12,46469
46475,13,46474
46476,53,46469
46477,55,46476
46478,12,46477
46479,13,46478
46480,13,46477
46481,53,46469
46482,12,46481
46483,13,46482
46484,65,46457
46485,12,46484
46486,14,46485
46487,52,46484
46488,55,46487
46489,12,46488
46490,13,46489
46491,13,46488
46492,12,46487
46493,13,46492
46494,53,46487
46495,55,46494
46496,12,46495
46497,13,46496
46498,13,46495
46499,53,46487
46500,12,46499
46501,13,46500
46502,91,46453
46503,12,46502
46504,13,46503
46505,87,46320
46506,89,46505
46507,90,46506
46508,90,46506
46509,17,46505
46510,0,46509
46511,81,46505
46512,65,46511
46513,12,46512
46514,14,46513
46515,52,46512
46516,12,46515
46517,13,46516
46518,56,46515
46519,12,46518
46520,13,46519
46521,57,46518
46522,0,46521
46523,13,46518
46524,84,46511
46525,12,46524
46526,13,46525
46527,91,46524
46528,7,46527
46529,9,46528
46530,9,46528
46531,13,46528
46532,65,46505
46533,12,46532
46534,14,46533
46535,63,46532
46536,55,46535
46537,52,46536
46538,55,46537
46539,12,46538
46540,13,46539
46541,13,46538
46542,13,46536
46543,12,46535
46544,13,46543
46545,64,46535
46546,12,46545
46547,14,46546
46548,24,46545
46549,12,46548
46550,13,46549
46551,25,46548
46552,12,46548
46553,13,46552
46554,65,46505
46555,12,46554
46556,14,46555
46557,24,46554
46558,52,46557
46559,55,46558
46560,12,46559
46561,13,46560
46562,13,46559
46563,26,46557
46564,52,46557
46565,55,46564
46566,12,46565
46567,13,46566
46568,13,46565
46569,65,46505
46570,12,46569
46571,14,46570
46572,9,46569
46573,76,46505
46574,41,46573
46575,52,46574
46576,12,46575
46577,13,46576
46578,12,46575
46579,13,46578
46580,43,46574
46581,0,46574
46582,65,46573
46583,12,46582
46584,14,46583
46585,63,46582
46586,12,46585
46587,13,46586
46588,12,46585
46589,13,46588
46590,64,46585
46591,7,46590
46592,12,46591
46593,14,46592
46594,12,46591
46595,14,46594
46596,14,46591
46597,52,46590
46598,55,46597
46599,12,46598
46600,13,46599
46601,13,46598
46602,41,46590
46603,12,46602
46604,13,46603
46605,50,46602
46606,12,46602
46607,13,46606
46608,77,46573
46609,12,46608
46610,14,46609
46611,52,46608
46612,55,46611
46613,12,46612
46614,13,46613
46615,13,46612
46616,71,46608
46617,56,46616
46618,12,46617
46619,13,46618
46620,57,46617
46621,12,46620
46622,13,46621
46623,15,46617
46624,65,46505
46625,12,46624
46626,14,46625
46627,63,46624
46628,12,46627
46629,13,46628
46630,56,46627
46631,12,46630
46632,13,46631
46633,57,46630
46634,12,46633
46635,13,46634
46636,13,46630
46637,64,46627
46638,7,46637
46639,12,46638
46640,14,46639
46641,12,46638
46642,14,46641
46643,14,46638
46644,52,46637
46645,55,46644
46646,12,46645
46647,13,46646
46648,13,46645
46649,91,46505
46650,7,46649
46651,12,46650
46652,13,46651
46653,12,46650
46654,13,46653
46655,13,46650
46656,87,46320
46657,89,46656
46658,90,46657
46659,90,46657
46660,90,46657
46661,90,46657
46662,90,46657
46663,0,46657
46664,17,46656
46665,0,46664
