node_id,class_name,parent_id
51800,100,-1
51801,73,51800
51802,75,51801
51803,74,51800
51804,75,51803
51805,74,51800
51806,75,51805
51807,75,51805
51808,75,51805
51809,75,51805
51810,74,51800
51811,75,51810
51812,74,51800
51813,75,51812
51814,74,51800
51815,75,51814
51816,95,51800
51817,17,51816
51818,0,51817
51819,87,51816
51820,89,51819
51821,90,51820
51822,90,51820
51823,90,51820
51824,12,51823
51825,13,51824
51826,90,51820
51827,7,51826
51828,12,51827
51829,13,51828
51830,12,51827
51831,13,51830
51832,13,51827
51833,90,51820
51834,12,51833
51835,13,51834
51836,90,51820
51837,12,51836
51838,13,51837
51839,90,51820
51840,90,51820
51841,7,51840
51842,12,51841
51843,13,51842
51844,0,51841
51845,13,51841
51846,90,51820
51847,12,51846
51848,13,51847
51849,90,51820
51850,7,51849
51851,12,51850
51852,13,51851
51853,0,51850
51854,13,51850
51855,90,51820
51856,12,51855
51857,13,51856
51858,90,51820
51859,12,51858
51860,13,51859
51861,90,51820
51862,12,51861
51863,13,51862
51864,7,51820
51865,13,51864
51866,55,51820
51867,12,51866
51868,13,51867
51869,13,51866
51870,0,51820
51871,0,51820
51872,0,51820
51873,0,51820
51874,0,51820
51875,9,51820
51876,9,51820
51877,6,51820
51878,13,51877
51879,17,51819
51880,0,51879
51881,65,51819
51882,12,51881
51883,14,51882
51884,38,51881
51885,40,51884
51886,12,51884
51887,13,51886
51888,0,51884
51889,76,51819
51890,19,51889
51891,22,51890
51892,52,51890
51893,12,51892
51894,13,51893
51895,12,51892
51896,13,51895
51897,12,51892
51898,13,51897
51899,65,51889
51900,12,51899
51901,14,51900
51902,55,51899
51903,55,51902
51904,12,51903
51905,13,51904
51906,13,51903
51907,13,51902
51908,76,51819
51909,41,51908
51910,12,51909
51911,13,51910
51912,51,51909
51913,55,51909
51914,12,51913
51915,13,51914
51916,13,51913
51917,69,51908
51918,52,51917
51919,12,51918
51920,13,51919
51921,0,51918
51922,65,51819
51923,55,51922
51924,12,51923
51925,13,51924
51926,14,51923
51927,12,51922
51928,13,51927
51929,65,51819
51930,55,51929
51931,12,51930
51932,13,51931
51933,14,51930
51934,12,51929
51935,13,51934
51936,65,51819
51937,55,51936
51938,12,51937
51939,13,51938
51940,14,51937
51941,12,51936
51942,13,51941
51943,65,51819
51944,55,51943
51945,12,51944
51946,13,51945
51947,14,51944
51948,12,51943
51949,13,51948
51950,76,51819
51951,12,51950
51952,13,51951
51953,17,51950
51954,52,51953
51955,55,51954
51956,55,51955
51957,12,51956
51958,13,51957
51959,13,51956
51960,13,51955
51961,53,51954
51962,55,51961
51963,12,51962
51964,13,51963
51965,13,51962
51966,65,51819
51967,55,51966
51968,12,51967
