node_id,class_name,parent_id
56325,100,-1
56326,73,56325
56327,75,56326
56328,73,56325
56329,75,56328
56330,73,56325
56331,75,56330
56332,74,56325
56333,75,56332
56334,74,56325
56335,75,56334
56336,74,56325
56337,75,56336
56338,74,56325
56339,75,56338
56340,74,56325
56341,75,56340
56342,74,56325
56343,75,56342
56344,74,56325
56345,75,56344
56346,17,56325
56347,0,56346
56348,65,56325
56349,12,56348
56350,14,56349
56351,9,56348
56352,0,56351
56353,0,56351
56354,0,56351
56355,0,56351
56356,0,56351
56357,0,56351
56358,0,56351
56359,0,56351
56360,0,56351
56361,0,56351
56362,0,56351
56363,0,56351
56364,0,56351
56365,0,56351
56366,9,56351
56367,0,56366
56368,0,56366
56369,0,56366
56370,0,56366
56371,9,56351
56372,0,56371
56373,0,56371
56374,0,56371
56375,0,56371
56376,9,56351
56377,0,56376
56378,0,56376
56379,0,56376
56380,0,56376
56381,9,56351
56382,0,56381
56383,0,56381
56384,0,56381
56385,0,56381
56386,9,56351
56387,0,56386
56388,0,56386
56389,0,56386
56390,0,56386
56391,9,56351
56392,0,56391
56393,0,56391
56394,0,56391
56395,0,56391
56396,0,56391
56397,0,56391
56398,9,56351
56399,0,56398
56400,0,56398
56401,0,56398
56402,0,56398
56403,0,56398
56404,0,56398
56405,9,56351
56406,0,56405
56407,0,56405
56408,0,56405
56409,0,56405
56410,0,56405
56411,0,56405
56412,9,56351
56413,0,56412
56414,0,56412
56415,0,56412
56416,0,56412
56417,0,56412
56418,0,56412
56419,9,56351
56420,0,56419
56421,0,56419
56422,0,56419
56423,0,56419
56424,9,56351
56425,0,56424
56426,0,56424
56427,0,56424
56428,0,56424
56429,0,56424
56430,0,56424
56431,9,56351
56432,0,56431
56433,0,56431
56434,0,56431
56435,0,56431
56436,9,56351
56437,0,56436
56438,0,56436
56439,0,56436
56440,0,56436
56441,0,56436
56442,0,56436
56443,9,56351
56444,0,56443
56445,0,56443
56446,0,56443
56447,0,56443
56448,0,56443
56449,0,56443
56450,95,56325
56451,12,56450
56452,13,56451
56453,65,56450
56454,12,56453
56455,14,56454
56456,0,56453
56457,87,56450
56458,89,56457
56459,90,56458
56460,12,56459
56461,13,56460
56462,90,56458
56463,90,56458
56464,90,56458
56465,7,56458
56466,13,56465
56467,17,56457
56468,0,56467
56469,76,56457
56470,19,56469
56471,22,56470
56472,41,56470
56473,52,56472
56474,12,56473
56475,13,56474
56476,55,56473
56477,12,56476
56478,13,56477
56479,13,56476
56480,46,56472
56481,0,56472
56482,91,56469
56483,0,56482
56484,65,56457
56485,12,56484
56486,14,56485
56487,52,56484
56488,12,56487
56489,13,56488
56490,62,56487
56491,52,56490
56492,55,56491
56493,12,56492
56494,13,56493
56495,13,56492
56496,12,56491
56497,13,56496
56498,64,56490
56499,12,56498
56500,14,56499
56501,55,56498
56502,12,56501
56503,13,56502
56504,13,56501
56505,76,56457
56506,19,56505
56507,22,56506
56508,52,56506
56509,12,56508
56510,13,56509
56511,62,56508
56512,52,56511
56513,12,56512
56514,13,56513
56515,12,56512
56516,13,56515
56517,64,56511
56518,12,56517
56519,14,56518
56520,12,56517
56521,13,56520
56522,91,56505
56523,0,56522
56524,91,56457
56525,0,56524
56526,12,56457
56527,13,56526
56528,12,56457
56529,13,56528
56530,87,56450
56531,89,56530
56532,90,56531
56533,90,56531
56534,90,56531
56535,90,56531
56536,17,56530
56537,0,56536
56538,65,56530
56539,12,56538
56540,14,56539
56541,6,56538
56542,12,56541
56543,13,56542
56544,13,56541
56545,76,56530
56546,41,56545
56547,0,56546
56548,50,56546
56549,12,56546
56550,13,56549
56551,67,56545
56552,12,56551
56553,14,56552
56554,25,56551
56555,52,56551
56556,55,56555
56557,12,56556
56558,13,56557
56559,13,56556
56560,56,56555
56561,12,56560
56562,13,56561
56563,57,56560
56564,0,56563
56565,13,56560
56566,77,56530
56567,12,56566
56568,14,56567
56569,52,56566
56570,55,56569
56571,12,56570
56572,13,56571
56573,13,56570
56574,65,56566
56575,12,56574
56576,14,56575
56577,52,56574
56578,55,56577
56579,56,56578
56580,12,56579
56581,13,56580
56582,57,56579
56583,0,56582
56584,13,56579
56585,13,56578
56586,53,56577
56587,52,56586
56588,55,56587
56589,12,56588
56590,13,56589
56591,13,56588
56592,56,56587
56593,12,56592
56594,13,56593
56595,57,56592
56596,0,56595
56597,13,56592
56598,53,56577
56599,56,56598
56600,12,56599
56601,13,56600
56602,57,56599
56603,0,56602
56604,13,56599
56605,53,56577
56606,56,56605
56607,12,56606
56608,13,56607
56609,57,56606
56610,0,56609
56611,13,56606
56612,67,56566
56613,12,56612
56614,14,56613
56615,25,56612
56616,52,56612
56617,55,56616
56618,12,56617
56619,13,56618
56620,13,56617
56621,12,56616
56622,13,56621
56623,91,56530
56624,12,56623
56625,13,56624
56626,87,56450
56627,89,56626
56628,90,56627
56629,90,56627
56630,90,56627
56631,90,56627
56632,90,56627
56633,12,56632
56634,13,56633
56635,17,56626
56636,0,56635
56637,81,56626
56638,65,56637
56639,12,56638
56640,14,56639
56641,56,56638
56642,12,56641
56643,13,56642
56644,57,56641
56645,52,56644
56646,55,56645
56647,12,56646
56648,13,56647
56649,13,56646
56650,13,56641
56651,84,56637
56652,12,56651
56653,13,56652
56654,17,56651
56655,52,56654
56656,55,56655
56657,12,56656
56658,13,56657
56659,13,56656
56660,52,56655
56661,55,56660
56662,0,56661
56663,13,56661
56664,53,56660
56665,12,56664
56666,13,56665
56667,53,56660
56668,52,56667
56669,55,56668
56670,0,56669
56671,13,56669
56672,52,56668
