node_id,class_name,parent_id
57203,100,-1
57204,74,57203
57205,75,57204
57206,74,57203
57207,75,57206
57208,74,57203
57209,75,57208
57210,75,57208
57211,74,57203
57212,75,57211
57213,87,57203
57214,89,57213
57215,90,57214
57216,90,57214
57217,90,57214
57218,0,57214
57219,0,57214
57220,87,57213
57221,89,57220
57222,90,57221
57223,91,57220
57224,54,57223
57225,41,57224
57226,12,57225
57227,13,57226
57228,48,57225
57229,0,57225
57230,0,57224
57231,12,57224
57232,13,57231
57233,91,57213
57234,52,57233
57235,55,57234
57236,0,57235
57237,13,57235
57238,62,57234
57239,52,57238
57240,55,57239
57241,0,57240
57242,13,57240
57243,12,57239
57244,13,57243
57245,52,57239
57246,12,57245
57247,13,57246
57248,12,57245
57249,13,57248
57250,12,57239
57251,13,57250
57252,12,57239
57253,13,57252
57254,64,57238
57255,12,57254
57256,14,57255
57257,52,57254
57258,55,57257
57259,52,57258
57260,55,57259
57261,12,57260
57262,13,57261
57263,13,57260
57264,0,57259
57265,13,57258
57266,0,57257
57267,95,57203
57268,12,57267
57269,13,57268
57270,65,57267
57271,12,57270
57272,14,57271
57273,0,57270
57274,65,57267
57275,12,57274
57276,14,57275
57277,52,57274
57278,12,57277
57279,13,57278
57280,55,57277
57281,12,57280
57282,13,57281
57283,13,57280
57284,87,57267
57285,89,57284
57286,90,57285
57287,90,57285
57288,90,57285
57289,90,57285
57290,17,57284
57291,0,57290
57292,65,57284
57293,12,57292
57294,14,57293
57295,52,57292
57296,12,57295
57297,13,57296
57298,65,57284
57299,12,57298
57300,14,57299
57301,52,57298
57302,55,57301
57303,12,57302
57304,13,57303
57305,13,57302
57306,65,57284
57307,12,57306
57308,14,57307
57309,52,57306
57310,12,57309
57311,13,57310
57312,65,57284
57313,12,57312
57314,14,57313
57315,0,57312
57316,65,57284
57317,12,57316
57318,14,57317
57319,0,57316
57320,65,57284
57321,12,57320
57322,14,57321
57323,0,57320
57324,65,57284
57325,12,57324
57326,14,57325
57327,0,57324
57328,77,57284
57329,7,57328
57330,12,57329
57331,14,57330
57332,12,57329
57333,14,57332
57334,14,57329
57335,52,57328
57336,55,57335
57337,12,57336
57338,13,57337
57339,13,57336
57340,65,57328
57341,12,57340
57342,14,57341
57343,56,57340
57344,12,57343
57345,13,57344
57346,57,57343
57347,12,57346
57348,13,57347
57349,13,57343
57350,65,57328
57351,12,57350
57352,14,57351
57353,56,57350
57354,12,57353
57355,13,57354
57356,57,57353
57357,12,57356
57358,13,57357
57359,13,57353
57360,65,57328
57361,12,57360
57362,14,57361
57363,56,57360
57364,12,57363
57365,13,57364
57366,57,57363
57367,55,57366
57368,12,57367
57369,13,57368
57370,13,57367
57371,13,57363
57372,17,57328
57373,52,57372
57374,55,57373
57375,12,57374
57376,13,57375
57377,13,57374
57378,52,57373
57379,55,57378
57380,0,57379
57381,13,57379
57382,53,57378
57383,55,57382
57384,12,57383
57385,13,57384
57386,13,57383
57387,53,57378
57388,55,57387
57389,12,57388
57390,13,57389
57391,13,57388
57392,53,57378
57393,12,57392
57394,13,57393
57395,53,57373
57396,12,57395
57397,13,57396
57398,17,57328
57399,52,57398
57400,55,57399
57401,12,57400
57402,13,57401
57403,13,57400
57404,52,57399
57405,12,57404
57406,13,57405
57407,52,57404
57408,55,57407
57409,0,57408
57410,13,57408
57411,53,57407
57412,52,57411
57413,55,57412
57414,12,57413
57415,13,57414
57416,13,57413
57417,55,57412
57418,12,57417
57419,13,57418
57420,13,57417
57421,0,57404
57422,53,57399
57423,12,57422
57424,13,57423
57425,17,57328
57426,52,57425
57427,55,57426
57428,12,57427
57429,13,57428
57430,13,57427
57431,56,57426
57432,12,57431
57433,13,57432
57434,57,57431
57435,12,57434
57436,13,57435
57437,13,57431
57438,56,57426
57439,12,57438
57440,13,57439
57441,57,57438
57442,12,57441
57443,13,57442
57444,13,57438
57445,56,57426
57446,12,57445
57447,13,57446
57448,57,57445
57449,12,57448
57450,13,57449
57451,13,57445
57452,56,57426
57453,12,57452
57454,13,57453
57455,57,57452
57456,12,57455
57457,13,57456
57458,13,57452
57459,17,57328
57460,52,57459
57461,55,57460
57462,12,57461
57463,13,57462
57464,13,57461
57465,0,57460
57466,53,57460
57467,12,57466
57468,13,57467
57469,91,57284
57470,0,57469
