node_id,class_name,parent_id
60061,100,-1
60062,74,60061
60063,75,60062
60064,74,60061
60065,75,60064
60066,74,60061
60067,75,60066
60068,75,60066
60069,74,60061
60070,75,60069
60071,74,60061
60072,75,60071
60073,95,60061
60074,65,60073
60075,12,60074
60076,14,60075
60077,0,60074
60078,65,60073
60079,12,60078
60080,14,60079
60081,0,60078
60082,87,60073
60083,89,60082
60084,90,60083
60085,90,60083
60086,12,60085
60087,13,60086
60088,90,60083
60089,12,60088
60090,13,60089
60091,90,60083
60092,12,60091
60093,13,60092
60094,90,60083
60095,7,60094
60096,12,60095
60097,13,60096
60098,0,60095
60099,13,60095
60100,90,60083
60101,7,60100
60102,12,60101
60103,13,60102
60104,0,60101
60105,13,60101
60106,90,60083
60107,7,60106
60108,12,60107
60109,13,60108
60110,12,60107
60111,13,60110
60112,12,60107
60113,13,60112
60114,12,60107
60115,13,60114
60116,13,60107
60117,90,60083
60118,7,60117
60119,12,60118
60120,13,60119
60121,12,60118
60122,13,60121
60123,12,60118
60124,13,60123
60125,12,60118
60126,13,60125
60127,13,60118
60128,0,60083
60129,0,60083
60130,0,60083
60131,0,60083
60132,52,60083
60133,12,60132
60134,13,60133
60135,52,60083
60136,12,60135
60137,13,60136
60138,17,60082
60139,0,60138
60140,76,60082
60141,41,60140
60142,12,60141
60143,13,60142
60144,48,60141
60145,0,60141
60146,65,60140
60147,12,60146
60148,14,60147
60149,52,60146
60150,12,60149
60151,13,60150
60152,76,60082
60153,41,60152
60154,12,60153
60155,13,60154
60156,48,60153
60157,0,60153
60158,65,60152
60159,12,60158
60160,14,60159
60161,52,60158
60162,12,60161
60163,13,60162
60164,65,60082
60165,55,60164
60166,12,60165
60167,13,60166
60168,14,60165
60169,12,60164
60170,13,60169
60171,65,60082
60172,55,60171
60173,12,60172
60174,13,60173
60175,14,60172
60176,12,60171
60177,13,60176
60178,65,60082
60179,55,60178
60180,12,60179
60181,13,60180
60182,14,60179
60183,12,60178
60184,13,60183
60185,65,60082
60186,55,60185
60187,12,60186
60188,13,60187
60189,14,60186
60190,12,60185
60191,13,60190
60192,65,60082
60193,55,60192
60194,12,60193
60195,13,60194
60196,14,60193
60197,12,60192
60198,13,60197
60199,65,60082
60200,55,60199
60201,12,60200
60202,13,60201
60203,14,60200
60204,52,60199
60205,12,60204
60206,13,60205
60207,12,60204
60208,13,60207
60209,65,60082
60210,55,60209
60211,12,60210
60212,13,60211
60213,14,60210
60214,52,60209
60215,12,60214
60216,13,60215
60217,12,60214
60218,13,60217
60219,12,60082
60220,13,60219
60221,87,60073
60222,89,60221
60223,90,60222
60224,17,60221
60225,0,60224
60226,91,60221
60227,55,60226
60228,12,60227
60229,13,60228
60230,13,60227
60231,12,60221
60232,13,60231
60233,87,60073
60234,89,60233
60235,90,60234
60236,90,60234
60237,12,60236
60238,13,60237
60239,17,60233
60240,0,60239
60241,65,60233
60242,55,60241
60243,12,60242
60244,13,60243
60245,14,60242
60246,12,60241
60247,13,60246
60248,55,60233
60249,12,60248
60250,13,60249
60251,13,60248
60252,12,60233
60253,13,60252
60254,87,60073
60255,89,60254
60256,90,60255
60257,90,60255
60258,17,60254
60259,0,60258
60260,91,60254
60261,52,60260
60262,12,60261
60263,13,60262
60264,52,60261
60265,12,60264
60266,13,60265
60267,88,60264
60268,89,60267
60269,90,60268
60270,41,60267
60271,56,60270
60272,12,60271
60273,13,60272
60274,57,60271
60275,0,60274
60276,13,60271
60277,51,60270
60278,55,60270
60279,12,60278
60280,13,60279
60281,13,60278
60282,52,60264
60283,12,60282
60284,13,60283
60285,52,60282
60286,55,60285
60287,12,60286
60288,13,60287
60289,13,60286
60290,87,60073
60291,89,60290
60292,90,60291
60293,17,60290
60294,0,60293
60295,91,60290
60296,52,60295
60297,55,60296
60298,12,60297
60299,13,60298
60300,13,60297
60301,55,60296
60302,12,60301
60303,13,60302
60304,13,60301
60305,12,60290
60306,13,60305
60307,87,60073
60308,89,60307
60309,90,60308
60310,17,60307
60311,0,60310
60312,91,60307
60313,52,60312
60314,55,60313
60315,12,60314
60316,13,60315
60317,13,60314
60318,55,60313
60319,12,60318
60320,13,60319
60321,13,60318
60322,12,60307
60323,13,60322
60324,87,60073
60325,89,60324
60326,90,60325
60327,90,60325
60328,90,60325
60329,17,60324
60330,0,60329
60331,17,60324
60332,52,60331
60333,55,60332
60334,55,60333
60335,12,60334
60336,13,60335
60337,13,60334
60338,13,60333
60339,12,60332
60340,13,60339
60341,65,60324
60342,56,60341
60343,55,60342
60344,12,60343
60345,13,60344
60346,13,60343
60347,57,60342
60348,12,60347
60349,13,60348
60350,14,60342
60351,54,60341
60352,41,60351
60353,12,60352
60354,13,60353
60355,50,60352
60356,55,60352
60357,12,60356
60358,13,60357
60359,13,60356
60360,56,60351
60361,55,60360
60362,12,60361
60363,13,60362
60364,13,60361
60365,57,60360
60366,12,60365
60367,13,60366
60368,13,60360
60369,24,60351
60370,56,60369
60371,55,60370
60372,12,60371
60373,13,60372
60374,13,60371
60375,57,60370
60376,12,60375
60377,13,60376
60378,13,60370
60379,25,60369
60380,7,60369
60381,0,60380
60382,13,60380
60383,87,60073
60384,89,60383
60385,90,60384
60386,90,60384
60387,17,60383
60388,0,60387
60389,65,60383
60390,12,60389
60391,14,60390
60392,9,60389
60393,77,60383
60394,12,60393
60395,14,60394
60396,55,60393
60397,12,60396
60398,13,60397
60399,13,60396
60400,65,60393
60401,7,60400
60402,12,60401
60403,14,60402
60404,12,60401
60405,14,60404
60406,14,60401
60407,56,60400
60408,55,60407
60409,12,60408
60410,13,60409
60411,13,60408
60412,57,60407
60413,12,60412
60414,13,60413
60415,13,60407
60416,65,60393
60417,56,60416
60418,12,60417
60419,13,60418
60420,57,60417
60421,12,60420
60422,13,60421
60423,14,60417
60424,52,60416
60425,55,60424
60426,12,60425
60427,13,60426
60428,13,60425
60429,12,60424
60430,13,60429
60431,12,60424
60432,13,60431
60433,12,60424
60434,13,60433
60435,77,60383
60436,12,60435
60437,14,60436
60438,55,60435
60439,12,60438
60440,13,60439
60441,13,60438
60442,76,60435
60443,41,60442
60444,12,60443
60445,13,60444
60446,50,60443
60447,12,60443
60448,13,60447
60449,65,60442
60450,7,60449
60451,12,60450
60452,14,60451
60453,12,60450
60454,14,60453
60455,12,60450
60456,14,60455
60457,14,60450
60458,56,60449
60459,55,60458
60460,12,60459
60461,13,60460
60462,13,60459
60463,57,60458
60464,12,60463
60465,13,60464
60466,13,60458
60467,65,60442
60468,56,60467
60469,12,60468
60470,13,60469
60471,57,60468
60472,12,60471
60473,13,60472
60474,14,60468
60475,52,60467
60476,55,60475
60477,12,60476
60478,13,60477
60479,13,60476
60480,12,60475
60481,13,60480
60482,12,60475
60483,13,60482
60484,12,60475
60485,13,60484
60486,91,60383
60487,12,60486
60488,13,60487
60489,87,60073
60490,89,60489
60491,90,60490
60492,90,60490
60493,90,60490
60494,87,60489
60495,89,60494
60496,90,60495
60497,91,60494
60498,12,60497
60499,13,60498
60500,76,60489
60501,41,60500
60502,12,60501
60503,13,60502
60504,48,60501
60505,0,60501
60506,65,60500
60507,12,60506
60508,14,60507
60509,12,60506
60510,13,60509
60511,81,60489
60512,91,60511
60513,52,60512
60514,12,60513
60515,13,60514
60516,56,60513
60517,12,60516
60518,13,60517
60519,57,60516
60520,12,60519
60521,13,60520
60522,13,60516
60523,84,60511
60524,7,60523
60525,12,60524
60526,13,60525
60527,12,60524
60528,13,60527
60529,13,60524
60530,69,60523
60531,52,60530
60532,12,60531
60533,13,60532
60534,52,60531
60535,55,60534
60536,0,60535
60537,13,60535
60538,12,60534
60539,13,60538
60540,12,60534
60541,13,60540
60542,12,60489
60543,13,60542
60544,87,60073
60545,89,60544
60546,90,60545
60547,90,60545
60548,90,60545
60549,52,60545
60550,12,60549
60551,13,60550
60552,17,60544
60553,0,60552
60554,76,60544
60555,52,60554
60556,12,60555
60557,13,60556
60558,12,60555
60559,13,60558
60560,0,60555
60561,65,60554
60562,12,60561
60563,14,60562
60564,52,60561
60565,12,60564
60566,13,60565
60567,55,60564
60568,12,60567
60569,13,60568
60570,13,60567
60571,65,60554
60572,55,60571
60573,12,60572
60574,13,60573
60575,14,60572
60576,12,60571
60577,13,60576
60578,91,60554
60579,12,60578
60580,13,60579
60581,65,60544
60582,12,60581
60583,14,60582
60584,38,60581
60585,40,60584
60586,55,60584
60587,12,60586
60588,13,60587
60589,13,60586
60590,0,60584
60591,65,60544
60592,12,60591
60593,14,60592
60594,52,60591
60595,55,60594
60596,12,60595
60597,13,60596
60598,13,60595
60599,12,60594
60600,13,60599
60601,65,60544
60602,12,60601
60603,14,60602
60604,52,60601
60605,12,60604
60606,13,60605
60607,65,60544
60608,12,60607
60609,14,60608
60610,52,60607
60611,12,60610
60612,13,60611
60613,65,60544
60614,12,60613
60615,14,60614
60616,52,60613
60617,12,60616
60618,13,60617
60619,12,60616
60620,13,60619
60621,65,60544
60622,12,60621
60623,14,60622
60624,54,60621
60625,41,60624
60626,55,60625
60627,12,60626
60628,13,60627
60629,13,60626
60630,48,60625
60631,0,60625
60632,7,60624
60633,13,60632
60634,55,60624
60635,12,60634
60636,13,60635
60637,13,60634
60638,65,60544
60639,12,60638
