node_id,class_name,parent_id
0,100,-1
1,73,0
2,75,1
3,73,0
4,75,3
5,87,0
6,89,5
7,90,6
8,65,5
9,12,8
10,14,9
11,52,8
12,55,11
13,55,12
14,12,13
15,13,14
16,13,13
17,13,12
18,0,11
19,0,11
20,76,5
21,38,20
22,39,21
23,52,21
24,12,23
25,13,24
26,55,23
27,12,26
28,13,27
29,13,26
30,0,23
31,41,21
32,0,31
33,50,31
34,55,31
35,55,34
36,12,35
37,13,36
38,13,35
39,13,34
40,52,21
41,55,40
42,55,41
43,12,42
44,13,43
45,13,42
46,13,41
47,12,40
48,13,47
49,81,20
50,17,49
51,52,50
52,55,51
53,12,52
54,13,53
55,13,52
56,12,51
57,13,56
58,84,49
59,55,58
60,12,59
61,13,60
62,13,59
63,72,58
