node_id,class_name,parent_id,Generator
11604,100,-1,0
11605,74,11604,0
11606,75,11605,0
11607,95,11604,0
11608,17,11607,0
11609,0,11608,0
11610,95,11607,0
11611,65,11610,0
11612,12,11611,0
11613,14,11612,0
11614,0,11611,0
11615,65,11610,0
11616,12,11615,0
11617,14,11616,0
11618,0,11615,0
11619,65,11610,0
11620,12,11619,0
11621,14,11620,0
11622,0,11619,0
11623,65,11610,0
11624,12,11623,0
11625,14,11624,0
11626,0,11623,0
11627,55,11607,0
11628,12,11627,0
11629,13,11628,0
11630,13,11627,0
