node_id,class_name,parent_id,Generator
11579,100,-1,0
11580,74,11579,0
11581,75,11580,0
11582,74,11579,0
11583,75,11582,0
11584,95,11579,0
11585,12,11584,0
11586,13,11585,0
11587,53,11584,0
11588,12,11587,0
11589,13,11588,0
11590,17,11584,0
11591,0,11590,0
11592,65,11584,0
11593,12,11592,0
11594,14,11593,0
11595,0,11592,0
11596,65,11584,0
11597,12,11596,0
11598,14,11597,0
11599,9,11596,0
11600,87,11584,0
11601,89,11600,0
11602,17,11600,0
11603,0,11602,0
