node_id,class_name,parent_id,Generator
16088,100,-1,0
16089,74,16088,0
16090,75,16089,0
16091,95,16088,0
16092,65,16091,0
16093,12,16092,0
16094,14,16093,0
16095,7,16092,0
16096,0,16095,0
16097,13,16095,0
16098,65,16091,0
16099,12,16098,0
16100,14,16099,0
16101,7,16098,0
16102,0,16101,0
16103,13,16101,0
16104,65,16091,0
16105,12,16104,0
16106,14,16105,0
16107,9,16104,0
16108,0,16107,0
16109,0,16107,0
16110,65,16091,0
16111,12,16110,0
16112,14,16111,0
16113,9,16110,0
16114,0,16113,0
16115,0,16113,0
16116,0,16113,0
16117,0,16113,0
16118,65,16091,0
16119,12,16118,0
16120,14,16119,0
16121,12,16118,0
16122,13,16121,0
16123,65,16091,0
16124,12,16123,0
16125,14,16124,0
16126,9,16123,0
16127,0,16126,0
16128,0,16126,0
16129,0,16126,0
16130,0,16126,0
16131,0,16126,0
16132,0,16126,0
16133,12,16091,0
16134,13,16133,0
