node_id,class_name,parent_id,Generator
16291,100,-1,0
16292,74,16291,0
16293,75,16292,0
16294,95,16291,0
16295,65,16294,0
16296,12,16295,0
16297,14,16296,0
16298,7,16295,0
16299,0,16298,0
16300,13,16298,0
16301,65,16294,0
16302,12,16301,0
16303,14,16302,0
16304,7,16301,0
16305,0,16304,0
16306,13,16304,0
16307,65,16294,0
16308,12,16307,0
16309,14,16308,0
16310,9,16307,0
16311,0,16310,0
16312,0,16310,0
16313,65,16294,0
16314,12,16313,0
16315,14,16314,0
16316,9,16313,0
16317,0,16316,0
16318,0,16316,0
16319,0,16316,0
16320,0,16316,0
16321,0,16316,0
16322,0,16316,0
16323,65,16294,0
16324,12,16323,0
16325,14,16324,0
16326,12,16323,0
16327,13,16326,0
16328,65,16294,0
16329,12,16328,0
16330,14,16329,0
16331,9,16328,0
16332,0,16331,0
16333,0,16331,0
16334,0,16331,0
16335,0,16331,0
16336,65,16294,0
16337,12,16336,0
16338,14,16337,0
16339,6,16336,0
16340,0,16339,0
16341,0,16339,0
16342,0,16339,0
16343,0,16339,0
16344,0,16339,0
16345,0,16339,0
16346,0,16339,0
16347,0,16339,0
16348,0,16339,0
16349,0,16339,0
16350,0,16339,0
16351,0,16339,0
16352,0,16339,0
16353,0,16339,0
16354,0,16339,0
16355,0,16339,0
16356,13,16339,0
16357,65,16294,0
16358,12,16357,0
16359,14,16358,0
16360,52,16357,0
16361,12,16360,0
16362,13,16361,0
16363,0,16360,0
16364,12,16294,0
16365,13,16364,0
