node_id,class_name,parent_id,Generator
15560,100,-1,0
15561,74,15560,0
15562,75,15561,0
15563,95,15560,0
15564,65,15563,0
15565,12,15564,0
15566,14,15565,0
15567,0,15564,0
15568,65,15563,0
15569,12,15568,0
15570,14,15569,0
15571,7,15568,0
15572,0,15571,0
15573,0,15571,0
15574,0,15571,0
15575,0,15571,0
15576,0,15571,0
15577,0,15571,0
15578,13,15571,0
15579,65,15563,0
15580,12,15579,0
15581,14,15580,0
15582,7,15579,0
15583,0,15582,0
15584,0,15582,0
15585,13,15582,0
15586,65,15563,0
15587,12,15586,0
15588,14,15587,0
15589,9,15586,0
15590,0,15589,0
15591,0,15589,0
15592,65,15563,0
15593,12,15592,0
15594,14,15593,0
15595,9,15592,0
15596,0,15595,0
15597,0,15595,0
15598,0,15595,0
15599,0,15595,0
15600,65,15563,0
15601,12,15600,0
15602,14,15601,0
15603,12,15600,0
15604,13,15603,0
15605,65,15563,0
15606,12,15605,0
15607,14,15606,0
15608,9,15605,0
15609,0,15608,0
15610,0,15608,0
15611,17,15563,0
15612,52,15611,0
15613,55,15612,0
15614,12,15613,0
15615,13,15614,0
15616,13,15613,0
15617,12,15612,0
15618,13,15617,0
15619,12,15563,0
15620,13,15619,0
