node_id,class_name,parent_id,Generator
17213,100,-1,0
17214,74,17213,0
17215,75,17214,0
17216,75,17214,0
17217,74,17213,0
17218,75,17217,0
17219,73,17213,0
17220,75,17219,0
17221,74,17213,0
17222,75,17221,0
17223,75,17221,0
17224,75,17221,0
17225,74,17213,0
17226,75,17225,0
17227,95,17213,0
17228,17,17227,0
17229,0,17228,0
17230,65,17227,0
17231,12,17230,0
17232,14,17231,0
17233,52,17230,0
17234,12,17233,0
17235,13,17234,0
17236,0,17233,0
17237,7,17233,0
17238,0,17237,0
17239,0,17237,0
17240,0,17237,0
17241,0,17237,0
17242,0,17237,0
17243,13,17237,0
17244,65,17227,0
17245,12,17244,0
17246,14,17245,0
17247,52,17244,0
17248,12,17247,0
17249,13,17248,0
17250,0,17247,0
17251,7,17247,0
17252,0,17251,0
17253,0,17251,0
17254,13,17251,0
17255,65,17227,0
17256,12,17255,0
17257,14,17256,0
17258,52,17255,0
17259,12,17258,0
17260,13,17259,0
17261,0,17258,0
17262,7,17258,0
17263,0,17262,0
17264,0,17262,0
17265,13,17262,0
17266,65,17227,0
17267,12,17266,0
17268,14,17267,0
17269,52,17266,0
17270,12,17269,0
17271,13,17270,0
17272,0,17269,0
17273,7,17269,0
17274,0,17273,0
17275,0,17273,0
17276,13,17273,0
17277,87,17227,0
17278,89,17277,0
17279,90,17278,0
17280,90,17278,0
17281,12,17280,0
17282,13,17281,0
17283,90,17278,0
17284,12,17283,0
17285,13,17284,0
17286,90,17278,0
17287,7,17286,0
17288,12,17287,0
17289,13,17288,0
17290,12,17287,0
17291,13,17290,0
17292,13,17287,0
17293,90,17278,0
17294,12,17293,0
17295,13,17294,0
17296,90,17278,0
17297,12,17296,0
17298,13,17297,0
17299,90,17278,0
17300,12,17299,0
17301,13,17300,0
17302,90,17278,0
17303,12,17302,0
17304,13,17303,0
17305,90,17278,0
17306,12,17305,0
17307,13,17306,0
17308,17,17277,0
17309,0,17308,0
17310,65,17277,0
17311,55,17310,0
17312,12,17311,0
17313,13,17312,0
17314,14,17311,0
17315,52,17310,0
17316,55,17315,0
17317,12,17316,0
17318,13,17317,0
17319,13,17316,0
17320,65,17277,0
17321,55,17320,0
17322,12,17321,0
17323,13,17322,0
17324,14,17321,0
17325,52,17320,0
17326,55,17325,0
17327,12,17326,0
17328,13,17327,0
17329,13,17326,0
17330,65,17277,0
17331,12,17330,0
17332,14,17331,0
17333,52,17330,0
17334,12,17333,0
17335,13,17334,0
17336,12,17333,0
17337,13,17336,0
17338,76,17277,0
17339,38,17338,0
17340,39,17339,0
17341,41,17339,0
17342,52,17341,0
17343,12,17342,0
17344,13,17343,0
17345,12,17342,0
17346,13,17345,0
17347,42,17341,0
17348,0,17341,0
17349,52,17339,0
17350,12,17349,0
17351,13,17350,0
17352,62,17349,0
17353,52,17352,0
17354,12,17353,0
17355,13,17354,0
17356,12,17353,0
17357,13,17356,0
17358,12,17353,0
17359,13,17358,0
17360,64,17352,0
17361,12,17360,0
17362,14,17361,0
17363,12,17360,0
17364,13,17363,0
17365,65,17338,0
17366,12,17365,0
17367,14,17366,0
17368,7,17365,0
17369,12,17368,0
17370,13,17369,0
17371,13,17368,0
17372,65,17277,0
17373,55,17372,0
17374,12,17373,0
17375,13,17374,0
17376,14,17373,0
17377,52,17372,0
17378,12,17377,0
17379,13,17378,0
17380,62,17377,0
17381,52,17380,0
17382,12,17381,0
17383,13,17382,0
17384,12,17381,0
17385,13,17384,0
17386,64,17380,0
17387,12,17386,0
17388,14,17387,0
17389,12,17386,0
17390,13,17389,0
17391,77,17277,0
17392,12,17391,0
17393,14,17392,0
17394,55,17391,0
17395,12,17394,0
17396,13,17395,0
17397,13,17394,0
17398,65,17391,0
17399,12,17398,0
17400,14,17399,0
17401,52,17398,0
