node_id,class_name,parent_id,Generator
19569,100,-1,0
19570,17,19569,0
19571,0,19570,0
19572,73,19569,0
19573,75,19572,0
19574,74,19569,0
19575,75,19574,0
19576,75,19574,0
19577,74,19569,0
19578,75,19577,0
19579,74,19569,0
19580,75,19579,0
19581,74,19569,0
19582,75,19581,0
19583,87,19569,0
19584,89,19583,0
19585,90,19584,0
19586,90,19584,0
19587,90,19584,0
19588,90,19584,0
19589,17,19583,0
19590,0,19589,0
19591,65,19583,0
19592,12,19591,0
19593,14,19592,0
19594,24,19591,0
19595,12,19594,0
19596,13,19595,0
19597,26,19594,0
19598,52,19594,0
19599,12,19598,0
19600,13,19599,0
19601,56,19598,0
19602,12,19601,0
19603,13,19602,0
19604,57,19601,0
19605,0,19604,0
19606,13,19601,0
19607,65,19583,0
19608,12,19607,0
19609,14,19608,0
19610,52,19607,0
19611,55,19610,0
19612,56,19611,0
19613,12,19612,0
19614,13,19613,0
19615,57,19612,0
19616,12,19615,0
19617,13,19616,0
19618,13,19612,0
19619,13,19611,0
19620,56,19610,0
19621,12,19620,0
19622,13,19621,0
19623,57,19620,0
19624,0,19623,0
19625,13,19620,0
19626,12,19610,0
19627,13,19626,0
19628,76,19583,0
19629,41,19628,0
19630,12,19629,0
19631,13,19630,0
19632,43,19629,0
19633,19,19629,0
19634,21,19633,0
19635,0,19633,0
19636,91,19628,0
19637,7,19636,0
19638,12,19637,0
19639,13,19638,0
19640,24,19637,0
19641,12,19640,0
19642,13,19641,0
19643,25,19640,0
19644,52,19640,0
19645,12,19644,0
19646,13,19645,0
19647,56,19644,0
19648,12,19647,0
19649,13,19648,0
19650,57,19647,0
19651,0,19650,0
19652,13,19647,0
19653,56,19637,0
19654,56,19653,0
19655,12,19654,0
19656,13,19655,0
19657,57,19654,0
19658,12,19657,0
19659,13,19658,0
19660,13,19654,0
19661,58,19653,0
19662,12,19661,0
19663,13,19662,0
19664,12,19661,0
19665,13,19664,0
19666,13,19653,0
19667,13,19637,0
19668,65,19583,0
19669,12,19668,0
19670,14,19669,0
19671,56,19668,0
19672,56,19671,0
19673,12,19672,0
19674,13,19673,0
19675,57,19672,0
19676,12,19675,0
19677,13,19676,0
19678,13,19672,0
19679,58,19671,0
19680,12,19679,0
19681,13,19680,0
19682,13,19671,0
19683,67,19583,0
19684,12,19683,0
19685,14,19684,0
19686,25,19683,0
19687,0,19683,0
19688,78,19583,0
19689,41,19688,0
19690,12,19689,0
19691,13,19690,0
19692,44,19689,0
19693,52,19689,0
19694,12,19693,0
19695,13,19694,0
19696,12,19693,0
19697,13,19696,0
19698,65,19688,0
19699,12,19698,0
19700,14,19699,0
19701,52,19698,0
19702,55,19701,0
19703,56,19702,0
19704,12,19703,0
19705,13,19704,0
19706,57,19703,0
19707,12,19706,0
19708,13,19707,0
19709,13,19703,0
19710,13,19702,0
19711,56,19701,0
19712,12,19711,0
19713,13,19712,0
19714,57,19711,0
19715,0,19714,0
19716,13,19711,0
19717,76,19688,0
19718,41,19717,0
19719,12,19718,0
19720,13,19719,0
19721,42,19718,0
19722,19,19718,0
19723,21,19722,0
19724,0,19722,0
19725,65,19717,0
19726,12,19725,0
19727,14,19726,0
19728,24,19725,0
19729,52,19728,0
19730,12,19729,0
19731,13,19730,0
19732,56,19729,0
19733,12,19732,0
19734,13,19733,0
19735,57,19732,0
19736,12,19735,0
19737,13,19736,0
19738,13,19732,0
19739,26,19728,0
19740,52,19728,0
19741,12,19740,0
19742,13,19741,0
19743,52,19740,0
19744,55,19743,0
19745,56,19744,0
19746,12,19745,0
19747,13,19746,0
19748,57,19745,0
19749,12,19748,0
19750,13,19749,0
19751,13,19745,0
19752,13,19744,0
19753,67,19717,0
19754,12,19753,0
19755,14,19754,0
19756,25,19753,0
19757,54,19753,0
19758,41,19757,0
19759,56,19758,0
19760,56,19759,0
19761,12,19760,0
19762,13,19761,0
19763,57,19760,0
19764,12,19763,0
19765,13,19764,0
19766,13,19760,0
19767,58,19759,0
19768,12,19767,0
19769,13,19768,0
19770,13,19759,0
19771,42,19758,0
19772,0,19758,0
19773,0,19757,0
19774,54,19757,0
19775,41,19774,0
19776,12,19775,0
19777,13,19776,0
19778,44,19775,0
19779,12,19775,0
19780,13,19779,0
19781,24,19774,0
19782,52,19781,0
19783,55,19782,0
19784,56,19783,0
19785,12,19784,0
19786,13,19785,0
19787,57,19784,0
19788,12,19787,0
19789,13,19788,0
19790,13,19784,0
19791,13,19783,0
19792,25,19781,0
19793,0,19781,0
19794,56,19774,0
19795,56,19794,0
19796,12,19795,0
19797,13,19796,0
19798,57,19795,0
19799,12,19798,0
19800,13,19799,0
19801,13,19795,0
19802,58,19794,0
19803,12,19802,0
19804,13,19803,0
19805,13,19794,0
19806,67,19717,0
19807,12,19806,0
19808,14,19807,0
19809,25,19806,0
19810,56,19806,0
19811,56,19810,0
19812,12,19811,0
19813,13,19812,0
19814,57,19811,0
19815,12,19814,0
19816,13,19815,0
19817,13,19811,0
19818,58,19810,0
19819,12,19818,0
19820,13,19819,0
19821,12,19818,0
19822,13,19821,0
19823,13,19810,0
19824,91,19717,0
19825,7,19824,0
19826,12,19825,0
19827,13,19826,0
19828,24,19825,0
19829,12,19828,0
19830,13,19829,0
19831,25,19828,0
19832,52,19828,0
19833,12,19832,0
19834,13,19833,0
19835,56,19832,0
19836,12,19835,0
19837,13,19836,0
19838,57,19835,0
19839,0,19838,0
19840,13,19835,0
19841,12,19825,0
19842,13,19841,0
19843,13,19825,0
19844,67,19688,0
19845,12,19844,0
19846,14,19845,0
19847,25,19844,0
19848,0,19844,0
19849,91,19583,0
19850,0,19849,0
19851,87,19569,0
19852,89,19851,0
19853,90,19852,0
19854,90,19852,0
19855,90,19852,0
19856,90,19852,0
19857,17,19851,0
19858,0,19857,0
19859,65,19851,0
19860,12,19859,0
19861,14,19860,0
19862,52,19859,0
19863,12,19862,0
19864,13,19863,0
19865,56,19862,0
19866,12,19865,0
19867,13,19866,0
19868,57,19865,0
19869,0,19868,0
19870,13,19865,0
19871,65,19851,0
19872,12,19871,0
19873,14,19872,0
19874,56,19871,0
19875,56,19874,0
19876,12,19875,0
19877,13,19876,0
19878,57,19875,0
19879,12,19878,0
19880,13,19879,0
19881,13,19875,0
19882,58,19874,0
19883,12,19882,0
19884,13,19883,0
19885,13,19874,0
19886,67,19851,0
19887,12,19886,0
19888,14,19887,0
19889,25,19886,0
19890,0,19886,0
19891,78,19851,0
19892,41,19891,0
19893,12,19892,0
19894,13,19893,0
19895,44,19892,0
19896,52,19892,0
19897,12,19896,0
19898,13,19897,0
19899,12,19896,0
19900,13,19899,0
19901,65,19891,0
19902,12,19901,0
19903,14,19902,0
19904,52,19901,0
19905,55,19904,0
19906,56,19905,0
19907,12,19906,0
19908,13,19907,0
19909,57,19906,0
19910,12,19909,0
19911,13,19910,0
19912,13,19906,0
19913,13,19905,0
19914,56,19904,0
19915,12,19914,0
19916,13,19915,0
19917,57,19914,0
19918,0,19917,0
19919,13,19914,0
19920,76,19891,0
19921,41,19920,0
19922,12,19921,0
19923,13,19922,0
19924,42,19921,0
19925,19,19921,0
19926,21,19925,0
19927,0,19925,0
19928,91,19920,0
19929,7,19928,0
19930,12,19929,0
19931,13,19930,0
19932,0,19929,0
19933,12,19929,0
19934,13,19933,0
19935,13,19929,0
19936,67,19920,0
19937,12,19936,0
19938,14,19937,0
19939,25,19936,0
19940,56,19936,0
19941,56,19940,0
19942,12,19941,0
19943,13,19942,0
19944,57,19941,0
19945,12,19944,0
19946,13,19945,0
19947,13,19941,0
19948,58,19940,0
19949,24,19948,0
19950,12,19949,0
19951,13,19950,0
19952,25,19949,0
19953,12,19949,0
19954,13,19953,0
19955,13,19940,0
19956,67,19891,0
19957,12,19956,0
19958,14,19957,0
19959,25,19956,0
19960,0,19956,0
19961,76,19851,0
19962,41,19961,0
19963,56,19962,0
19964,56,19963,0
19965,12,19964,0
19966,13,19965,0
19967,57,19964,0
19968,24,19967,0
19969,12,19968,0
19970,13,19969,0
19971,26,19968,0
19972,0,19968,0
19973,13,19964,0
19974,57,19963,0
19975,19,19974,0
19976,21,19975,0
19977,0,19975,0
19978,13,19963,0
19979,42,19962,0
19980,0,19962,0
19981,65,19961,0
19982,12,19981,0
19983,14,19982,0
19984,0,19981,0
19985,67,19961,0
19986,12,19985,0
19987,14,19986,0
19988,26,19985,0
19989,0,19985,0
19990,65,19961,0
19991,12,19990,0
19992,14,19991,0
19993,52,19990,0
19994,12,19993,0
19995,13,19994,0
19996,56,19993,0
19997,12,19996,0
19998,13,19997,0
19999,57,19996,0
20000,12,19999,0
20001,13,20000,0
20002,13,19996,0
20003,91,19851,0
20004,7,20003,0
20005,12,20004,0
20006,13,20005,0
20007,12,20004,0
20008,13,20007,0
20009,12,20004,0
20010,13,20009,0
20011,13,20004,0
20012,87,19569,0
20013,89,20012,0
20014,90,20013,0
20015,90,20013,0
20016,90,20013,0
20017,90,20013,0
20018,17,20012,0
20019,0,20018,0
20020,65,20012,0
20021,12,20020,0
20022,14,20021,0
20023,52,20020,0
20024,55,20023,0
20025,56,20024,0
20026,12,20025,0
20027,13,20026,0
20028,57,20025,0
20029,12,20028,0
20030,13,20029,0
20031,13,20025,0
20032,13,20024,0
20033,56,20023,0
20034,12,20033,0
20035,13,20034,0
20036,57,20033,0
20037,0,20036,0
20038,13,20033,0
20039,12,20023,0
20040,13,20039,0
20041,76,20012,0
20042,41,20041,0
20043,12,20042,0
20044,13,20043,0
20045,43,20042,0
20046,19,20042,0
20047,21,20046,0
20048,0,20046,0
20049,91,20041,0
20050,7,20049,0
20051,12,20050,0
20052,13,20051,0
20053,24,20050,0
20054,12,20053,0
20055,13,20054,0
20056,25,20053,0
20057,52,20053,0
20058,12,20057,0
20059,13,20058,0
20060,56,20057,0
20061,12,20060,0
20062,13,20061,0
20063,57,20060,0
20064,0,20063,0
20065,13,20060,0
20066,56,20050,0
20067,56,20066,0
20068,12,20067,0
20069,13,20068,0
20070,57,20067,0
20071,12,20070,0
20072,13,20071,0
20073,13,20067,0
20074,58,20066,0
20075,12,20074,0
20076,13,20075,0
20077,12,20074,0
20078,13,20077,0
20079,13,20066,0
20080,13,20050,0
