node_id,class_name,parent_id,Generator
14202,100,-1,0
14203,73,14202,0
14204,75,14203,0
14205,74,14202,0
14206,75,14205,0
14207,74,14202,0
14208,75,14207,0
14209,74,14202,0
14210,75,14209,0
14211,74,14202,0
14212,75,14211,0
14213,74,14202,0
14214,75,14213,0
14215,95,14202,0
14216,12,14215,0
14217,13,14216,0
14218,17,14215,0
14219,0,14218,0
14220,87,14215,0
14221,89,14220,0
14222,90,14221,0
14223,90,14221,0
14224,12,14223,0
14225,13,14224,0
14226,90,14221,0
14227,0,14221,0
14228,17,14220,0
14229,0,14228,0
14230,17,14220,0
14231,52,14230,0
14232,55,14231,0
14233,12,14232,0
14234,13,14233,0
14235,13,14232,0
14236,0,14231,0
14237,76,14220,0
14238,12,14237,0
14239,13,14238,0
14240,17,14237,0
14241,52,14240,0
14242,55,14241,0
14243,12,14242,0
14244,13,14243,0
14245,13,14242,0
14246,0,14241,0
14247,81,14220,0
14248,65,14247,0
14249,55,14248,0
14250,12,14249,0
14251,13,14250,0
14252,14,14249,0
14253,52,14248,0
14254,55,14253,0
14255,56,14254,0
14256,12,14255,0
14257,13,14256,0
14258,57,14255,0
14259,12,14258,0
14260,13,14259,0
14261,13,14255,0
14262,13,14254,0
14263,84,14247,0
14264,12,14263,0
14265,13,14264,0
14266,69,14263,0
14267,12,14266,0
14268,13,14267,0
14269,87,14215,0
14270,89,14269,0
14271,90,14270,0
14272,90,14270,0
14273,65,14269,0
14274,12,14273,0
14275,14,14274,0
14276,52,14273,0
14277,12,14276,0
14278,13,14277,0
14279,55,14276,0
14280,12,14279,0
14281,13,14280,0
14282,13,14279,0
14283,12,14276,0
14284,13,14283,0
14285,76,14269,0
14286,52,14285,0
14287,12,14286,0
14288,13,14287,0
14289,12,14286,0
14290,13,14289,0
14291,7,14286,0
14292,12,14291,0
14293,13,14292,0
14294,12,14291,0
14295,13,14294,0
14296,13,14291,0
14297,65,14285,0
14298,12,14297,0
14299,14,14298,0
14300,52,14297,0
14301,12,14300,0
14302,13,14301,0
14303,12,14300,0
14304,13,14303,0
14305,52,14300,0
14306,55,14305,0
14307,0,14306,0
14308,13,14306,0
14309,62,14305,0
14310,52,14309,0
14311,12,14310,0
14312,13,14311,0
14313,12,14310,0
14314,13,14313,0
14315,0,14310,0
14316,64,14309,0
14317,12,14316,0
14318,14,14317,0
14319,12,14316,0
14320,13,14319,0
14321,76,14285,0
14322,52,14321,0
14323,12,14322,0
14324,13,14323,0
14325,12,14322,0
14326,13,14325,0
14327,12,14322,0
14328,13,14327,0
14329,65,14321,0
14330,12,14329,0
14331,14,14330,0
14332,52,14329,0
14333,12,14332,0
14334,13,14333,0
14335,12,14332,0
14336,13,14335,0
14337,52,14332,0
14338,55,14337,0
14339,0,14338,0
14340,13,14338,0
14341,62,14337,0
14342,24,14341,0
14343,24,14342,0
14344,52,14343,0
14345,12,14344,0
14346,13,14345,0
14347,12,14344,0
14348,13,14347,0
14349,0,14344,0
14350,25,14343,0
14351,0,14343,0
14352,25,14342,0
14353,52,14342,0
14354,12,14353,0
14355,13,14354,0
14356,12,14353,0
14357,13,14356,0
14358,0,14353,0
14359,64,14341,0
14360,7,14359,0
14361,12,14360,0
14362,14,14361,0
14363,12,14360,0
14364,14,14363,0
14365,14,14360,0
14366,52,14359,0
14367,55,14366,0
14368,12,14367,0
14369,13,14368,0
14370,13,14367,0
14371,65,14321,0
14372,12,14371,0
14373,14,14372,0
14374,52,14371,0
14375,12,14374,0
14376,13,14375,0
14377,12,14374,0
14378,13,14377,0
14379,52,14374,0
14380,12,14379,0
14381,13,14380,0
14382,12,14379,0
14383,13,14382,0
14384,91,14269,0
14385,12,14384,0
14386,13,14385,0
14387,87,14215,0
14388,89,14387,0
14389,90,14388,0
14390,90,14388,0
14391,91,14387,0
14392,41,14391,0
14393,12,14392,0
14394,13,14393,0
14395,50,14392,0
14396,55,14392,0
14397,55,14396,0
14398,12,14397,0
14399,13,14398,0
14400,13,14397,0
14401,13,14396,0
